fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,home_rank,home_elo,away_rank,away_elo
187486,,2010-09-11,,Stade de Gerland (Lyon),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 5,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,0,105,Valenciennes,https://media-4.api-sports.io/football/teams/105.png,0,1,1,1,0,1,1,13,1798.01977539,53,1662.11352539
187487,,2010-09-11,,Stade de la Mosson (Montpellier),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 5,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,False,102,Nancy,https://media-4.api-sports.io/football/teams/102.png,True,1,2,0,2,1,2,40,1699.6427002,84,1613.59631348
187489,,2010-09-11,,Stade de la Route de Lorient (Rennes),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 5,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,True,115,Sochaux,https://media-4.api-sports.io/football/teams/115.png,False,2,1,1,1,2,1,37,1706.96191406,90,1587.65405273
187491,,2010-09-11,,Stade Félix Bollaert (Lens),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 5,116,Lens,https://media-4.api-sports.io/football/teams/116.png,False,79,Lille,https://media-4.api-sports.io/football/teams/79.png,True,1,4,0,1,1,4,79,1619.01159668,17,1776.17590332
187485,,2010-09-11,,Stade de l'Abbé Deschamps (Auxerre),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 5,108,Auxerre,https://media-4.api-sports.io/football/teams/108.png,0,88,Caen,https://media-4.api-sports.io/football/teams/88.png,0,1,1,1,0,1,1,30,1739.63171387,88,1604.0369873
187493,,2010-09-12,,Stade Municipal du Ray (Nice),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 5,84,Nice,https://media-4.api-sports.io/football/teams/84.png,True,78,Bordeaux,https://media-4.api-sports.io/football/teams/78.png,False,2,1,1,0,2,1,69,1639.19104004,27,1745.97607422
187494,,2010-09-12,,Stade Vélodrome (Marseille),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 5,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,0,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,0,2,2,1,1,2,2,12,1801.80627441,51,1672.63537598
187500,,2010-09-18,,Stade Nungesser (Valenciennes),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 6,105,Valenciennes,https://media-4.api-sports.io/football/teams/105.png,0,116,Lens,https://media-4.api-sports.io/football/teams/116.png,0,1,1,0,0,1,1,52,1661.82226562,88,1602.94641113
187496,,2010-09-18,,Stade Louis II. (Monaco),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 6,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,0,96,Toulouse,https://media-4.api-sports.io/football/teams/96.png,0,0,0,0,0,0,0,47,1672.1505127,49,1667.24743652
187495,,2010-09-18,,Stade Yves Allainmat - Le Moustoir (Lorient),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 6,97,Lorient,https://media-4.api-sports.io/football/teams/97.png,False,88,Caen,https://media-4.api-sports.io/football/teams/88.png,True,0,1,0,1,0,1,42,1683.25134277,87,1603.73950195
