,fixture_id,fixture_referee,fixture_date,venue_name,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,home_rank,home_elo,away_rank,away_elo
24,194539,C Foy,2010-09-11,Boleyn Ground (London),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 35,48,West Ham,https://media-4.api-sports.io/football/teams/48.png,False,49,Chelsea,https://media-4.api-sports.io/football/teams/49.png,True,1,3,0,2,1,3,81,1616.49719238,2,1957.63769531
25,194543,P Dowd,2010-09-11,Craven Cottage (London),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 35,36,Fulham,https://media-4.api-sports.io/football/teams/36.png,True,39,Wolves,https://media-4.api-sports.io/football/teams/39.png,False,2,1,0,1,2,1,35,1722.83728027,80,1617.44946289
26,194544,S Attwell,2010-09-11,Emirates Stadium (London),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 35,42,Arsenal,https://media-4.api-sports.io/football/teams/42.png,True,68,Bolton,https://media-4.api-sports.io/football/teams/68.png,False,4,1,1,1,4,1,7,1877.37609863,72,1635.40185547
27,194545,M Halsey,2010-09-12,St. Andrew's Stadium (Birmingham),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 35,54,Birmingham,https://media-4.api-sports.io/football/teams/54.png,0,40,Liverpool,https://media-4.api-sports.io/football/teams/40.png,0,0,0,0,0,0,0,59,1654.50231934,8,1837.70300293
28,194528,C Foy,2010-09-18,"The Hawthorns, West Bromwich (West Bromwich)",Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 34,60,West Brom,https://media-4.api-sports.io/football/teams/60.png,True,54,Birmingham,https://media-4.api-sports.io/football/teams/54.png,False,3,1,0,1,3,1,74,1636.75708008,53,1661.63769531
29,194530,A Marriner,2010-09-18,Goodison Park (Liverpool),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 34,45,Everton,https://media-4.api-sports.io/football/teams/45.png,False,34,Newcastle,https://media-4.api-sports.io/football/teams/34.png,True,0,1,0,1,0,1,19,1765.12207031,39,1690.36694336
30,194531,A Taylor,2010-09-18,Ewood Park (Blackburn),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 34,67,Blackburn,https://media-4.api-sports.io/football/teams/67.png,0,36,Fulham,https://media-4.api-sports.io/football/teams/36.png,0,1,1,1,0,1,1,38,1700.41308594,30,1731.05090332
31,194532,M Dean,2010-09-18,Villa Park (Birmingham),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 34,66,Aston Villa,https://media-4.api-sports.io/football/teams/66.png,0,68,Bolton,https://media-4.api-sports.io/football/teams/68.png,0,1,1,1,1,1,1,32,1730.6854248,73,1636.96411133
32,194533,P Dowd,2010-09-18,Stadium of Light (Sunderland),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 34,746,Sunderland,https://media-4.api-sports.io/football/teams/746.png,0,42,Arsenal,https://media-4.api-sports.io/football/teams/42.png,0,1,1,0,1,1,1,63,1649.16931152,6,1892.76940918
33,194529,M Jones,2010-09-18,White Hart Lane (London),Match Finished,FT,90,39,Premier League,England,https://media-4.api-sports.io/football/leagues/39.png,https://media-4.api-sports.io/flags/gb.svg,2010,Regular Season - 34,47,Tottenham,https://media-4.api-sports.io/football/teams/47.png,True,39,Wolves,https://media-4.api-sports.io/football/teams/39.png,False,3,1,0,1,3,1,14,1785.85803223,81,1618.29797363
