,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,time
,,,,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Bournemouth,2017-08-12 West Brom-Bournemouth,2017-08-12,Matchweek 1,Sat,Away,L,0,1,West Brom,1,0,0,3,15,0,24,5,13,0,0,0,43,16,12,57.1,15:00:00
ENG-Premier League,1718,Bournemouth,2017-08-19 Bournemouth-Watford,2017-08-19,Matchweek 2,Sat,Home,L,0,2,Watford,1,0,0,6,13,1,15,8,7,0,0,0,42,15,16,48.4,15:00:00
ENG-Premier League,1718,Bournemouth,2017-08-26 Bournemouth-Manchester City,2017-08-26,Matchweek 3,Sat,Home,L,1,2,Manchester City,5,0,0,13,14,0,9,12,13,0,0,0,49,13,23,36.1,12:30:00
ENG-Premier League,1718,Bournemouth,2017-09-09 Arsenal-Bournemouth,2017-09-09,Matchweek 4,Sat,Away,L,0,3,Arsenal,1,0,0,10,12,0,20,19,8,0,0,0,54,18,18,50.0,15:00:00
ENG-Premier League,1718,Bournemouth,2017-09-15 Bournemouth-Brighton,2017-09-15,Matchweek 5,Fri,Home,W,2,1,Brighton,0,0,0,5,12,1,18,9,8,0,0,0,52,21,17,55.3,20:00:00
ENG-Premier League,1718,Bournemouth,2017-09-23 Everton-Bournemouth,2017-09-23,Matchweek 6,Sat,Away,L,1,2,Everton,1,0,0,11,12,1,21,5,11,0,0,0,50,14,13,51.9,15:00:00
ENG-Premier League,1718,Bournemouth,2017-09-30 Bournemouth-Leicester City,2017-09-30,Matchweek 7,Sat,Home,D,0,0,Leicester City,1,0,0,6,10,1,27,4,9,0,0,0,69,24,26,48.0,15:00:00
ENG-Premier League,1718,Bournemouth,2017-10-14 Tottenham-Bournemouth,2017-10-14,Matchweek 8,Sat,Away,L,0,1,Tottenham,3,0,0,7,8,1,11,7,10,0,0,0,33,16,18,47.1,15:00:00
ENG-Premier League,1718,Bournemouth,2017-10-21 Stoke City-Bournemouth,2017-10-21,Matchweek 9,Sat,Away,W,2,1,Stoke City,1,0,0,10,17,1,9,8,14,1,0,0,52,19,23,45.2,15:00:00
ENG-Premier League,1718,Bournemouth,2017-10-28 Bournemouth-Chelsea,2017-10-28,Matchweek 10,Sat,Home,L,0,1,Chelsea,2,0,0,5,5,0,15,16,6,0,0,0,46,11,15,42.3,17:30:00
ENG-Premier League,1718,Bournemouth,2017-11-04 Newcastle Utd-Bournemouth,2017-11-04,Matchweek 11,Sat,Away,W,1,0,Newcastle Utd,2,0,0,12,10,1,25,10,9,0,0,0,48,36,30,54.5,15:00:00
ENG-Premier League,1718,Bournemouth,2017-11-18 Bournemouth-Huddersfield,2017-11-18,Matchweek 12,Sat,Home,W,4,0,Huddersfield,5,1,1,13,9,1,10,8,12,0,0,0,41,20,12,62.5,15:00:00
ENG-Premier League,1718,Bournemouth,2017-11-25 Swansea City-Bournemouth,2017-11-25,Matchweek 13,Sat,Away,D,0,0,Swansea City,2,0,0,6,17,1,22,11,11,0,0,0,54,16,18,47.1,15:00:00
ENG-Premier League,1718,Bournemouth,2017-11-29 Bournemouth-Burnley,2017-11-29,Matchweek 14,Wed,Home,L,1,2,Burnley,0,0,0,9,11,0,30,6,12,0,0,0,59,27,18,60.0,19:45:00
ENG-Premier League,1718,Bournemouth,2017-12-03 Bournemouth-Southampton,2017-12-03,Matchweek 15,Sun,Home,D,1,1,Southampton,2,0,0,6,11,0,22,10,5,0,0,0,44,12,23,34.3,13:30:00
ENG-Premier League,1718,Bournemouth,2017-12-09 Crystal Palace-Bournemouth,2017-12-09,Matchweek 16,Sat,Away,D,2,2,Crystal Palace,2,0,0,14,12,3,15,10,8,0,2,0,43,12,23,34.3,15:00:00
ENG-Premier League,1718,Bournemouth,2017-12-13 Manchester Utd-Bournemouth,2017-12-13,Matchweek 17,Wed,Away,L,0,1,Manchester Utd,2,0,0,12,13,0,25,10,7,0,0,0,62,11,9,55.0,20:00:00
ENG-Premier League,1718,Bournemouth,2017-12-17 Bournemouth-Liverpool,2017-12-17,Matchweek 18,Sun,Home,L,0,4,Liverpool,1,0,0,5,10,2,11,6,3,0,0,0,52,9,7,56.3,16:30:00
ENG-Premier League,1718,Bournemouth,2017-12-23 Manchester City-Bournemouth,2017-12-23,Matchweek 19,Sat,Away,L,0,4,Manchester City,1,0,0,7,5,2,13,16,7,0,0,0,38,10,12,45.5,15:00:00
ENG-Premier League,1718,Bournemouth,2017-12-26 Bournemouth-West Ham,2017-12-26,Matchweek 20,Tue,Home,D,3,3,West Ham,3,0,0,12,13,0,27,8,12,0,0,0,55,26,18,59.1,15:00:00
ENG-Premier League,1718,Bournemouth,2017-12-30 Bournemouth-Everton,2017-12-30,Matchweek 21,Sat,Home,W,2,1,Everton,0,0,0,8,12,0,19,16,5,0,0,0,64,24,22,52.2,15:00:00
ENG-Premier League,1718,Bournemouth,2018-01-01 Brighton-Bournemouth,2018-01-01,Matchweek 22,Mon,Away,D,2,2,Brighton,1,0,0,9,13,0,24,14,2,0,0,0,45,16,25,39.0,12:30:00
ENG-Premier League,1718,Bournemouth,2018-01-14 Bournemouth-Arsenal,2018-01-14,Matchweek 23,Sun,Home,W,2,1,Arsenal,2,0,0,8,9,0,14,13,10,0,0,0,66,26,31,45.6,13:30:00
ENG-Premier League,1718,Bournemouth,2018-01-20 West Ham-Bournemouth,2018-01-20,Matchweek 24,Sat,Away,D,1,1,West Ham,1,0,0,7,8,5,10,7,9,0,0,0,51,16,20,44.4,15:00:00
ENG-Premier League,1718,Bournemouth,2018-01-31 Chelsea-Bournemouth,2018-01-31,Matchweek 25,Wed,Away,W,3,0,Chelsea,0,0,0,12,5,2,7,18,10,0,0,0,50,9,23,28.1,19:45:00
ENG-Premier League,1718,Bournemouth,2018-02-03 Bournemouth-Stoke City,2018-02-03,Matchweek 26,Sat,Home,W,2,1,Stoke City,2,0,0,14,15,2,20,5,5,0,0,0,56,26,35,42.6,15:00:00
ENG-Premier League,1718,Bournemouth,2018-02-11 Huddersfield-Bournemouth,2018-02-11,Matchweek 27,Sun,Away,L,1,4,Huddersfield,3,0,0,12,11,5,14,12,13,0,1,1,65,13,22,37.1,12:00:00
ENG-Premier League,1718,Bournemouth,2018-02-24 Bournemouth-Newcastle Utd,2018-02-24,Matchweek 28,Sat,Home,D,2,2,Newcastle Utd,1,0,0,12,10,0,37,10,12,0,0,0,54,22,29,43.1,15:00:00
ENG-Premier League,1718,Bournemouth,2018-03-03 Leicester City-Bournemouth,2018-03-03,Matchweek 29,Sat,Away,D,1,1,Leicester City,1,0,0,7,10,2,8,5,7,1,0,0,55,35,31,53.0,15:00:00
ENG-Premier League,1718,Bournemouth,2018-03-11 Bournemouth-Tottenham,2018-03-11,Matchweek 30,Sun,Home,L,1,4,Tottenham,1,0,0,10,7,0,10,13,13,0,0,0,58,13,14,48.1,16:00:00
ENG-Premier League,1718,Bournemouth,2018-03-17 Bournemouth-West Brom,2018-03-17,Matchweek 31,Sat,Home,W,2,1,West Brom,1,0,0,6,9,1,18,7,10,0,0,0,59,17,19,47.2,15:00:00
ENG-Premier League,1718,Bournemouth,2018-03-31 Watford-Bournemouth,2018-03-31,Matchweek 32,Sat,Away,D,2,2,Watford,0,0,0,6,13,4,16,7,13,0,0,0,48,20,15,57.1,15:00:00
ENG-Premier League,1718,Bournemouth,2018-04-07 Bournemouth-Crystal Palace,2018-04-07,Matchweek 33,Sat,Home,D,2,2,Crystal Palace,2,0,0,8,9,3,39,9,5,0,0,0,57,18,16,52.9,15:00:00
ENG-Premier League,1718,Bournemouth,2018-04-14 Liverpool-Bournemouth,2018-04-14,Matchweek 34,Sat,Away,L,0,3,Liverpool,1,0,0,9,8,4,14,10,7,0,0,0,37,10,11,47.6,17:30:00
ENG-Premier League,1718,Bournemouth,2018-04-18 Bournemouth-Manchester Utd,2018-04-18,Matchweek 35,Wed,Home,L,0,2,Manchester Utd,3,0,0,9,8,1,23,12,4,0,0,0,50,18,22,45.0,19:45:00
ENG-Premier League,1718,Bournemouth,2018-04-28 Southampton-Bournemouth,2018-04-28,Matchweek 36,Sat,Away,L,1,2,Southampton,1,0,0,11,12,2,25,8,6,0,0,0,60,21,22,48.8,15:00:00
ENG-Premier League,1718,Bournemouth,2018-05-05 Bournemouth-Swansea City,2018-05-05,Matchweek 37,Sat,Home,W,1,0,Swansea City,1,0,0,10,10,4,20,5,3,0,0,0,58,32,21,60.4,15:00:00
ENG-Premier League,1718,Bournemouth,2018-05-13 Burnley-Bournemouth,2018-05-13,Matchweek 38,Sun,Away,W,2,1,Burnley,0,0,0,9,13,1,20,8,5,0,0,0,37,16,21,43.2,15:00:00
ENG-Premier League,1718,Brighton,2017-08-12 Brighton-Manchester City,2017-08-12,Matchweek 1,Sat,Home,L,0,2,Manchester City,0,0,0,6,8,6,8,12,8,0,0,1,42,13,13,50.0,17:30:00
ENG-Premier League,1718,Brighton,2017-08-19 Leicester City-Brighton,2017-08-19,Matchweek 2,Sat,Away,L,0,2,Leicester City,0,0,0,10,7,2,17,9,6,0,0,0,47,16,17,48.5,15:00:00
ENG-Premier League,1718,Brighton,2017-08-26 Watford-Brighton,2017-08-26,Matchweek 3,Sat,Away,D,0,0,Watford,1,0,0,18,6,5,31,7,9,0,0,0,46,20,19,51.3,15:00:00
ENG-Premier League,1718,Brighton,2017-09-09 Brighton-West Brom,2017-09-09,Matchweek 4,Sat,Home,W,3,1,West Brom,2,0,0,9,4,1,13,17,11,0,0,0,50,14,23,37.8,15:00:00
ENG-Premier League,1718,Brighton,2017-09-15 Bournemouth-Brighton,2017-09-15,Matchweek 5,Fri,Away,L,1,2,Bournemouth,0,0,0,12,4,1,13,13,16,0,0,0,52,17,21,44.7,20:00:00
ENG-Premier League,1718,Brighton,2017-09-24 Brighton-Newcastle Utd,2017-09-24,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,2,0,0,6,8,1,21,11,8,0,0,0,43,32,20,61.5,16:00:00
ENG-Premier League,1718,Brighton,2017-10-01 Arsenal-Brighton,2017-10-01,Matchweek 7,Sun,Away,L,0,2,Arsenal,2,0,0,8,7,3,18,19,6,0,0,0,46,13,30,30.2,12:00:00
ENG-Premier League,1718,Brighton,2017-10-15 Brighton-Everton,2017-10-15,Matchweek 8,Sun,Home,D,1,1,Everton,4,0,0,12,9,5,27,16,9,0,1,0,65,25,24,51.0,13:30:00
ENG-Premier League,1718,Brighton,2017-10-20 West Ham-Brighton,2017-10-20,Matchweek 9,Fri,Away,W,3,0,West Ham,0,0,0,13,5,1,10,14,7,1,0,0,62,21,14,60.0,20:00:00
ENG-Premier League,1718,Brighton,2017-10-29 Brighton-Southampton,2017-10-29,Matchweek 10,Sun,Home,D,1,1,Southampton,3,0,0,9,9,0,21,7,11,0,0,0,60,16,9,64.0,13:30:00
ENG-Premier League,1718,Brighton,2017-11-04 Swansea City-Brighton,2017-11-04,Matchweek 11,Sat,Away,W,1,0,Swansea City,1,0,0,12,13,2,20,10,10,0,0,0,55,21,27,43.8,15:00:00
ENG-Premier League,1718,Brighton,2017-11-20 Brighton-Stoke City,2017-11-20,Matchweek 12,Mon,Home,D,2,2,Stoke City,1,0,0,13,5,3,23,15,8,0,0,0,58,9,22,29.0,20:00:00
ENG-Premier League,1718,Brighton,2017-11-25 Manchester Utd-Brighton,2017-11-25,Matchweek 13,Sat,Away,L,0,1,Manchester Utd,2,0,0,9,9,1,17,14,14,0,0,1,71,14,14,50.0,15:00:00
ENG-Premier League,1718,Brighton,2017-11-28 Brighton-Crystal Palace,2017-11-28,Matchweek 14,Tue,Home,D,0,0,Crystal Palace,2,0,0,13,7,5,29,8,10,0,0,0,65,24,27,47.1,19:45:00
ENG-Premier League,1718,Brighton,2017-12-02 Brighton-Liverpool,2017-12-02,Matchweek 15,Sat,Home,L,1,5,Liverpool,1,0,0,8,6,0,13,12,13,1,0,1,56,16,12,57.1,15:00:00
ENG-Premier League,1718,Brighton,2017-12-09 Huddersfield-Brighton,2017-12-09,Matchweek 16,Sat,Away,L,0,2,Huddersfield,0,0,0,10,6,5,11,13,12,0,0,0,61,22,35,38.6,15:00:00
ENG-Premier League,1718,Brighton,2017-12-13 Tottenham-Brighton,2017-12-13,Matchweek 17,Wed,Away,L,0,2,Tottenham,1,0,0,10,5,1,8,17,9,0,0,0,46,20,20,50.0,20:00:00
ENG-Premier League,1718,Brighton,2017-12-16 Brighton-Burnley,2017-12-16,Matchweek 18,Sat,Home,D,0,0,Burnley,4,0,0,13,13,2,36,9,8,1,0,0,70,30,32,48.4,15:00:00
ENG-Premier League,1718,Brighton,2017-12-23 Brighton-Watford,2017-12-23,Matchweek 19,Sat,Home,W,1,0,Watford,0,0,0,8,10,6,21,12,11,0,0,0,64,36,25,59.0,15:00:00
ENG-Premier League,1718,Brighton,2017-12-26 Chelsea-Brighton,2017-12-26,Matchweek 20,Tue,Away,L,0,2,Chelsea,1,0,0,8,7,2,8,17,9,0,0,0,46,21,10,67.7,15:00:00
ENG-Premier League,1718,Brighton,2017-12-30 Newcastle Utd-Brighton,2017-12-30,Matchweek 21,Sat,Away,D,0,0,Newcastle Utd,2,0,0,10,10,2,22,10,10,0,0,0,73,31,28,52.5,15:00:00
ENG-Premier League,1718,Brighton,2018-01-01 Brighton-Bournemouth,2018-01-01,Matchweek 22,Mon,Home,D,2,2,Bournemouth,2,0,0,13,9,1,20,12,10,0,0,0,54,25,16,61.0,12:30:00
ENG-Premier League,1718,Brighton,2018-01-13 West Brom-Brighton,2018-01-13,Matchweek 23,Sat,Away,L,0,2,West Brom,0,0,0,15,8,2,23,7,13,0,0,0,54,20,23,46.5,15:00:00
ENG-Premier League,1718,Brighton,2018-01-20 Brighton-Chelsea,2018-01-20,Matchweek 24,Sat,Home,L,0,4,Chelsea,3,0,0,12,5,4,29,13,8,0,0,0,54,13,12,52.0,12:30:00
ENG-Premier League,1718,Brighton,2018-01-31 Southampton-Brighton,2018-01-31,Matchweek 25,Wed,Away,D,1,1,Southampton,1,0,0,10,8,4,13,16,9,1,0,0,53,39,18,68.4,19:45:00
ENG-Premier League,1718,Brighton,2018-02-03 Brighton-West Ham,2018-02-03,Matchweek 26,Sat,Home,W,3,1,West Ham,3,0,0,11,7,3,21,6,5,0,0,0,57,21,28,42.9,15:00:00
ENG-Premier League,1718,Brighton,2018-02-10 Stoke City-Brighton,2018-02-10,Matchweek 27,Sat,Away,D,1,1,Stoke City,0,0,0,10,6,3,12,17,21,0,1,0,58,37,31,54.4,15:00:00
ENG-Premier League,1718,Brighton,2018-02-24 Brighton-Swansea City,2018-02-24,Matchweek 28,Sat,Home,W,4,1,Swansea City,1,0,0,17,4,3,10,6,11,1,0,1,73,21,10,67.7,15:00:00
ENG-Premier League,1718,Brighton,2018-03-04 Brighton-Arsenal,2018-03-04,Matchweek 29,Sun,Home,W,2,1,Arsenal,3,0,0,13,11,6,16,13,12,0,0,0,64,18,19,48.6,13:30:00
ENG-Premier League,1718,Brighton,2018-03-10 Everton-Brighton,2018-03-10,Matchweek 30,Sat,Away,L,0,2,Everton,1,1,0,14,10,1,11,8,9,0,1,1,37,20,16,55.6,15:00:00
ENG-Premier League,1718,Brighton,2018-03-31 Brighton-Leicester City,2018-03-31,Matchweek 32,Sat,Home,L,0,2,Leicester City,2,0,0,11,13,6,25,12,6,1,0,0,63,15,21,41.7,15:00:00
ENG-Premier League,1718,Brighton,2018-04-07 Brighton-Huddersfield,2018-04-07,Matchweek 33,Sat,Home,D,1,1,Huddersfield,1,1,0,13,7,3,15,8,12,0,0,0,56,34,32,51.5,15:00:00
ENG-Premier League,1718,Brighton,2018-04-14 Crystal Palace-Brighton,2018-04-14,Matchweek 34,Sat,Away,L,2,3,Crystal Palace,2,0,0,16,10,1,30,8,6,0,0,0,55,20,18,52.6,15:00:00
ENG-Premier League,1718,Brighton,2018-04-17 Brighton-Tottenham,2018-04-17,Matchweek 35,Tue,Home,D,1,1,Tottenham,1,0,0,6,5,0,14,19,11,1,0,0,62,15,19,44.1,19:45:00
ENG-Premier League,1718,Brighton,2018-04-28 Burnley-Brighton,2018-04-28,Matchweek 36,Sat,Away,D,0,0,Burnley,2,0,0,17,5,3,23,7,8,0,0,0,58,32,20,61.5,15:00:00
ENG-Premier League,1718,Brighton,2018-05-04 Brighton-Manchester Utd,2018-05-04,Matchweek 37,Fri,Home,W,1,0,Manchester Utd,2,0,0,5,3,1,10,10,11,0,0,0,52,15,15,50.0,20:00:00
ENG-Premier League,1718,Brighton,2018-05-09 Manchester City-Brighton,2018-05-09,Matchweek 31,Wed,Away,L,1,3,Manchester City,1,0,0,7,5,2,9,16,12,0,0,0,46,10,21,32.3,20:00:00
ENG-Premier League,1718,Brighton,2018-05-13 Liverpool-Brighton,2018-05-13,Matchweek 38,Sun,Away,L,0,4,Liverpool,0,0,0,6,3,1,12,9,11,0,0,0,48,10,16,38.5,15:00:00
ENG-Premier League,1718,Burnley,2017-08-12 Chelsea-Burnley,2017-08-12,Matchweek 1,Sat,Away,W,3,2,Chelsea,3,0,0,11,15,1,16,13,4,0,0,0,30,21,15,58.3,15:00:00
ENG-Premier League,1718,Burnley,2017-08-19 Burnley-West Brom,2017-08-19,Matchweek 2,Sat,Home,L,0,1,West Brom,1,0,0,11,11,1,33,7,8,0,0,0,33,23,18,56.1,15:00:00
ENG-Premier League,1718,Burnley,2017-08-27 Tottenham-Burnley,2017-08-27,Matchweek 3,Sun,Away,D,1,1,Tottenham,0,0,0,9,9,6,20,15,9,0,0,0,47,27,14,65.9,16:00:00
ENG-Premier League,1718,Burnley,2017-09-10 Burnley-Crystal Palace,2017-09-10,Matchweek 4,Sun,Home,W,1,0,Crystal Palace,1,0,0,7,14,8,12,6,13,0,0,0,45,23,17,57.5,13:30:00
ENG-Premier League,1718,Burnley,2017-09-16 Liverpool-Burnley,2017-09-16,Matchweek 5,Sat,Away,D,1,1,Liverpool,2,0,0,9,7,5,7,7,6,0,0,0,46,14,8,63.6,15:00:00
ENG-Premier League,1718,Burnley,2017-09-23 Burnley-Huddersfield,2017-09-23,Matchweek 6,Sat,Home,D,0,0,Huddersfield,3,0,0,9,13,5,12,13,9,0,0,0,60,25,21,54.3,15:00:00
