league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
ENG-Premier League,2223,Aston Villa,2022-10-16 Aston Villa-Chelsea,2022-10-16,14:00:00,Matchweek 11,Sun,Home,L,0,2,Chelsea,1.8,0.9,42,41754,John McGinn,4-3-3,Robert Jones
ENG-Premier League,2223,Aston Villa,2022-10-20 Fulham-Aston Villa,2022-10-20,19:30:00,Matchweek 12,Thu,Away,L,0,3,Fulham,1.2,2.1,40,23508,John McGinn,4-3-2-1,Michael Oliver
ENG-Premier League,2223,Aston Villa,2022-10-23 Aston Villa-Brentford,2022-10-23,14:00:00,Matchweek 13,Sun,Home,W,4,0,Brentford,2.8,0.9,45,41693,Emiliano Martínez,4-2-3-1,Darren England
ENG-Premier League,2223,Aston Villa,2022-10-29 Newcastle Utd-Aston Villa,2022-10-29,15:00:00,Matchweek 14,Sat,Away,L,0,4,Newcastle Utd,0.4,3.4,41,52233,Emiliano Martínez,4-2-3-1,Paul Tierney
ENG-Premier League,2223,Aston Villa,2022-11-06 Aston Villa-Manchester Utd,2022-11-06,14:00:00,Matchweek 15,Sun,Home,W,3,1,Manchester Utd,0.6,0.5,42,42058,Emiliano Martínez,4-2-2-2,Anthony Taylor
ENG-Premier League,2223,Aston Villa,2022-11-13 Brighton-Aston Villa,2022-11-13,14:00:00,Matchweek 16,Sun,Away,W,2,1,Brighton,1.5,0.6,35,31581,John McGinn,4-4-2,Chris Kavanagh
ENG-Premier League,2223,Aston Villa,2022-12-26 Aston Villa-Liverpool,2022-12-26,17:30:00,Matchweek 17,Mon,Home,L,1,3,Liverpool,1.4,2.7,48,42085,John McGinn,4-4-2,Paul Tierney
ENG-Premier League,2223,Aston Villa,2023-01-01 Tottenham-Aston Villa,2023-01-01,14:00:00,Matchweek 18,Sun,Away,W,2,0,Tottenham,1.0,0.7,41,61651,John McGinn,4-4-2,John Brooks
ENG-Premier League,2223,Aston Villa,2023-01-04 Aston Villa-Wolves,2023-01-04,20:00:00,Matchweek 19,Wed,Home,D,1,1,Wolves,1.8,0.9,56,39978,Ashley Young,4-4-2,Jarred Gillett
ENG-Premier League,2223,Aston Villa,2023-01-13 Aston Villa-Leeds United,2023-01-13,20:00:00,Matchweek 20,Fri,Home,W,2,1,Leeds United,1.2,2.4,52,42008,Emiliano Martínez,4-4-2,Michael Oliver
ENG-Premier League,2223,Aston Villa,2023-01-21 Southampton-Aston Villa,2023-01-21,15:00:00,Matchweek 21,Sat,Away,W,1,0,Southampton,1.4,0.6,63,30158,Emiliano Martínez,4-4-2,Michael Salisbury
ENG-Premier League,2223,Aston Villa,2023-02-04 Aston Villa-Leicester City,2023-02-04,15:00:00,Matchweek 22,Sat,Home,L,2,4,Leicester City,1.7,2.6,62,42055,Emiliano Martínez,4-4-2,Darren England
