league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
ENG-Premier League,2223,Crystal Palace,2022-10-29 Crystal Palace-Southampton,2022-10-29,15:00:00,Matchweek 14,Sat,Home,W,1,0,Southampton,0.9,1.3,44,25130,Luka Milivojević,4-3-3,Michael Salisbury
ENG-Premier League,2223,Crystal Palace,2022-11-06 West Ham-Crystal Palace,2022-11-06,14:00:00,Matchweek 15,Sun,Away,W,2,1,West Ham,1.0,0.3,58,62451,Marc Guéhi,4-3-3,Paul Tierney
ENG-Premier League,2223,Crystal Palace,2022-11-12 Nott'ham Forest-Crystal Palace,2022-11-12,15:00:00,Matchweek 16,Sat,Away,L,0,1,Nott'ham Forest,1.2,1.1,68,29045,Marc Guéhi,4-3-3,John Brooks
ENG-Premier League,2223,Crystal Palace,2022-12-26 Crystal Palace-Fulham,2022-12-26,15:00:00,Matchweek 17,Mon,Home,L,0,3,Fulham,0.4,2.5,36,25176,Joachim Andersen,4-3-3,Andy Madley
ENG-Premier League,2223,Crystal Palace,2022-12-31 Bournemouth-Crystal Palace,2022-12-31,15:00:00,Matchweek 18,Sat,Away,W,2,0,Bournemouth,1.6,0.6,41,9972,Joel Ward,4-2-3-1,Andre Marriner
ENG-Premier League,2223,Crystal Palace,2023-01-04 Crystal Palace-Tottenham,2023-01-04,20:00:00,Matchweek 19,Wed,Home,L,0,4,Tottenham,0.8,1.4,47,25132,Joel Ward,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Crystal Palace,2023-01-15 Chelsea-Crystal Palace,2023-01-15,14:00:00,Matchweek 20,Sun,Away,L,0,1,Chelsea,0.7,1.5,39,40075,Marc Guéhi,4-2-3-1,Peter Bankes
ENG-Premier League,2223,Crystal Palace,2023-01-18 Crystal Palace-Manchester Utd,2023-01-18,20:00:00,Matchweek 7,Wed,Home,D,1,1,Manchester Utd,0.5,2.1,40,23343,Marc Guéhi,4-2-3-1,Robert Jones
ENG-Premier League,2223,Crystal Palace,2023-01-21 Crystal Palace-Newcastle Utd,2023-01-21,17:30:00,Matchweek 21,Sat,Home,D,0,0,Newcastle Utd,0.3,1.2,40,25350,Joel Ward,4-2-3-1,Craig Pawson
ENG-Premier League,2223,Crystal Palace,2023-02-04 Manchester Utd-Crystal Palace,2023-02-04,15:00:00,Matchweek 22,Sat,Away,L,1,2,Manchester Utd,1.3,2.0,48,73420,Marc Guéhi,4-2-3-1,Andre Marriner
ENG-Premier League,2223,Crystal Palace,2023-02-11 Crystal Palace-Brighton,2023-02-11,15:00:00,Matchweek 23,Sat,Home,D,1,1,Brighton,1.1,2.5,27,24827,Marc Guéhi,4-4-2,Michael Oliver
ENG-Premier League,2223,Crystal Palace,2023-02-18 Brentford-Crystal Palace,2023-02-18,15:00:00,Matchweek 24,Sat,Away,D,1,1,Brentford,1.1,0.9,41,17122,Marc Guéhi,4-2-3-1,Paul Tierney
ENG-Premier League,2223,Crystal Palace,2023-02-25 Crystal Palace-Liverpool,2023-02-25,19:45:00,Matchweek 25,Sat,Home,D,0,0,Liverpool,0.7,0.9,37,25842,Marc Guéhi,4-2-3-1,Darren England
ENG-Premier League,2223,Crystal Palace,2023-03-04 Aston Villa-Crystal Palace,2023-03-04,15:00:00,Matchweek 26,Sat,Away,L,0,1,Aston Villa,0.2,1.2,42,41893,Marc Guéhi,4-2-3-1,Craig Pawson
ENG-Premier League,2223,Crystal Palace,2023-03-11 Crystal Palace-Manchester City,2023-03-11,17:30:00,Matchweek 27,Sat,Home,L,0,1,Manchester City,0.2,2.1,33,25844,Luka Milivojević,4-3-3,Robert Jones
ENG-Premier League,2223,Crystal Palace,2023-03-15 Brighton-Crystal Palace,2023-03-15,19:30:00,Matchweek 8,Wed,Away,L,0,1,Brighton,1.1,0.6,43,30933,Marc Guéhi,4-3-3,Peter Bankes
ENG-Premier League,2223,Crystal Palace,2023-03-19 Arsenal-Crystal Palace,2023-03-19,14:00:00,Matchweek 28,Sun,Away,L,1,4,Arsenal,0.8,1.6,38,60247,Luka Milivojević,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Crystal Palace,2023-04-01 Crystal Palace-Leicester City,2023-04-01,15:00:00,Matchweek 29,Sat,Home,W,2,1,Leicester City,2.3,0.2,52,25147,Wilfried Zaha,4-3-3,Tim Robinson
ENG-Premier League,2223,Crystal Palace,2023-04-09 Leeds United-Crystal Palace,2023-04-09,14:00:00,Matchweek 30,Sun,Away,W,5,1,Leeds United,3.0,0.9,52,36427,Joel Ward,4-3-3,Simon Hooper
ENG-Premier League,2223,Crystal Palace,2023-04-15 Southampton-Crystal Palace,2023-04-15,15:00:00,Matchweek 31,Sat,Away,W,2,0,Southampton,0.9,0.8,42,30309,Joel Ward,4-3-3,Michael Oliver
ENG-Premier League,2223,Crystal Palace,2023-04-22 Crystal Palace-Everton,2023-04-22,15:00:00,Matchweek 32,Sat,Home,D,0,0,Everton,0.5,0.4,56,25202,Joel Ward,4-3-3,John Brooks
ENG-Premier League,2223,Crystal Palace,2023-04-25 Wolves-Crystal Palace,2023-04-25,19:30:00,Matchweek 33,Tue,Away,L,0,2,Wolves,0.8,1.4,59,30294,Luka Milivojević,4-3-3,Robert Jones
ENG-Premier League,2223,Crystal Palace,2023-04-29 Crystal Palace-West Ham,2023-04-29,12:30:00,Matchweek 34,Sat,Home,W,4,3,West Ham,2.1,1.7,59,25148,Wilfried Zaha,4-3-3,Craig Pawson
ENG-Premier League,2223,Crystal Palace,2023-05-06 Tottenham-Crystal Palace,2023-05-06,15:00:00,Matchweek 35,Sat,Away,L,0,1,Tottenham,0.4,0.9,44,61093,Wilfried Zaha,4-3-3,Darren England
ENG-Premier League,2223,Crystal Palace,2023-05-13 Crystal Palace-Bournemouth,2023-05-13,15:00:00,Matchweek 36,Sat,Home,W,2,0,Bournemouth,1.5,0.3,59,25034,Wilfried Zaha,4-2-3-1,Michael Salisbury
ENG-Premier League,2223,Crystal Palace,2023-05-20 Fulham-Crystal Palace,2023-05-20,15:00:00,Matchweek 37,Sat,Away,D,2,2,Fulham,1.6,1.7,51,24356,Joel Ward,4-2-3-1,Joshua Smith
ENG-Premier League,2223,Crystal Palace,2023-05-28 Crystal Palace-Nott'ham Forest,2023-05-28,16:30:00,Matchweek 38,Sun,Home,D,1,1,Nott'ham Forest,1.4,0.5,66,25198,Joel Ward,4-2-3-1,Thomas Bramall
ENG-Premier League,2223,Everton,2022-08-06 Everton-Chelsea,2022-08-06,17:30:00,Matchweek 1,Sat,Home,L,0,1,Chelsea,0.7,1.5,38,39254,Jordan Pickford,5-4-1,Craig Pawson
ENG-Premier League,2223,Everton,2022-08-13 Aston Villa-Everton,2022-08-13,12:30:00,Matchweek 2,Sat,Away,L,1,2,Aston Villa,1.6,2.3,43,41883,Jordan Pickford,3-4-3,Michael Oliver
ENG-Premier League,2223,Everton,2022-08-20 Everton-Nott'ham Forest,2022-08-20,15:00:00,Matchweek 3,Sat,Home,D,1,1,Nott'ham Forest,1.5,1.0,49,39271,Jordan Pickford,3-4-3,Andre Marriner
ENG-Premier League,2223,Everton,2022-08-27 Brentford-Everton,2022-08-27,15:00:00,Matchweek 4,Sat,Away,D,1,1,Brentford,1.1,2.1,42,17009,Jordan Pickford,3-4-3,John Brooks
ENG-Premier League,2223,Everton,2022-08-30 Leeds United-Everton,2022-08-30,20:00:00,Matchweek 5,Tue,Away,D,1,1,Leeds United,1.0,1.0,31,36338,Jordan Pickford,4-3-3,Darren England
ENG-Premier League,2223,Everton,2022-09-03 Everton-Liverpool,2022-09-03,12:30:00,Matchweek 6,Sat,Home,D,0,0,Liverpool,1.7,2.1,39,39240,Jordan Pickford,4-3-3,Anthony Taylor
ENG-Premier League,2223,Everton,2022-09-18 Everton-West Ham,2022-09-18,14:15:00,Matchweek 8,Sun,Home,W,1,0,West Ham,0.4,1.0,53,39298,Conor Coady,4-3-3,Michael Oliver
ENG-Premier League,2223,Everton,2022-10-01 Southampton-Everton,2022-10-01,15:00:00,Matchweek 9,Sat,Away,W,2,1,Southampton,2.0,1.7,45,30510,Séamus Coleman,4-3-3,Andre Marriner
ENG-Premier League,2223,Everton,2022-10-09 Everton-Manchester Utd,2022-10-09,19:00:00,Matchweek 10,Sun,Home,L,1,2,Manchester Utd,0.6,1.4,40,39258,Séamus Coleman,4-3-3,David Coote
ENG-Premier League,2223,Everton,2022-10-15 Tottenham-Everton,2022-10-15,17:30:00,Matchweek 11,Sat,Away,L,0,2,Tottenham,0.4,2.2,38,61812,Séamus Coleman,5-3-2,Paul Tierney
ENG-Premier League,2223,Everton,2022-10-19 Newcastle Utd-Everton,2022-10-19,19:30:00,Matchweek 12,Wed,Away,L,0,1,Newcastle Utd,0.2,1.5,51,52247,Séamus Coleman,4-3-3,Tony Harrington
ENG-Premier League,2223,Everton,2022-10-22 Everton-Crystal Palace,2022-10-22,15:00:00,Matchweek 13,Sat,Home,W,3,0,Crystal Palace,1.4,0.9,46,38939,Séamus Coleman,4-2-3-1,Simon Hooper
ENG-Premier League,2223,Everton,2022-10-29 Fulham-Everton,2022-10-29,17:30:00,Matchweek 14,Sat,Away,D,0,0,Fulham,0.9,1.9,44,23534,Séamus Coleman,4-2-3-1,John Brooks
ENG-Premier League,2223,Everton,2022-11-05 Everton-Leicester City,2022-11-05,17:30:00,Matchweek 15,Sat,Home,L,0,2,Leicester City,1.2,2.3,49,39206,Séamus Coleman,4-3-3,David Coote
ENG-Premier League,2223,Everton,2022-11-12 Bournemouth-Everton,2022-11-12,15:00:00,Matchweek 16,Sat,Away,L,0,3,Bournemouth,0.8,2.4,64,10382,Jordan Pickford,4-3-3,Craig Pawson
ENG-Premier League,2223,Everton,2022-12-26 Everton-Wolves,2022-12-26,15:00:00,Matchweek 17,Mon,Home,L,1,2,Wolves,1.7,0.8,58,39252,Jordan Pickford,4-3-3,Craig Pawson
ENG-Premier League,2223,Everton,2022-12-31 Manchester City-Everton,2022-12-31,15:00:00,Matchweek 18,Sat,Away,D,1,1,Manchester City,0.1,1.7,26,53444,Jordan Pickford,5-3-2,Andy Madley
ENG-Premier League,2223,Everton,2023-01-03 Everton-Brighton,2023-01-03,19:45:00,Matchweek 19,Tue,Home,L,1,4,Brighton,1.3,2.2,49,39103,Jordan Pickford,4-3-3,Andre Marriner
ENG-Premier League,2223,Everton,2023-01-14 Everton-Southampton,2023-01-14,15:00:00,Matchweek 20,Sat,Home,L,1,2,Southampton,1.4,1.2,52,39305,Séamus Coleman,3-4-3,John Brooks
ENG-Premier League,2223,Everton,2023-01-21 West Ham-Everton,2023-01-21,15:00:00,Matchweek 21,Sat,Away,L,0,2,West Ham,0.5,2.2,67,62470,Séamus Coleman,3-4-3,Stuart Attwell
ENG-Premier League,2223,Everton,2023-02-04 Everton-Arsenal,2023-02-04,12:30:00,Matchweek 22,Sat,Home,W,1,0,Arsenal,1.7,0.9,30,39314,Séamus Coleman,4-5-1,David Coote
ENG-Premier League,2223,Everton,2023-02-13 Liverpool-Everton,2023-02-13,20:00:00,Matchweek 23,Mon,Away,L,0,2,Liverpool,0.4,2.3,41,53027,Séamus Coleman,4-5-1,Simon Hooper
ENG-Premier League,2223,Everton,2023-02-18 Everton-Leeds United,2023-02-18,15:00:00,Matchweek 24,Sat,Home,W,1,0,Leeds United,1.4,0.5,51,39232,Séamus Coleman,4-5-1,Andy Madley
ENG-Premier League,2223,Everton,2023-02-25 Everton-Aston Villa,2023-02-25,15:00:00,Matchweek 25,Sat,Home,L,0,2,Aston Villa,1.6,1.9,47,39309,Séamus Coleman,4-1-4-1,Anthony Taylor
ENG-Premier League,2223,Everton,2023-03-01 Arsenal-Everton,2023-03-01,19:45:00,Matchweek 7,Wed,Away,L,0,4,Arsenal,1.2,2.6,27,60213,Séamus Coleman,4-5-1,Michael Oliver
ENG-Premier League,2223,Everton,2023-03-05 Nott'ham Forest-Everton,2023-03-05,14:00:00,Matchweek 26,Sun,Away,D,2,2,Nott'ham Forest,1.7,0.8,43,29353,Séamus Coleman,4-5-1,John Brooks
ENG-Premier League,2223,Everton,2023-03-11 Everton-Brentford,2023-03-11,15:00:00,Matchweek 27,Sat,Home,W,1,0,Brentford,1.0,2.0,33,39274,Séamus Coleman,4-5-1,Simon Hooper
ENG-Premier League,2223,Everton,2023-03-18 Chelsea-Everton,2023-03-18,17:30:00,Matchweek 28,Sat,Away,D,2,2,Chelsea,1.2,2.3,32,40025,Séamus Coleman,4-5-1,Darren England
ENG-Premier League,2223,Everton,2023-04-03 Everton-Tottenham,2023-04-03,20:00:00,Matchweek 29,Mon,Home,D,1,1,Tottenham,0.9,1.4,39,39294,Séamus Coleman,4-1-4-1,David Coote
ENG-Premier League,2223,Everton,2023-04-08 Manchester Utd-Everton,2023-04-08,12:30:00,Matchweek 30,Sat,Away,L,0,2,Manchester Utd,1.0,3.4,37,73509,Séamus Coleman,4-4-2,Michael Oliver
ENG-Premier League,2223,Everton,2023-04-15 Everton-Fulham,2023-04-15,15:00:00,Matchweek 31,Sat,Home,L,1,3,Fulham,1.4,1.8,46,39241,Jordan Pickford,4-4-2,Anthony Taylor
ENG-Premier League,2223,Everton,2023-04-22 Crystal Palace-Everton,2023-04-22,15:00:00,Matchweek 32,Sat,Away,D,0,0,Crystal Palace,0.4,0.5,44,25202,Jordan Pickford,4-2-3-1,John Brooks
ENG-Premier League,2223,Everton,2023-04-27 Everton-Newcastle Utd,2023-04-27,19:45:00,Matchweek 33,Thu,Home,L,1,4,Newcastle Utd,0.9,2.4,40,39248,Jordan Pickford,4-3-3,Andre Marriner
ENG-Premier League,2223,Everton,2023-05-01 Leicester City-Everton,2023-05-01,20:00:00,Matchweek 34,Mon,Away,D,2,2,Leicester City,3.1,3.4,46,32173,Séamus Coleman,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Everton,2023-05-08 Brighton-Everton,2023-05-08,17:30:00,Matchweek 35,Mon,Away,W,5,1,Brighton,2.3,3.2,22,31567,Jordan Pickford,4-2-3-1,Simon Hooper
ENG-Premier League,2223,Everton,2023-05-14 Everton-Manchester City,2023-05-14,14:00:00,Matchweek 36,Sun,Home,L,0,3,Manchester City,1.6,0.8,37,39376,Jordan Pickford,4-2-3-1,Anthony Taylor
ENG-Premier League,2223,Everton,2023-05-20 Wolves-Everton,2023-05-20,15:00:00,Matchweek 37,Sat,Away,D,1,1,Wolves,2.0,1.6,48,31684,Jordan Pickford,4-1-4-1,David Coote
ENG-Premier League,2223,Everton,2023-05-28 Everton-Bournemouth,2023-05-28,16:30:00,Matchweek 38,Sun,Home,W,1,0,Bournemouth,1.0,0.5,38,39201,Jordan Pickford,3-4-3,Stuart Attwell
ENG-Premier League,2223,Fulham,2022-08-06 Fulham-Liverpool,2022-08-06,12:30:00,Matchweek 1,Sat,Home,D,2,2,Liverpool,1.2,1.2,33,22207,Tim Ream,4-2-3-1,Andy Madley
ENG-Premier League,2223,Fulham,2022-08-13 Wolves-Fulham,2022-08-13,15:00:00,Matchweek 2,Sat,Away,D,0,0,Wolves,1.5,0.9,41,31178,Tim Ream,4-2-3-1,John Brooks
ENG-Premier League,2223,Fulham,2022-08-20 Fulham-Brentford,2022-08-20,15:00:00,Matchweek 3,Sat,Home,W,3,2,Brentford,2.4,1.8,43,21798,Tim Ream,4-2-3-1,Peter Bankes
ENG-Premier League,2223,Fulham,2022-08-27 Arsenal-Fulham,2022-08-27,17:30:00,Matchweek 4,Sat,Away,L,1,2,Arsenal,0.8,2.6,29,60164,Tim Ream,4-2-3-1,Jarred Gillett
ENG-Premier League,2223,Fulham,2022-08-30 Fulham-Brighton,2022-08-30,19:30:00,Matchweek 5,Tue,Home,W,2,1,Brighton,0.7,1.4,39,22224,Tim Ream,4-2-3-1,Thomas Bramall
ENG-Premier League,2223,Fulham,2022-09-03 Tottenham-Fulham,2022-09-03,15:00:00,Matchweek 6,Sat,Away,L,1,2,Tottenham,0.7,2.9,48,61641,Tim Ream,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Fulham,2022-09-16 Nott'ham Forest-Fulham,2022-09-16,20:00:00,Matchweek 8,Fri,Away,W,3,2,Nott'ham Forest,0.9,1.4,59,28654,Tim Ream,4-2-3-1,Jarred Gillett
ENG-Premier League,2223,Fulham,2022-10-01 Fulham-Newcastle Utd,2022-10-01,15:00:00,Matchweek 9,Sat,Home,L,1,4,Newcastle Utd,0.5,3.3,33,22913,Tim Ream,4-2-3-1,Darren England
ENG-Premier League,2223,Fulham,2022-10-09 West Ham-Fulham,2022-10-09,14:00:00,Matchweek 10,Sun,Away,L,1,3,West Ham,0.7,2.4,50,62407,Tim Ream,4-2-3-1,Chris Kavanagh
ENG-Premier League,2223,Fulham,2022-10-15 Fulham-Bournemouth,2022-10-15,15:00:00,Matchweek 11,Sat,Home,D,2,2,Bournemouth,2.1,1.0,69,22541,Tim Ream,4-2-3-1,Graham Scott
ENG-Premier League,2223,Fulham,2022-10-20 Fulham-Aston Villa,2022-10-20,19:30:00,Matchweek 12,Thu,Home,W,3,0,Aston Villa,2.1,1.2,60,23508,Tim Ream,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Fulham,2022-10-23 Leeds United-Fulham,2022-10-23,14:00:00,Matchweek 13,Sun,Away,W,3,2,Leeds United,1.8,1.6,43,36447,Tim Ream,4-2-3-1,Anthony Taylor
ENG-Premier League,2223,Fulham,2022-10-29 Fulham-Everton,2022-10-29,17:30:00,Matchweek 14,Sat,Home,D,0,0,Everton,1.9,0.9,56,23534,Tim Ream,4-2-3-1,John Brooks
ENG-Premier League,2223,Fulham,2022-11-05 Manchester City-Fulham,2022-11-05,15:00:00,Matchweek 15,Sat,Away,L,1,2,Manchester City,1.0,2.1,30,52395,Tim Ream,4-2-3-1,Darren England
ENG-Premier League,2223,Fulham,2022-11-13 Fulham-Manchester Utd,2022-11-13,16:30:00,Matchweek 16,Sun,Home,L,1,2,Manchester Utd,1.4,2.5,53,24246,Tom Cairney,4-2-3-1,Paul Tierney
ENG-Premier League,2223,Fulham,2022-12-26 Crystal Palace-Fulham,2022-12-26,15:00:00,Matchweek 17,Mon,Away,W,3,0,Crystal Palace,2.5,0.4,64,25176,Tim Ream,4-2-3-1,Andy Madley
ENG-Premier League,2223,Fulham,2022-12-31 Fulham-Southampton,2022-12-31,15:00:00,Matchweek 18,Sat,Home,W,2,1,Southampton,1.5,0.8,62,24344,Tim Ream,4-2-3-1,Graham Scott
ENG-Premier League,2223,Fulham,2023-01-03 Leicester City-Fulham,2023-01-03,19:45:00,Matchweek 19,Tue,Away,W,1,0,Leicester City,1.7,1.7,39,30813,Tim Ream,4-2-3-1,Darren Bond
ENG-Premier League,2223,Fulham,2023-01-12 Fulham-Chelsea,2023-01-12,20:00:00,Matchweek 7,Thu,Home,W,2,1,Chelsea,1.0,2.1,48,24460,Tim Ream,4-2-3-1,David Coote
ENG-Premier League,2223,Fulham,2023-01-15 Newcastle Utd-Fulham,2023-01-15,14:00:00,Matchweek 20,Sun,Away,L,0,1,Newcastle Utd,1.1,2.2,38,52247,Tim Ream,4-2-3-1,Robert Jones
ENG-Premier League,2223,Fulham,2023-01-23 Fulham-Tottenham,2023-01-23,20:00:00,Matchweek 21,Mon,Home,L,0,1,Tottenham,1.0,0.9,54,24190,Tim Ream,4-2-3-1,Paul Tierney
ENG-Premier League,2223,Fulham,2023-02-03 Chelsea-Fulham,2023-02-03,20:00:00,Matchweek 22,Fri,Away,D,0,0,Chelsea,0.6,1.3,34,40041,Tim Ream,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Fulham,2023-02-11 Fulham-Nott'ham Forest,2023-02-11,15:00:00,Matchweek 23,Sat,Home,W,2,0,Nott'ham Forest,1.5,0.7,50,24244,Tim Ream,4-2-3-1,Andy Madley
ENG-Premier League,2223,Fulham,2023-02-18 Brighton-Fulham,2023-02-18,15:00:00,Matchweek 24,Sat,Away,W,1,0,Brighton,0.3,2.2,35,31619,Tim Ream,4-2-3-1,Darren England
ENG-Premier League,2223,Fulham,2023-02-24 Fulham-Wolves,2023-02-24,20:00:00,Matchweek 25,Fri,Home,D,1,1,Wolves,0.5,0.8,51,24399,Tim Ream,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Fulham,2023-03-06 Brentford-Fulham,2023-03-06,20:00:00,Matchweek 26,Mon,Away,L,2,3,Brentford,1.4,2.2,63,17025,Tim Ream,4-2-3-1,Anthony Taylor
ENG-Premier League,2223,Fulham,2023-03-12 Fulham-Arsenal,2023-03-12,14:00:00,Matchweek 27,Sun,Home,L,0,3,Arsenal,0.8,2.3,45,24426,Tim Ream,4-2-3-1,David Coote
ENG-Premier League,2223,Fulham,2023-04-01 Bournemouth-Fulham,2023-04-01,15:00:00,Matchweek 29,Sat,Away,L,1,2,Bournemouth,0.8,2.6,57,10305,Tim Ream,4-2-3-1,Peter Bankes
ENG-Premier League,2223,Fulham,2023-04-08 Fulham-West Ham,2023-04-08,15:00:00,Matchweek 30,Sat,Home,L,0,1,West Ham,0.7,1.1,76,24491,Tim Ream,4-2-3-1,Jarred Gillett
ENG-Premier League,2223,Fulham,2023-04-15 Everton-Fulham,2023-04-15,15:00:00,Matchweek 31,Sat,Away,W,3,1,Everton,1.8,1.4,54,39241,Tim Ream,4-2-3-1,Anthony Taylor
ENG-Premier League,2223,Fulham,2023-04-22 Fulham-Leeds United,2023-04-22,12:30:00,Matchweek 32,Sat,Home,W,2,1,Leeds United,1.7,0.8,50,24356,Tim Ream,4-2-3-1,Peter Bankes
ENG-Premier League,2223,Fulham,2023-04-25 Aston Villa-Fulham,2023-04-25,19:45:00,Matchweek 33,Tue,Away,L,0,1,Aston Villa,0.1,1.0,49,41046,Tim Ream,4-2-3-1,Thomas Bramall
ENG-Premier League,2223,Fulham,2023-04-30 Fulham-Manchester City,2023-04-30,14:00:00,Matchweek 34,Sun,Home,L,1,2,Manchester City,0.2,2.5,38,24498,Tim Ream,4-2-3-1,Simon Hooper
ENG-Premier League,2223,Fulham,2023-05-03 Liverpool-Fulham,2023-05-03,20:00:00,Matchweek 28,Wed,Away,L,0,1,Liverpool,0.9,1.8,43,52602,Tom Cairney,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Fulham,2023-05-08 Fulham-Leicester City,2023-05-08,15:00:00,Matchweek 35,Mon,Home,W,5,3,Leicester City,1.6,2.8,57,24442,Tom Cairney,4-2-3-1,Robert Jones
ENG-Premier League,2223,Fulham,2023-05-13 Southampton-Fulham,2023-05-13,15:00:00,Matchweek 36,Sat,Away,W,2,0,Southampton,1.4,0.4,64,28978,Tom Cairney,4-2-3-1,Thomas Bramall
ENG-Premier League,2223,Fulham,2023-05-20 Fulham-Crystal Palace,2023-05-20,15:00:00,Matchweek 37,Sat,Home,D,2,2,Crystal Palace,1.7,1.6,49,24356,Tom Cairney,4-2-3-1,Joshua Smith
ENG-Premier League,2223,Fulham,2023-05-28 Manchester Utd-Fulham,2023-05-28,16:30:00,Matchweek 38,Sun,Away,L,1,2,Manchester Utd,1.8,2.9,47,73465,Tom Cairney,4-2-3-1,Robert Jones
ENG-Premier League,2223,Leeds United,2022-08-06 Leeds United-Wolves,2022-08-06,15:00:00,Matchweek 1,Sat,Home,W,2,1,Wolves,0.8,1.3,40,36347,Patrick Bamford,4-2-3-1,Robert Jones
ENG-Premier League,2223,Leeds United,2022-08-13 Southampton-Leeds United,2022-08-13,15:00:00,Matchweek 2,Sat,Away,D,2,2,Southampton,1.8,1.2,57,30815,Patrick Bamford,4-2-3-1,Tony Harrington
ENG-Premier League,2223,Leeds United,2022-08-21 Leeds United-Chelsea,2022-08-21,14:00:00,Matchweek 3,Sun,Home,W,3,0,Chelsea,2.1,0.9,39,36372,Rodrigo,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Leeds United,2022-08-27 Brighton-Leeds United,2022-08-27,15:00:00,Matchweek 4,Sat,Away,L,0,1,Brighton,1.8,2.0,56,30953,Rodrigo,4-2-3-1,Michael Salisbury
ENG-Premier League,2223,Leeds United,2022-08-30 Leeds United-Everton,2022-08-30,20:00:00,Matchweek 5,Tue,Home,D,1,1,Everton,1.0,1.0,69,36338,Rodrigo,4-2-3-1,Darren England
ENG-Premier League,2223,Leeds United,2022-09-03 Brentford-Leeds United,2022-09-03,15:00:00,Matchweek 6,Sat,Away,L,2,5,Brentford,1.7,2.3,68,17092,Robin Koch,4-2-3-1,Robert Jones
ENG-Premier League,2223,Leeds United,2022-10-02 Leeds United-Aston Villa,2022-10-02,16:30:00,Matchweek 9,Sun,Home,D,0,0,Aston Villa,0.4,2.2,44,36582,Liam Cooper,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Leeds United,2022-10-09 Crystal Palace-Leeds United,2022-10-09,14:00:00,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,1.0,1.1,46,25042,Liam Cooper,4-2-3-1,Paul Tierney
ENG-Premier League,2223,Leeds United,2022-10-16 Leeds United-Arsenal,2022-10-16,14:00:00,Matchweek 11,Sun,Home,L,0,1,Arsenal,1.8,0.5,47,36700,Liam Cooper,4-2-3-1,Chris Kavanagh
ENG-Premier League,2223,Leeds United,2022-10-20 Leicester City-Leeds United,2022-10-20,20:15:00,Matchweek 12,Thu,Away,L,0,2,Leicester City,1.3,0.8,54,30814,Patrick Bamford,4-2-3-1,Peter Bankes
ENG-Premier League,2223,Leeds United,2022-10-23 Leeds United-Fulham,2022-10-23,14:00:00,Matchweek 13,Sun,Home,L,2,3,Fulham,1.6,1.8,57,36447,Liam Cooper,4-2-3-1,Anthony Taylor
ENG-Premier League,2223,Leeds United,2022-10-29 Liverpool-Leeds United,2022-10-29,19:45:00,Matchweek 14,Sat,Away,W,2,1,Liverpool,1.8,1.7,32,53274,Liam Cooper,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Leeds United,2022-11-05 Leeds United-Bournemouth,2022-11-05,15:00:00,Matchweek 15,Sat,Home,W,4,3,Bournemouth,2.2,1.5,60,36304,Liam Cooper,4-2-3-1,Tony Harrington
ENG-Premier League,2223,Leeds United,2022-11-12 Tottenham-Leeds United,2022-11-12,15:00:00,Matchweek 16,Sat,Away,L,3,4,Tottenham,1.1,1.8,45,61667,Liam Cooper,4-2-3-1,Michael Salisbury
ENG-Premier League,2223,Leeds United,2022-12-28 Leeds United-Manchester City,2022-12-28,20:00:00,Matchweek 17,Wed,Home,L,1,3,Manchester City,0.6,4.3,31,36889,Liam Cooper,4-3-3,Stuart Attwell
ENG-Premier League,2223,Leeds United,2022-12-31 Newcastle Utd-Leeds United,2022-12-31,15:00:00,Matchweek 18,Sat,Away,D,0,0,Newcastle Utd,0.4,2.2,40,52211,Liam Cooper,4-2-3-1,Simon Hooper
ENG-Premier League,2223,Leeds United,2023-01-04 Leeds United-West Ham,2023-01-04,19:45:00,Matchweek 19,Wed,Home,D,2,2,West Ham,1.6,1.4,62,36173,Liam Cooper,4-2-3-1,David Coote
ENG-Premier League,2223,Leeds United,2023-01-13 Aston Villa-Leeds United,2023-01-13,20:00:00,Matchweek 20,Fri,Away,L,1,2,Aston Villa,2.4,1.2,48,42008,Liam Cooper,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Leeds United,2023-01-22 Leeds United-Brentford,2023-01-22,14:00:00,Matchweek 21,Sun,Home,D,0,0,Brentford,0.5,0.4,58,36260,Luke Ayling,4-2-3-1,Peter Bankes
ENG-Premier League,2223,Leeds United,2023-02-05 Nott'ham Forest-Leeds United,2023-02-05,14:00:00,Matchweek 22,Sun,Away,L,0,1,Nott'ham Forest,0.9,0.4,70,29363,Liam Cooper,4-2-3-1,Robert Jones
