,,,,date,round,day,venue,result,GF,GA,opponent,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,time
ENG-Premier League,2223,Arsenal,2022-12-31 Brighton-Arsenal,2022-12-31,Matchweek 18,Sat,Away,W,4,2,Brighton,4,14,7,50.0,0.29,0.57,11.2,0,0,0,2.9,2.9,0.22,1.1,1.1,17:30:00
ENG-Premier League,2223,Arsenal,2023-01-03 Arsenal-Newcastle Utd,2023-01-03,Matchweek 19,Tue,Home,D,0,0,Newcastle Utd,0,17,4,23.5,0.0,0.0,17.0,0,0,0,1.1,1.1,0.07,-1.1,-1.1,19:45:00
ENG-Premier League,2223,Arsenal,2023-01-15 Tottenham-Arsenal,2023-01-15,Matchweek 20,Sun,Away,W,2,0,Tottenham,1,14,5,35.7,0.07,0.2,17.9,2,0,0,1.8,1.8,0.13,-0.8,-0.8,16:30:00
ENG-Premier League,2223,Arsenal,2023-01-22 Arsenal-Manchester Utd,2023-01-22,Matchweek 21,Sun,Home,W,3,2,Manchester Utd,3,25,5,20.0,0.12,0.6,14.2,0,0,0,3.1,3.1,0.13,-0.1,-0.1,16:30:00
ENG-Premier League,2223,Arsenal,2023-02-04 Everton-Arsenal,2023-02-04,Matchweek 22,Sat,Away,L,0,1,Everton,0,15,2,13.3,0.0,0.0,17.6,0,0,0,0.9,0.9,0.06,-0.9,-0.9,12:30:00
ENG-Premier League,2223,Arsenal,2023-02-11 Arsenal-Brentford,2023-02-11,Matchweek 23,Sat,Home,D,1,1,Brentford,1,23,7,30.4,0.04,0.14,19.6,0,0,0,1.6,1.6,0.07,-0.6,-0.6,15:00:00
ENG-Premier League,2223,Arsenal,2023-02-15 Arsenal-Manchester City,2023-02-15,Matchweek 12,Wed,Home,L,1,3,Manchester City,1,9,0,0.0,0.0,,19.2,0,1,1,1.6,0.9,0.09,-0.6,-0.9,19:30:00
ENG-Premier League,2223,Arsenal,2023-02-18 Aston Villa-Arsenal,2023-02-18,Matchweek 24,Sat,Away,W,4,2,Aston Villa,3,20,5,25.0,0.15,0.6,15.7,0,0,0,3.2,3.2,0.16,-0.2,-0.2,12:30:00
ENG-Premier League,2223,Arsenal,2023-02-25 Leicester City-Arsenal,2023-02-25,Matchweek 25,Sat,Away,W,1,0,Leicester City,1,10,2,20.0,0.1,0.5,19.4,1,0,0,0.7,0.7,0.07,0.3,0.3,15:00:00
ENG-Premier League,2223,Arsenal,2023-03-01 Arsenal-Everton,2023-03-01,Matchweek 7,Wed,Home,W,4,0,Everton,4,15,5,33.3,0.27,0.8,12.9,0,0,0,2.6,2.6,0.18,1.4,1.4,19:45:00
ENG-Premier League,2223,Arsenal,2023-03-04 Arsenal-Bournemouth,2023-03-04,Matchweek 26,Sat,Home,W,3,2,Bournemouth,3,31,9,29.0,0.1,0.33,18.1,2,0,0,2.1,2.1,0.07,0.9,0.9,15:00:00
ENG-Premier League,2223,Arsenal,2023-03-12 Fulham-Arsenal,2023-03-12,Matchweek 27,Sun,Away,W,3,0,Fulham,3,15,7,46.7,0.2,0.43,15.2,1,0,0,2.3,2.3,0.16,0.7,0.7,14:00:00
ENG-Premier League,2223,Arsenal,2023-03-19 Arsenal-Crystal Palace,2023-03-19,Matchweek 28,Sun,Home,W,4,1,Crystal Palace,4,15,5,33.3,0.27,0.8,16.4,0,0,0,1.6,1.6,0.1,2.4,2.4,14:00:00
ENG-Premier League,2223,Arsenal,2023-04-01 Arsenal-Leeds United,2023-04-01,Matchweek 29,Sat,Home,W,4,1,Leeds United,4,12,4,33.3,0.25,0.75,13.9,0,1,1,3.8,3.0,0.25,0.2,0.0,15:00:00
ENG-Premier League,2223,Arsenal,2023-04-09 Liverpool-Arsenal,2023-04-09,Matchweek 30,Sun,Away,D,2,2,Liverpool,2,9,5,55.6,0.22,0.4,15.7,0,0,0,1.4,1.4,0.16,0.6,0.6,16:30:00
ENG-Premier League,2223,Arsenal,2023-04-16 West Ham-Arsenal,2023-04-16,Matchweek 31,Sun,Away,D,2,2,West Ham,2,10,5,50.0,0.2,0.4,13.9,0,0,1,2.7,2.0,0.2,-0.7,0.0,14:00:00
ENG-Premier League,2223,Arsenal,2023-04-21 Arsenal-Southampton,2023-04-21,Matchweek 32,Fri,Home,D,3,3,Southampton,3,25,5,20.0,0.12,0.6,15.3,0,0,0,2.5,2.5,0.1,0.5,0.5,20:00:00
ENG-Premier League,2223,Arsenal,2023-04-26 Manchester City-Arsenal,2023-04-26,Matchweek 33,Wed,Away,L,1,4,Manchester City,1,8,2,25.0,0.13,0.5,18.0,1,0,0,0.5,0.5,0.06,0.5,0.5,20:00:00
ENG-Premier League,2223,Arsenal,2023-05-02 Arsenal-Chelsea,2023-05-02,Matchweek 34,Tue,Home,W,3,1,Chelsea,3,16,9,56.3,0.19,0.33,13.0,0,0,0,1.7,1.7,0.11,1.3,1.3,20:00:00
ENG-Premier League,2223,Arsenal,2023-05-07 Newcastle Utd-Arsenal,2023-05-07,Matchweek 35,Sun,Away,W,2,0,Newcastle Utd,1,10,6,60.0,0.1,0.17,16.6,0,0,0,1.3,1.3,0.13,-0.3,-0.3,16:30:00
ENG-Premier League,2223,Arsenal,2023-05-14 Arsenal-Brighton,2023-05-14,Matchweek 36,Sun,Home,L,0,3,Brighton,0,14,2,14.3,0.0,0.0,16.4,0,0,0,0.9,0.9,0.07,-0.9,-0.9,16:30:00
ENG-Premier League,2223,Arsenal,2023-05-20 Nott'ham Forest-Arsenal,2023-05-20,Matchweek 37,Sat,Away,L,0,1,Nott'ham Forest,0,11,3,27.3,0.0,0.0,16.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,17:30:00
ENG-Premier League,2223,Arsenal,2023-05-28 Arsenal-Wolves,2023-05-28,Matchweek 38,Sun,Home,W,5,0,Wolves,5,14,8,57.1,0.36,0.63,13.7,1,0,0,2.8,2.8,0.2,2.2,2.2,16:30:00
ENG-Premier League,2223,Aston Villa,2022-08-06 Bournemouth-Aston Villa,2022-08-06,Matchweek 1,Sat,Away,L,0,2,Bournemouth,0,15,2,13.3,0.0,0.0,24.6,0,0,0,0.7,0.7,0.04,-0.7,-0.7,15:00:00
ENG-Premier League,2223,Aston Villa,2022-08-13 Aston Villa-Everton,2022-08-13,Matchweek 2,Sat,Home,W,2,1,Everton,2,12,3,25.0,0.17,0.67,13.3,0,0,0,2.3,2.3,0.19,-0.3,-0.3,12:30:00
ENG-Premier League,2223,Aston Villa,2022-08-20 Crystal Palace-Aston Villa,2022-08-20,Matchweek 3,Sat,Away,L,1,3,Crystal Palace,1,13,5,38.5,0.08,0.2,17.8,0,0,0,0.9,0.9,0.07,0.1,0.1,15:00:00
ENG-Premier League,2223,Aston Villa,2022-08-28 Aston Villa-West Ham,2022-08-28,Matchweek 4,Sun,Home,L,0,1,West Ham,0,9,3,33.3,0.0,0.0,20.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,14:00:00
ENG-Premier League,2223,Aston Villa,2022-08-31 Arsenal-Aston Villa,2022-08-31,Matchweek 5,Wed,Away,L,1,2,Arsenal,1,4,3,75.0,0.25,0.33,19.2,0,0,0,0.4,0.4,0.11,0.6,0.6,19:30:00
ENG-Premier League,2223,Aston Villa,2022-09-03 Aston Villa-Manchester City,2022-09-03,Matchweek 6,Sat,Home,D,1,1,Manchester City,1,3,1,33.3,0.33,1.0,16.8,0,0,0,0.3,0.3,0.11,0.7,0.7,17:30:00
ENG-Premier League,2223,Aston Villa,2022-09-16 Aston Villa-Southampton,2022-09-16,Matchweek 8,Fri,Home,W,1,0,Southampton,1,11,3,27.3,0.09,0.33,20.7,1,0,0,1.5,1.5,0.14,-0.5,-0.5,20:00:00
ENG-Premier League,2223,Aston Villa,2022-10-02 Leeds United-Aston Villa,2022-10-02,Matchweek 9,Sun,Away,D,0,0,Leeds United,0,19,6,31.6,0.0,0.0,17.8,0,0,0,2.2,2.2,0.12,-2.2,-2.2,16:30:00
ENG-Premier League,2223,Aston Villa,2022-10-10 Nott'ham Forest-Aston Villa,2022-10-10,Matchweek 10,Mon,Away,D,1,1,Nott'ham Forest,1,12,2,16.7,0.08,0.5,20.2,3,0,0,0.7,0.7,0.06,0.3,0.3,20:00:00
ENG-Premier League,2223,Aston Villa,2022-10-16 Aston Villa-Chelsea,2022-10-16,Matchweek 11,Sun,Home,L,0,2,Chelsea,0,18,7,38.9,0.0,0.0,15.3,1,0,0,1.8,1.8,0.1,-1.8,-1.8,14:00:00
ENG-Premier League,2223,Aston Villa,2022-10-20 Fulham-Aston Villa,2022-10-20,Matchweek 12,Thu,Away,L,0,3,Fulham,0,12,6,50.0,0.0,0.0,15.0,0,0,0,1.2,1.2,0.1,-1.2,-1.2,19:30:00
ENG-Premier League,2223,Aston Villa,2022-10-23 Aston Villa-Brentford,2022-10-23,Matchweek 13,Sun,Home,W,4,0,Brentford,4,18,10,55.6,0.17,0.3,18.7,0,1,1,2.8,2.1,0.13,1.2,0.9,14:00:00
ENG-Premier League,2223,Aston Villa,2022-10-29 Newcastle Utd-Aston Villa,2022-10-29,Matchweek 14,Sat,Away,L,0,4,Newcastle Utd,0,3,0,0.0,0.0,,13.9,0,0,0,0.4,0.4,0.12,-0.4,-0.4,15:00:00
ENG-Premier League,2223,Aston Villa,2022-11-06 Aston Villa-Manchester Utd,2022-11-06,Matchweek 15,Sun,Home,W,3,1,Manchester Utd,3,6,4,66.7,0.5,0.75,22.7,1,0,0,0.6,0.6,0.11,2.4,2.4,14:00:00
ENG-Premier League,2223,Aston Villa,2022-11-13 Brighton-Aston Villa,2022-11-13,Matchweek 16,Sun,Away,W,2,1,Brighton,2,7,1,14.3,0.14,1.0,25.1,0,1,1,1.5,0.7,0.1,0.5,0.3,14:00:00
ENG-Premier League,2223,Aston Villa,2022-12-26 Aston Villa-Liverpool,2022-12-26,Matchweek 17,Mon,Home,L,1,3,Liverpool,1,12,6,50.0,0.08,0.17,15.3,0,0,0,1.4,1.4,0.12,-0.4,-0.4,17:30:00
ENG-Premier League,2223,Aston Villa,2023-01-01 Tottenham-Aston Villa,2023-01-01,Matchweek 18,Sun,Away,W,2,0,Tottenham,2,13,4,30.8,0.15,0.5,20.8,1,0,0,1.0,1.0,0.08,1.0,1.0,14:00:00
ENG-Premier League,2223,Aston Villa,2023-01-04 Aston Villa-Wolves,2023-01-04,Matchweek 19,Wed,Home,D,1,1,Wolves,1,13,3,23.1,0.08,0.33,19.2,1,0,0,1.8,1.8,0.14,-0.8,-0.8,20:00:00
ENG-Premier League,2223,Aston Villa,2023-01-13 Aston Villa-Leeds United,2023-01-13,Matchweek 20,Fri,Home,W,2,1,Leeds United,2,11,5,45.5,0.18,0.4,16.9,0,0,0,1.2,1.2,0.11,0.8,0.8,20:00:00
ENG-Premier League,2223,Aston Villa,2023-01-21 Southampton-Aston Villa,2023-01-21,Matchweek 21,Sat,Away,W,1,0,Southampton,1,16,5,31.3,0.06,0.2,17.0,1,0,0,1.4,1.4,0.09,-0.4,-0.4,15:00:00
ENG-Premier League,2223,Aston Villa,2023-02-04 Aston Villa-Leicester City,2023-02-04,Matchweek 22,Sat,Home,L,2,4,Leicester City,1,19,4,21.1,0.05,0.25,17.5,0,0,0,1.7,1.7,0.09,-0.7,-0.7,15:00:00
ENG-Premier League,2223,Aston Villa,2023-02-12 Manchester City-Aston Villa,2023-02-12,Matchweek 23,Sun,Away,L,1,3,Manchester City,1,6,2,33.3,0.17,0.5,22.8,0,0,0,0.3,0.3,0.05,0.7,0.7,16:30:00
ENG-Premier League,2223,Aston Villa,2023-02-18 Aston Villa-Arsenal,2023-02-18,Matchweek 24,Sat,Home,L,2,4,Arsenal,2,7,5,71.4,0.29,0.4,23.3,1,0,0,0.5,0.5,0.07,1.5,1.5,12:30:00
ENG-Premier League,2223,Aston Villa,2023-02-25 Everton-Aston Villa,2023-02-25,Matchweek 25,Sat,Away,W,2,0,Everton,2,8,4,50.0,0.13,0.25,22.1,1,1,1,1.9,1.1,0.14,0.1,-0.1,15:00:00
ENG-Premier League,2223,Aston Villa,2023-03-04 Aston Villa-Crystal Palace,2023-03-04,Matchweek 26,Sat,Home,W,1,0,Crystal Palace,0,8,1,12.5,0.0,0.0,14.8,0,0,0,1.2,1.2,0.15,-1.2,-1.2,15:00:00
ENG-Premier League,2223,Aston Villa,2023-03-12 West Ham-Aston Villa,2023-03-12,Matchweek 27,Sun,Away,D,1,1,West Ham,1,12,4,33.3,0.08,0.25,13.3,0,0,0,1.5,1.5,0.13,-0.5,-0.5,14:00:00
ENG-Premier League,2223,Aston Villa,2023-03-18 Aston Villa-Bournemouth,2023-03-18,Matchweek 28,Sat,Home,W,3,0,Bournemouth,3,20,9,45.0,0.15,0.33,13.9,0,0,0,3.5,3.5,0.18,-0.5,-0.5,15:00:00
ENG-Premier League,2223,Aston Villa,2023-04-01 Chelsea-Aston Villa,2023-04-01,Matchweek 29,Sat,Away,W,2,0,Chelsea,2,5,2,40.0,0.4,1.0,22.5,0,0,0,0.9,0.9,0.18,1.1,1.1,17:30:00
ENG-Premier League,2223,Aston Villa,2023-04-04 Leicester City-Aston Villa,2023-04-04,Matchweek 7,Tue,Away,W,2,1,Leicester City,2,15,5,33.3,0.13,0.4,20.3,1,0,0,1.0,1.0,0.07,1.0,1.0,19:45:00
ENG-Premier League,2223,Aston Villa,2023-04-08 Aston Villa-Nott'ham Forest,2023-04-08,Matchweek 30,Sat,Home,W,2,0,Nott'ham Forest,2,8,3,37.5,0.25,0.67,12.4,0,0,0,1.3,1.3,0.16,0.7,0.7,15:00:00
ENG-Premier League,2223,Aston Villa,2023-04-15 Aston Villa-Newcastle Utd,2023-04-15,Matchweek 31,Sat,Home,W,3,0,Newcastle Utd,3,16,6,37.5,0.19,0.5,18.3,0,0,0,1.9,1.9,0.12,1.1,1.1,12:30:00
ENG-Premier League,2223,Aston Villa,2023-04-22 Brentford-Aston Villa,2023-04-22,Matchweek 32,Sat,Away,D,1,1,Brentford,1,14,2,14.3,0.07,0.5,18.6,0,0,0,1.5,1.5,0.12,-0.5,-0.5,15:00:00
ENG-Premier League,2223,Aston Villa,2023-04-25 Aston Villa-Fulham,2023-04-25,Matchweek 33,Tue,Home,W,1,0,Fulham,1,14,3,21.4,0.07,0.33,16.4,0,0,0,1.0,1.0,0.07,0.0,0.0,19:45:00
ENG-Premier League,2223,Aston Villa,2023-04-30 Manchester Utd-Aston Villa,2023-04-30,Matchweek 34,Sun,Away,L,0,1,Manchester Utd,0,7,1,14.3,0.0,0.0,17.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,14:00:00
ENG-Premier League,2223,Aston Villa,2023-05-06 Wolves-Aston Villa,2023-05-06,Matchweek 35,Sat,Away,L,0,1,Wolves,0,16,3,18.8,0.0,0.0,16.0,1,0,0,1.5,1.5,0.09,-1.5,-1.5,15:00:00
ENG-Premier League,2223,Aston Villa,2023-05-13 Aston Villa-Tottenham,2023-05-13,Matchweek 36,Sat,Home,W,2,1,Tottenham,2,8,4,50.0,0.25,0.5,15.4,1,0,0,1.2,1.2,0.15,0.8,0.8,15:00:00
ENG-Premier League,2223,Aston Villa,2023-05-20 Liverpool-Aston Villa,2023-05-20,Matchweek 37,Sat,Away,D,1,1,Liverpool,1,5,3,60.0,0.2,0.33,19.5,0,0,1,1.3,0.6,0.11,-0.3,0.4,15:00:00
ENG-Premier League,2223,Aston Villa,2023-05-28 Aston Villa-Brighton,2023-05-28,Matchweek 38,Sun,Home,W,2,1,Brighton,2,12,5,41.7,0.17,0.4,18.2,4,0,0,2.8,2.8,0.24,-0.8,-0.8,16:30:00
ENG-Premier League,2223,Bournemouth,2022-08-06 Bournemouth-Aston Villa,2022-08-06,Matchweek 1,Sat,Home,W,2,0,Aston Villa,2,7,3,42.9,0.29,0.67,15.7,0,0,0,0.6,0.6,0.09,1.4,1.4,15:00:00
ENG-Premier League,2223,Bournemouth,2022-08-13 Manchester City-Bournemouth,2022-08-13,Matchweek 2,Sat,Away,L,0,4,Manchester City,0,3,1,33.3,0.0,0.0,20.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,15:00:00
ENG-Premier League,2223,Bournemouth,2022-08-20 Bournemouth-Arsenal,2022-08-20,Matchweek 3,Sat,Home,L,0,3,Arsenal,0,6,1,16.7,0.0,0.0,18.5,1,0,0,0.3,0.3,0.05,-0.3,-0.3,17:30:00
ENG-Premier League,2223,Bournemouth,2022-08-27 Liverpool-Bournemouth,2022-08-27,Matchweek 4,Sat,Away,L,0,9,Liverpool,0,5,2,40.0,0.0,0.0,18.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,15:00:00
ENG-Premier League,2223,Bournemouth,2022-08-31 Bournemouth-Wolves,2022-08-31,Matchweek 5,Wed,Home,D,0,0,Wolves,0,5,2,40.0,0.0,0.0,16.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,19:30:00
ENG-Premier League,2223,Bournemouth,2022-09-03 Nott'ham Forest-Bournemouth,2022-09-03,Matchweek 6,Sat,Away,W,3,2,Nott'ham Forest,3,8,3,37.5,0.38,1.0,17.5,0,0,0,0.8,0.8,0.1,2.2,2.2,15:00:00
ENG-Premier League,2223,Bournemouth,2022-09-17 Newcastle Utd-Bournemouth,2022-09-17,Matchweek 8,Sat,Away,D,1,1,Newcastle Utd,1,10,3,30.0,0.1,0.33,18.1,0,0,0,0.7,0.7,0.07,0.3,0.3,15:00:00
ENG-Premier League,2223,Bournemouth,2022-10-01 Bournemouth-Brentford,2022-10-01,Matchweek 9,Sat,Home,D,0,0,Brentford,0,7,0,0.0,0.0,,15.5,1,0,0,0.4,0.4,0.05,-0.4,-0.4,15:00:00
ENG-Premier League,2223,Bournemouth,2022-10-08 Bournemouth-Leicester City,2022-10-08,Matchweek 10,Sat,Home,W,2,1,Leicester City,2,10,4,40.0,0.2,0.5,15.0,1,0,0,1.1,1.1,0.11,0.9,0.9,15:00:00
ENG-Premier League,2223,Bournemouth,2022-10-15 Fulham-Bournemouth,2022-10-15,Matchweek 11,Sat,Away,D,2,2,Fulham,2,10,6,60.0,0.2,0.33,13.0,0,0,0,1.0,1.0,0.11,1.0,1.0,15:00:00
ENG-Premier League,2223,Bournemouth,2022-10-19 Bournemouth-Southampton,2022-10-19,Matchweek 12,Wed,Home,L,0,1,Southampton,0,15,3,20.0,0.0,0.0,17.6,1,0,0,1.0,1.0,0.07,-1.0,-1.0,19:30:00
ENG-Premier League,2223,Bournemouth,2022-10-24 West Ham-Bournemouth,2022-10-24,Matchweek 13,Mon,Away,L,0,2,West Ham,0,5,3,60.0,0.0,0.0,13.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,20:00:00
ENG-Premier League,2223,Bournemouth,2022-10-29 Bournemouth-Tottenham,2022-10-29,Matchweek 14,Sat,Home,L,2,3,Tottenham,2,6,4,66.7,0.33,0.5,14.0,0,0,0,0.5,0.5,0.09,1.5,1.5,15:00:00
ENG-Premier League,2223,Bournemouth,2022-11-05 Leeds United-Bournemouth,2022-11-05,Matchweek 15,Sat,Away,L,3,4,Leeds United,3,9,5,55.6,0.33,0.6,12.4,0,0,0,1.5,1.5,0.16,1.5,1.5,15:00:00
ENG-Premier League,2223,Bournemouth,2022-11-12 Bournemouth-Everton,2022-11-12,Matchweek 16,Sat,Home,W,3,0,Everton,3,16,8,50.0,0.19,0.38,13.6,0,0,0,2.4,2.4,0.16,0.6,0.6,15:00:00
ENG-Premier League,2223,Bournemouth,2022-12-27 Chelsea-Bournemouth,2022-12-27,Matchweek 17,Tue,Away,L,0,2,Chelsea,0,9,4,44.4,0.0,0.0,21.0,2,0,0,0.5,0.5,0.06,-0.5,-0.5,17:30:00
ENG-Premier League,2223,Bournemouth,2022-12-31 Bournemouth-Crystal Palace,2022-12-31,Matchweek 18,Sat,Home,L,0,2,Crystal Palace,0,6,2,33.3,0.0,0.0,14.8,0,0,0,0.6,0.6,0.1,-0.6,-0.6,15:00:00
ENG-Premier League,2223,Bournemouth,2023-01-03 Manchester Utd-Bournemouth,2023-01-03,Matchweek 19,Tue,Away,L,0,3,Manchester Utd,0,7,4,57.1,0.0,0.0,15.7,1,0,0,0.6,0.6,0.08,-0.6,-0.6,20:00:00
ENG-Premier League,2223,Bournemouth,2023-01-14 Brentford-Bournemouth,2023-01-14,Matchweek 20,Sat,Away,L,0,2,Brentford,0,7,2,28.6,0.0,0.0,18.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,17:30:00
ENG-Premier League,2223,Bournemouth,2023-01-21 Bournemouth-Nott'ham Forest,2023-01-21,Matchweek 21,Sat,Home,D,1,1,Nott'ham Forest,1,16,3,18.8,0.06,0.33,15.4,2,0,0,1.4,1.4,0.09,-0.4,-0.4,15:00:00
ENG-Premier League,2223,Bournemouth,2023-02-04 Brighton-Bournemouth,2023-02-04,Matchweek 22,Sat,Away,L,0,1,Brighton,0,12,2,16.7,0.0,0.0,15.3,0,0,0,1.1,1.1,0.1,-1.1,-1.1,15:00:00
ENG-Premier League,2223,Bournemouth,2023-02-11 Bournemouth-Newcastle Utd,2023-02-11,Matchweek 23,Sat,Home,D,1,1,Newcastle Utd,1,11,4,36.4,0.09,0.25,16.5,1,0,0,1.5,1.5,0.14,-0.5,-0.5,17:30:00
ENG-Premier League,2223,Bournemouth,2023-02-18 Wolves-Bournemouth,2023-02-18,Matchweek 24,Sat,Away,W,1,0,Wolves,1,5,1,20.0,0.2,1.0,14.0,0,0,0,1.1,1.1,0.21,-0.1,-0.1,15:00:00
ENG-Premier League,2223,Bournemouth,2023-02-25 Bournemouth-Manchester City,2023-02-25,Matchweek 25,Sat,Home,L,1,4,Manchester City,1,13,2,15.4,0.08,0.5,14.2,0,0,0,1.0,1.0,0.08,0.0,0.0,17:30:00
ENG-Premier League,2223,Bournemouth,2023-03-04 Arsenal-Bournemouth,2023-03-04,Matchweek 26,Sat,Away,L,2,3,Arsenal,2,4,4,100.0,0.5,0.5,8.1,0,0,0,1.3,1.3,0.33,0.7,0.7,15:00:00
ENG-Premier League,2223,Bournemouth,2023-03-11 Bournemouth-Liverpool,2023-03-11,Matchweek 27,Sat,Home,W,1,0,Liverpool,1,5,2,40.0,0.2,0.5,12.3,0,0,0,0.9,0.9,0.17,0.1,0.1,12:30:00
ENG-Premier League,2223,Bournemouth,2023-03-18 Aston Villa-Bournemouth,2023-03-18,Matchweek 28,Sat,Away,L,0,3,Aston Villa,0,10,3,30.0,0.0,0.0,12.6,1,0,0,1.3,1.3,0.14,-1.3,-1.3,15:00:00
ENG-Premier League,2223,Bournemouth,2023-04-01 Bournemouth-Fulham,2023-04-01,Matchweek 29,Sat,Home,W,2,1,Fulham,2,12,6,50.0,0.17,0.33,12.5,0,0,0,2.6,2.6,0.24,-0.6,-0.6,15:00:00
ENG-Premier League,2223,Bournemouth,2023-04-04 Bournemouth-Brighton,2023-04-04,Matchweek 7,Tue,Home,L,0,2,Brighton,0,14,3,21.4,0.0,0.0,15.8,0,0,0,1.7,1.7,0.13,-1.7,-1.7,19:45:00
ENG-Premier League,2223,Bournemouth,2023-04-08 Leicester City-Bournemouth,2023-04-08,Matchweek 30,Sat,Away,W,1,0,Leicester City,1,19,7,36.8,0.05,0.14,14.7,1,0,0,2.0,2.0,0.12,-1.0,-1.0,15:00:00
ENG-Premier League,2223,Bournemouth,2023-04-15 Tottenham-Bournemouth,2023-04-15,Matchweek 31,Sat,Away,W,3,2,Tottenham,3,9,6,66.7,0.33,0.5,17.9,0,0,0,1.3,1.3,0.15,1.7,1.7,15:00:00
