fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
195972,,UTC,2012-02-11T14:30:00+00:00,1328970600,,,,Signal-Iduna-Park (Dortmund),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 21,165,Borussia Dortmund,https://media-4.api-sports.io/football/teams/165.png,True,168,Bayer Leverkusen,https://media-4.api-sports.io/football/teams/168.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
195973,,UTC,2012-02-11T14:30:00+00:00,1328970600,,,,Allianz-Arena (München),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 21,157,Bayern Munich,https://media-4.api-sports.io/football/teams/157.png,True,745,FC Kaiserslautern,https://media-4.api-sports.io/football/teams/745.png,False,2.0,0.0,2.0,0.0,2.0,0.0,,,,
195974,,UTC,2012-02-11T14:30:00+00:00,1328970600,,,,Weserstadion (Bremen),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 21,162,Werder Bremen,https://media-4.api-sports.io/football/teams/162.png,,167,1899 Hoffenheim,https://media-4.api-sports.io/football/teams/167.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
195975,,UTC,2012-02-11T14:30:00+00:00,1328970600,,,,Coface Arena (Mainz),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 21,164,FSV Mainz 05,https://media-4.api-sports.io/football/teams/164.png,,166,Hannover 96,https://media-4.api-sports.io/football/teams/166.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
195976,,UTC,2012-02-11T14:30:00+00:00,1328970600,,,,Mercedes-Benz-Arena (Stuttgart),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 21,172,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,True,159,Hertha Berlin,https://media-4.api-sports.io/football/teams/159.png,False,5.0,0.0,4.0,0.0,5.0,0.0,,,,
195977,,UTC,2012-02-11T17:30:00+00:00,1328981400,,,,Stadion im BORUSSIA-PARK (Mönchengladbach),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 21,163,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,True,174,FC Schalke 04,https://media-4.api-sports.io/football/teams/174.png,False,3.0,0.0,3.0,0.0,3.0,0.0,,,,
195978,,UTC,2012-02-12T14:30:00+00:00,1329057000,,,,SGL Arena (Augsburg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 21,170,FC Augsburg,https://media-4.api-sports.io/football/teams/170.png,,171,FC Nurnberg,https://media-4.api-sports.io/football/teams/171.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
195979,,UTC,2012-02-12T16:30:00+00:00,1329064200,,,,RheinEnergieStadion (Köln),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 21,192,FC Koln,https://media-4.api-sports.io/football/teams/192.png,False,175,Hamburger SV,https://media-4.api-sports.io/football/teams/175.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
195980,,UTC,2012-02-17T19:30:00+00:00,1329507000,,,,Wirsol Rhein-Neckar-Arena (Sinsheim),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 22,167,1899 Hoffenheim,https://media-4.api-sports.io/football/teams/167.png,,164,FSV Mainz 05,https://media-4.api-sports.io/football/teams/164.png,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
195981,,UTC,2012-02-18T14:30:00+00:00,1329575400,,,,BayArena (Leverkusen),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 22,168,Bayer Leverkusen,https://media-4.api-sports.io/football/teams/168.png,True,170,FC Augsburg,https://media-4.api-sports.io/football/teams/170.png,False,4.0,1.0,1.0,0.0,4.0,1.0,,,,
