,,,,date,round,day,venue,result,GF,GA,opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,time
ENG-Premier League,1920,Aston Villa,2019-10-19 Aston Villa-Brighton,2019-10-19,Matchweek 9,Sat,Home,W,2,1,Brighton,6,2,3,1,2,2,10,20.0,8,14,7,7,11,17,16,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-26 Manchester City-Aston Villa,2019-10-26,Matchweek 10,Sat,Away,L,0,3,Manchester City,10,5,9,1,0,3,18,16.7,15,15,9,6,13,23,29,3,12:30:00
ENG-Premier League,1920,Aston Villa,2019-11-02 Aston Villa-Liverpool,2019-11-02,Matchweek 11,Sat,Home,L,1,2,Liverpool,20,13,14,5,1,10,14,71.4,4,19,8,11,13,33,51,1,15:00:00
ENG-Premier League,1920,Aston Villa,2019-11-10 Wolves-Aston Villa,2019-11-10,Matchweek 12,Sun,Away,L,1,2,Wolves,20,13,8,10,2,11,32,34.4,21,8,5,3,9,29,21,0,14:00:00
ENG-Premier League,1920,Aston Villa,2019-11-25 Aston Villa-Newcastle Utd,2019-11-25,Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,15,11,7,5,3,8,21,38.1,13,9,3,6,6,21,23,0,20:00:00
ENG-Premier League,1920,Aston Villa,2019-12-01 Manchester Utd-Aston Villa,2019-12-01,Matchweek 14,Sun,Away,D,2,2,Manchester Utd,22,16,8,9,5,15,23,65.2,8,10,3,7,10,32,22,1,16:30:00
ENG-Premier League,1920,Aston Villa,2019-12-04 Chelsea-Aston Villa,2019-12-04,Matchweek 15,Wed,Away,L,1,2,Chelsea,22,9,10,11,1,12,28,42.9,16,20,9,11,20,42,30,1,19:30:00
ENG-Premier League,1920,Aston Villa,2019-12-08 Aston Villa-Leicester City,2019-12-08,Matchweek 16,Sun,Home,L,1,4,Leicester City,14,8,5,5,4,8,17,47.1,9,11,7,4,8,22,24,0,14:00:00
ENG-Premier League,1920,Aston Villa,2019-12-14 Sheffield Utd-Aston Villa,2019-12-14,Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,11,9,6,4,1,6,13,46.2,7,10,2,8,13,24,44,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-21 Aston Villa-Southampton,2019-12-21,Matchweek 18,Sat,Home,L,1,3,Southampton,9,5,5,4,0,0,6,0.0,6,8,4,4,14,23,23,1,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-26 Aston Villa-Norwich City,2019-12-26,Matchweek 19,Thu,Home,W,1,0,Norwich City,19,12,11,5,3,9,20,45.0,11,13,5,8,6,25,22,1,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-28 Watford-Aston Villa,2019-12-28,Matchweek 20,Sat,Away,L,0,3,Watford,11,6,6,3,2,3,10,30.0,7,17,9,8,11,22,22,2,15:00:00
ENG-Premier League,1920,Aston Villa,2020-01-01 Burnley-Aston Villa,2020-01-01,Matchweek 21,Wed,Away,W,2,1,Burnley,13,9,6,7,0,5,8,62.5,3,9,6,3,3,16,35,1,12:30:00
ENG-Premier League,1920,Aston Villa,2020-01-12 Aston Villa-Manchester City,2020-01-12,Matchweek 22,Sun,Home,L,1,6,Manchester City,15,9,9,5,1,6,25,24.0,19,11,3,8,9,24,20,2,16:30:00
ENG-Premier League,1920,Aston Villa,2020-01-18 Brighton-Aston Villa,2020-01-18,Matchweek 23,Sat,Away,D,1,1,Brighton,20,12,11,9,0,3,14,21.4,11,16,5,11,14,34,19,0,15:00:00
ENG-Premier League,1920,Aston Villa,2020-01-21 Aston Villa-Watford,2020-01-21,Matchweek 24,Tue,Home,W,2,1,Watford,9,2,5,2,2,4,14,28.6,10,9,3,6,12,21,16,1,19:30:00
ENG-Premier League,1920,Aston Villa,2020-02-01 Bournemouth-Aston Villa,2020-02-01,Matchweek 25,Sat,Away,L,1,2,Bournemouth,5,1,4,1,0,2,9,22.2,7,13,5,8,9,14,15,0,15:00:00
ENG-Premier League,1920,Aston Villa,2020-02-16 Aston Villa-Tottenham,2020-02-16,Matchweek 26,Sun,Home,L,2,3,Tottenham,14,8,5,7,2,7,20,35.0,13,18,7,11,15,29,18,4,14:00:00
ENG-Premier League,1920,Aston Villa,2020-02-22 Southampton-Aston Villa,2020-02-22,Matchweek 27,Sat,Away,L,0,2,Southampton,13,6,10,3,0,6,20,30.0,14,12,8,4,10,23,27,0,15:00:00
ENG-Premier League,1920,Aston Villa,2020-03-09 Leicester City-Aston Villa,2020-03-09,Matchweek 29,Mon,Away,L,0,4,Leicester City,23,16,13,9,1,15,24,62.5,9,7,1,6,10,33,30,1,20:00:00
ENG-Premier League,1920,Aston Villa,2020-06-17 Aston Villa-Sheffield Utd,2020-06-17,Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,8,6,5,2,1,4,9,44.4,5,10,3,7,5,13,20,1,18:00:00
ENG-Premier League,1920,Aston Villa,2020-06-21 Aston Villa-Chelsea,2020-06-21,Matchweek 30,Sun,Home,L,1,2,Chelsea,8,3,4,3,1,3,8,37.5,5,14,7,7,17,25,36,0,16:15:00
ENG-Premier League,1920,Aston Villa,2020-06-24 Newcastle Utd-Aston Villa,2020-06-24,Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,5,2,3,2,0,4,17,23.5,13,11,6,5,12,17,18,0,18:00:00
ENG-Premier League,1920,Aston Villa,2020-06-27 Aston Villa-Wolves,2020-06-27,Matchweek 32,Sat,Home,L,0,1,Wolves,8,2,6,1,1,3,11,27.3,8,10,1,9,11,19,11,1,12:30:00
ENG-Premier League,1920,Aston Villa,2020-07-05 Liverpool-Aston Villa,2020-07-05,Matchweek 33,Sun,Away,L,0,2,Liverpool,8,5,4,3,1,3,13,23.1,10,12,1,11,17,25,27,0,16:30:00
ENG-Premier League,1920,Aston Villa,2020-07-09 Aston Villa-Manchester Utd,2020-07-09,Matchweek 34,Thu,Home,L,0,3,Manchester Utd,9,6,3,5,1,4,13,30.8,9,10,1,9,15,24,17,0,20:15:00
ENG-Premier League,1920,Aston Villa,2020-07-12 Aston Villa-Crystal Palace,2020-07-12,Matchweek 35,Sun,Home,W,2,0,Crystal Palace,12,8,7,4,1,3,21,14.3,18,5,1,4,13,25,13,0,14:15:00
ENG-Premier League,1920,Aston Villa,2020-07-16 Everton-Aston Villa,2020-07-16,Matchweek 36,Thu,Away,D,1,1,Everton,9,5,3,2,4,1,12,8.3,11,7,2,5,7,16,18,0,18:00:00
ENG-Premier League,1920,Aston Villa,2020-07-21 Aston Villa-Arsenal,2020-07-21,Matchweek 37,Tue,Home,W,1,0,Arsenal,16,9,11,3,2,4,8,50.0,4,8,3,5,10,26,34,0,20:15:00
ENG-Premier League,1920,Aston Villa,2020-07-26 West Ham-Aston Villa,2020-07-26,Matchweek 38,Sun,Away,D,1,1,West Ham,13,3,5,6,2,6,11,54.5,5,12,3,9,10,23,12,0,16:00:00
ENG-Premier League,1920,Bournemouth,2019-08-10 Bournemouth-Sheffield Utd,2019-08-10,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,18,13,13,3,2,9,15,60.0,6,6,1,5,13,31,15,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-08-17 Aston Villa-Bournemouth,2019-08-17,Matchweek 2,Sat,Away,W,2,1,Aston Villa,15,9,8,6,1,1,10,10.0,9,16,5,11,11,26,26,1,15:00:00
ENG-Premier League,1920,Bournemouth,2019-08-25 Bournemouth-Manchester City,2019-08-25,Matchweek 3,Sun,Home,L,1,3,Manchester City,8,5,2,4,2,2,9,22.2,7,15,9,6,16,24,23,0,14:00:00
ENG-Premier League,1920,Bournemouth,2019-08-31 Leicester City-Bournemouth,2019-08-31,Matchweek 4,Sat,Away,L,1,3,Leicester City,14,11,7,7,0,8,16,50.0,8,12,4,8,22,36,21,1,15:00:00
ENG-Premier League,1920,Bournemouth,2019-09-15 Bournemouth-Everton,2019-09-15,Matchweek 5,Sun,Home,W,3,1,Everton,18,9,9,7,2,6,16,37.5,10,11,4,7,13,31,37,1,14:00:00
ENG-Premier League,1920,Bournemouth,2019-09-20 Southampton-Bournemouth,2019-09-20,Matchweek 6,Fri,Away,W,3,1,Southampton,8,6,6,2,0,3,11,27.3,8,15,8,7,15,23,27,1,20:00:00
ENG-Premier League,1920,Bournemouth,2019-09-28 Bournemouth-West Ham,2019-09-28,Matchweek 7,Sat,Home,D,2,2,West Ham,8,4,3,3,2,6,12,50.0,6,14,7,7,12,20,21,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-10-06 Arsenal-Bournemouth,2019-10-06,Matchweek 8,Sun,Away,L,0,1,Arsenal,14,8,7,6,1,5,17,29.4,12,17,4,13,19,33,36,0,14:00:00
ENG-Premier League,1920,Bournemouth,2019-10-19 Bournemouth-Norwich City,2019-10-19,Matchweek 9,Sat,Home,D,0,0,Norwich City,16,8,4,8,4,8,18,44.4,10,12,3,9,10,26,24,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-10-26 Watford-Bournemouth,2019-10-26,Matchweek 10,Sat,Away,D,0,0,Watford,16,9,10,5,1,7,16,43.8,9,9,1,8,15,31,23,1,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-02 Bournemouth-Manchester Utd,2019-11-02,Matchweek 11,Sat,Home,W,1,0,Manchester Utd,13,7,4,8,1,6,16,37.5,10,13,5,8,19,32,37,0,12:30:00
ENG-Premier League,1920,Bournemouth,2019-11-09 Newcastle Utd-Bournemouth,2019-11-09,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,14,10,9,4,1,6,15,40.0,9,8,6,2,8,22,25,2,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-23 Bournemouth-Wolves,2019-11-23,Matchweek 13,Sat,Home,L,1,2,Wolves,9,6,2,7,0,4,11,36.4,7,8,4,4,12,21,21,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-30 Tottenham-Bournemouth,2019-11-30,Matchweek 14,Sat,Away,L,2,3,Tottenham,8,6,2,5,1,2,19,10.5,17,4,2,2,15,23,20,1,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-03 Crystal Palace-Bournemouth,2019-12-03,Matchweek 15,Tue,Away,L,0,1,Crystal Palace,26,12,18,6,2,7,18,38.9,11,5,2,3,8,34,17,0,19:30:00
ENG-Premier League,1920,Bournemouth,2019-12-07 Bournemouth-Liverpool,2019-12-07,Matchweek 16,Sat,Home,L,0,3,Liverpool,12,7,9,2,1,5,17,29.4,12,7,4,3,16,28,36,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-14 Chelsea-Bournemouth,2019-12-14,Matchweek 17,Sat,Away,W,1,0,Chelsea,7,5,6,1,0,3,8,37.5,5,16,8,8,19,26,50,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-21 Bournemouth-Burnley,2019-12-21,Matchweek 18,Sat,Home,L,0,1,Burnley,15,10,7,8,0,7,7,100.0,0,7,1,6,6,21,33,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-26 Bournemouth-Arsenal,2019-12-26,Matchweek 19,Thu,Home,D,1,1,Arsenal,16,7,7,8,1,8,16,50.0,8,17,9,8,7,23,27,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-28 Brighton-Bournemouth,2019-12-28,Matchweek 20,Sat,Away,L,0,2,Brighton,18,9,14,4,0,6,17,35.3,11,9,4,5,13,31,31,0,12:30:00
ENG-Premier League,1920,Bournemouth,2020-01-01 West Ham-Bournemouth,2020-01-01,Matchweek 21,Wed,Away,L,0,4,West Ham,20,10,8,10,2,13,23,56.5,10,8,2,6,6,26,25,0,17:30:00
ENG-Premier League,1920,Bournemouth,2020-01-12 Bournemouth-Watford,2020-01-12,Matchweek 22,Sun,Home,L,0,3,Watford,8,6,3,5,0,3,13,23.1,10,15,7,8,11,19,16,1,14:00:00
ENG-Premier League,1920,Bournemouth,2020-01-18 Norwich City-Bournemouth,2020-01-18,Matchweek 23,Sat,Away,L,0,1,Norwich City,19,9,10,6,3,9,22,40.9,13,13,5,8,18,37,23,0,15:00:00
ENG-Premier League,1920,Bournemouth,2020-01-21 Bournemouth-Brighton,2020-01-21,Matchweek 24,Tue,Home,W,3,1,Brighton,10,5,2,5,3,4,18,22.2,14,20,7,13,21,31,23,0,19:30:00
ENG-Premier League,1920,Bournemouth,2020-02-01 Bournemouth-Aston Villa,2020-02-01,Matchweek 25,Sat,Home,W,2,1,Aston Villa,12,10,6,4,2,6,16,37.5,10,11,4,7,21,33,40,1,15:00:00
ENG-Premier League,1920,Bournemouth,2020-02-09 Sheffield Utd-Bournemouth,2020-02-09,Matchweek 26,Sun,Away,L,1,2,Sheffield Utd,10,5,3,7,0,3,16,18.8,13,12,6,6,7,17,53,1,14:00:00
ENG-Premier League,1920,Bournemouth,2020-02-22 Burnley-Bournemouth,2020-02-22,Matchweek 27,Sat,Away,L,0,3,Burnley,12,6,8,4,0,6,13,46.2,7,13,4,9,6,18,34,2,15:00:00
ENG-Premier League,1920,Bournemouth,2020-02-29 Bournemouth-Chelsea,2020-02-29,Matchweek 28,Sat,Home,D,2,2,Chelsea,8,4,1,7,0,1,12,8.3,11,10,5,5,12,20,55,0,15:00:00
ENG-Premier League,1920,Bournemouth,2020-03-07 Liverpool-Bournemouth,2020-03-07,Matchweek 29,Sat,Away,L,1,2,Liverpool,9,6,6,3,0,6,20,30.0,14,17,4,13,13,22,45,1,12:30:00
ENG-Premier League,1920,Bournemouth,2020-06-20 Bournemouth-Crystal Palace,2020-06-20,Matchweek 30,Sat,Home,L,0,2,Crystal Palace,18,10,13,1,4,5,14,35.7,9,11,1,10,7,25,10,0,19:45:00
ENG-Premier League,1920,Bournemouth,2020-06-24 Wolves-Bournemouth,2020-06-24,Matchweek 31,Wed,Away,L,0,1,Wolves,17,12,11,5,1,6,14,42.9,8,10,1,9,6,23,17,0,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-01 Bournemouth-Newcastle Utd,2020-07-01,Matchweek 32,Wed,Home,L,1,4,Newcastle Utd,16,8,6,9,1,9,19,47.4,10,3,1,2,8,24,7,0,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-04 Manchester Utd-Bournemouth,2020-07-04,Matchweek 33,Sat,Away,L,2,5,Manchester Utd,10,4,7,2,1,2,13,15.4,11,9,5,4,11,21,19,0,15:00:00
ENG-Premier League,1920,Bournemouth,2020-07-09 Bournemouth-Tottenham,2020-07-09,Matchweek 34,Thu,Home,D,0,0,Tottenham,15,11,6,5,4,7,11,63.6,4,13,5,8,12,27,28,0,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-12 Bournemouth-Leicester City,2020-07-12,Matchweek 35,Sun,Home,W,4,1,Leicester City,6,6,1,5,0,1,6,16.7,5,11,5,6,11,17,25,2,19:00:00
ENG-Premier League,1920,Bournemouth,2020-07-15 Manchester City-Bournemouth,2020-07-15,Matchweek 36,Wed,Away,L,1,2,Manchester City,9,6,7,2,0,2,14,14.3,12,4,0,4,12,21,12,0,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-19 Bournemouth-Southampton,2020-07-19,Matchweek 37,Sun,Home,L,0,2,Southampton,17,7,4,11,2,6,16,37.5,10,22,4,18,11,28,11,0,14:00:00
ENG-Premier League,1920,Bournemouth,2020-07-26 Everton-Bournemouth,2020-07-26,Matchweek 38,Sun,Away,W,3,1,Everton,18,13,5,11,2,9,23,39.1,14,16,3,13,13,31,15,0,16:00:00
ENG-Premier League,1920,Brighton,2019-08-10 Watford-Brighton,2019-08-10,Matchweek 1,Sat,Away,W,3,0,Watford,24,14,15,7,2,6,15,40.0,9,11,4,7,11,35,25,1,15:00:00
ENG-Premier League,1920,Brighton,2019-08-17 Brighton-West Ham,2019-08-17,Matchweek 2,Sat,Home,D,1,1,West Ham,20,9,5,13,2,4,23,17.4,19,11,1,10,12,32,17,0,15:00:00
ENG-Premier League,1920,Brighton,2019-08-24 Brighton-Southampton,2019-08-24,Matchweek 3,Sat,Home,L,0,2,Southampton,16,10,9,5,2,5,16,31.3,11,7,3,4,15,31,10,0,15:00:00
ENG-Premier League,1920,Brighton,2019-08-31 Manchester City-Brighton,2019-08-31,Matchweek 4,Sat,Away,L,0,4,Manchester City,18,8,8,7,3,6,12,50.0,6,4,0,4,8,26,15,0,15:00:00
ENG-Premier League,1920,Brighton,2019-09-14 Brighton-Burnley,2019-09-14,Matchweek 5,Sat,Home,D,1,1,Burnley,21,13,8,12,1,7,12,58.3,5,6,0,6,12,33,22,0,15:00:00
ENG-Premier League,1920,Brighton,2019-09-21 Newcastle Utd-Brighton,2019-09-21,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,14,7,9,4,1,6,17,35.3,11,12,2,10,11,25,16,0,17:30:00
ENG-Premier League,1920,Brighton,2019-09-28 Chelsea-Brighton,2019-09-28,Matchweek 7,Sat,Away,L,0,2,Chelsea,21,12,11,8,2,9,15,60.0,6,12,10,2,14,35,24,2,15:00:00
