,,,,date,round,day,venue,result,GF,GA,opponent,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,time
ENG-Premier League,1920,Arsenal,2019-12-05 Arsenal-Brighton,2019-12-05,Matchweek 15,Thu,Home,L,1,2,Brighton,24,14,2,3,3,1,1,2,1,1,0,0,0,0,20:15:00
ENG-Premier League,1920,Arsenal,2019-12-09 West Ham-Arsenal,2019-12-09,Matchweek 16,Mon,Away,W,3,1,West Ham,17,16,0,1,0,0,0,6,6,0,0,0,0,0,20:00:00
ENG-Premier League,1920,Arsenal,2019-12-15 Arsenal-Manchester City,2019-12-15,Matchweek 17,Sun,Home,L,0,3,Manchester City,12,11,0,0,0,0,1,0,0,0,0,0,0,0,16:30:00
ENG-Premier League,1920,Arsenal,2019-12-21 Everton-Arsenal,2019-12-21,Matchweek 18,Sat,Away,D,0,0,Everton,10,7,1,1,1,0,0,0,0,0,0,0,0,0,12:30:00
ENG-Premier League,1920,Arsenal,2019-12-26 Bournemouth-Arsenal,2019-12-26,Matchweek 19,Thu,Away,D,1,1,Bournemouth,29,23,1,1,4,0,0,1,0,0,0,1,0,0,15:00:00
ENG-Premier League,1920,Arsenal,2019-12-29 Arsenal-Chelsea,2019-12-29,Matchweek 20,Sun,Home,L,1,2,Chelsea,12,6,3,0,1,1,1,1,0,0,0,1,0,0,14:00:00
ENG-Premier League,1920,Arsenal,2020-01-01 Arsenal-Manchester Utd,2020-01-01,Matchweek 21,Wed,Home,W,2,0,Manchester Utd,19,13,1,4,1,0,0,3,2,0,0,1,0,0,20:00:00
ENG-Premier League,1920,Arsenal,2020-01-11 Crystal Palace-Arsenal,2020-01-11,Matchweek 22,Sat,Away,D,1,1,Crystal Palace,11,7,1,0,2,1,0,2,2,0,0,0,0,0,12:30:00
ENG-Premier League,1920,Arsenal,2020-01-18 Arsenal-Sheffield Utd,2020-01-18,Matchweek 23,Sat,Home,D,1,1,Sheffield Utd,21,15,2,2,0,2,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Arsenal,2020-01-21 Chelsea-Arsenal,2020-01-21,Matchweek 24,Tue,Away,D,2,2,Chelsea,2,2,0,0,0,0,0,2,2,0,0,0,0,0,20:15:00
ENG-Premier League,1920,Arsenal,2020-02-02 Burnley-Arsenal,2020-02-02,Matchweek 25,Sun,Away,D,0,0,Burnley,25,19,1,2,2,0,1,0,0,0,0,0,0,0,14:00:00
ENG-Premier League,1920,Arsenal,2020-02-16 Arsenal-Newcastle Utd,2020-02-16,Matchweek 26,Sun,Home,W,4,0,Newcastle Utd,29,22,1,3,2,1,0,8,7,0,1,0,0,0,16:30:00
ENG-Premier League,1920,Arsenal,2020-02-23 Arsenal-Everton,2020-02-23,Matchweek 27,Sun,Home,W,3,2,Everton,16,14,1,1,0,0,0,6,6,0,0,0,0,0,16:30:00
ENG-Premier League,1920,Arsenal,2020-03-07 Arsenal-West Ham,2020-03-07,Matchweek 29,Sat,Home,W,1,0,West Ham,17,12,0,3,2,0,0,2,1,0,0,1,0,0,15:00:00
ENG-Premier League,1920,Arsenal,2020-06-17 Manchester City-Arsenal,2020-06-17,Matchweek 28,Wed,Away,L,0,3,Manchester City,4,4,0,0,0,0,0,0,0,0,0,0,0,0,20:15:00
ENG-Premier League,1920,Arsenal,2020-06-20 Brighton-Arsenal,2020-06-20,Matchweek 30,Sat,Away,L,1,2,Brighton,21,16,1,2,1,1,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Arsenal,2020-06-25 Southampton-Arsenal,2020-06-25,Matchweek 31,Thu,Away,W,2,0,Southampton,15,9,0,1,2,1,2,2,0,0,0,1,0,1,18:00:00
ENG-Premier League,1920,Arsenal,2020-07-01 Arsenal-Norwich City,2020-07-01,Matchweek 32,Wed,Home,W,4,0,Norwich City,21,13,2,2,0,2,2,5,3,0,0,0,0,2,18:00:00
ENG-Premier League,1920,Arsenal,2020-07-04 Wolves-Arsenal,2020-07-04,Matchweek 33,Sat,Away,W,2,0,Wolves,12,8,1,1,0,1,1,4,3,0,1,0,0,0,17:30:00
ENG-Premier League,1920,Arsenal,2020-07-07 Arsenal-Leicester City,2020-07-07,Matchweek 34,Tue,Home,D,1,1,Leicester City,19,13,2,1,2,1,0,2,2,0,0,0,0,0,20:15:00
ENG-Premier League,1920,Arsenal,2020-07-12 Tottenham-Arsenal,2020-07-12,Matchweek 35,Sun,Away,L,1,2,Tottenham,21,15,0,2,1,3,0,0,0,0,0,0,0,0,16:30:00
ENG-Premier League,1920,Arsenal,2020-07-15 Arsenal-Liverpool,2020-07-15,Matchweek 36,Wed,Home,W,2,1,Liverpool,4,3,0,1,0,0,0,2,1,0,1,0,0,0,20:15:00
ENG-Premier League,1920,Arsenal,2020-07-21 Aston Villa-Arsenal,2020-07-21,Matchweek 37,Tue,Away,L,0,1,Aston Villa,13,9,3,0,0,1,0,0,0,0,0,0,0,0,20:15:00
ENG-Premier League,1920,Arsenal,2020-07-26 Arsenal-Watford,2020-07-26,Matchweek 38,Sun,Home,W,3,2,Watford,25,15,4,4,0,2,0,6,4,1,0,0,1,0,16:00:00
ENG-Premier League,1920,Aston Villa,2019-08-10 Tottenham-Aston Villa,2019-08-10,Matchweek 1,Sat,Away,L,1,3,Tottenham,9,8,0,0,0,0,1,2,2,0,0,0,0,0,17:30:00
ENG-Premier League,1920,Aston Villa,2019-08-17 Aston Villa-Bournemouth,2019-08-17,Matchweek 2,Sat,Home,L,1,2,Bournemouth,41,33,3,2,1,2,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-08-23 Aston Villa-Everton,2019-08-23,Matchweek 3,Fri,Home,W,2,0,Everton,13,11,1,1,0,0,0,4,3,0,1,0,0,0,20:00:00
ENG-Premier League,1920,Aston Villa,2019-08-31 Crystal Palace-Aston Villa,2019-08-31,Matchweek 4,Sat,Away,L,0,1,Crystal Palace,19,14,2,0,0,3,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-09-16 Aston Villa-West Ham,2019-09-16,Matchweek 5,Mon,Home,D,0,0,West Ham,20,18,2,0,0,0,0,0,0,0,0,0,0,0,20:00:00
ENG-Premier League,1920,Aston Villa,2019-09-22 Arsenal-Aston Villa,2019-09-22,Matchweek 6,Sun,Away,L,2,3,Arsenal,26,22,1,2,0,1,0,4,4,0,0,0,0,0,16:30:00
ENG-Premier League,1920,Aston Villa,2019-09-28 Aston Villa-Burnley,2019-09-28,Matchweek 7,Sat,Home,D,2,2,Burnley,29,26,2,1,0,0,0,4,4,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-05 Norwich City-Aston Villa,2019-10-05,Matchweek 8,Sat,Away,W,5,1,Norwich City,35,27,1,1,4,1,1,8,8,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-19 Aston Villa-Brighton,2019-10-19,Matchweek 9,Sat,Home,W,2,1,Brighton,45,33,1,5,2,3,1,4,3,0,1,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-10-26 Manchester City-Aston Villa,2019-10-26,Matchweek 10,Sat,Away,L,0,3,Manchester City,14,9,0,1,4,0,0,0,0,0,0,0,0,0,12:30:00
ENG-Premier League,1920,Aston Villa,2019-11-02 Aston Villa-Liverpool,2019-11-02,Matchweek 11,Sat,Home,L,1,2,Liverpool,6,3,2,0,0,1,0,2,0,1,0,0,1,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-11-10 Wolves-Aston Villa,2019-11-10,Matchweek 12,Sun,Away,L,1,2,Wolves,25,14,3,4,1,3,0,2,0,1,0,0,1,0,14:00:00
ENG-Premier League,1920,Aston Villa,2019-11-25 Aston Villa-Newcastle Utd,2019-11-25,Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,34,28,3,0,1,2,0,4,2,1,0,0,1,0,20:00:00
ENG-Premier League,1920,Aston Villa,2019-12-01 Manchester Utd-Aston Villa,2019-12-01,Matchweek 14,Sun,Away,D,2,2,Manchester Utd,17,12,0,1,1,2,1,4,3,0,1,0,0,0,16:30:00
ENG-Premier League,1920,Aston Villa,2019-12-04 Chelsea-Aston Villa,2019-12-04,Matchweek 15,Wed,Away,L,1,2,Chelsea,18,14,2,1,1,0,0,2,2,0,0,0,0,0,19:30:00
ENG-Premier League,1920,Aston Villa,2019-12-08 Aston Villa-Leicester City,2019-12-08,Matchweek 16,Sun,Home,L,1,4,Leicester City,29,19,5,1,0,3,1,2,0,1,0,0,1,0,14:00:00
ENG-Premier League,1920,Aston Villa,2019-12-14 Sheffield Utd-Aston Villa,2019-12-14,Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,14,13,1,0,0,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-21 Aston Villa-Southampton,2019-12-21,Matchweek 18,Sat,Home,L,1,3,Southampton,34,24,4,2,2,2,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-26 Aston Villa-Norwich City,2019-12-26,Matchweek 19,Thu,Home,W,1,0,Norwich City,18,11,3,1,2,1,0,2,1,0,1,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2019-12-28 Watford-Aston Villa,2019-12-28,Matchweek 20,Sat,Away,L,0,3,Watford,22,17,2,0,1,2,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2020-01-01 Burnley-Aston Villa,2020-01-01,Matchweek 21,Wed,Away,W,2,1,Burnley,21,16,2,1,1,1,0,4,4,0,0,0,0,0,12:30:00
ENG-Premier League,1920,Aston Villa,2020-01-12 Aston Villa-Manchester City,2020-01-12,Matchweek 22,Sun,Home,L,1,6,Manchester City,14,6,1,4,2,1,0,2,0,0,1,0,1,0,16:30:00
ENG-Premier League,1920,Aston Villa,2020-01-18 Brighton-Aston Villa,2020-01-18,Matchweek 23,Sat,Away,D,1,1,Brighton,14,8,2,1,0,3,0,1,1,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2020-01-21 Aston Villa-Watford,2020-01-21,Matchweek 24,Tue,Home,W,2,1,Watford,29,19,6,0,2,2,0,2,0,0,0,2,0,0,19:30:00
ENG-Premier League,1920,Aston Villa,2020-02-01 Bournemouth-Aston Villa,2020-02-01,Matchweek 25,Sat,Away,L,1,2,Bournemouth,26,20,1,3,1,1,0,1,0,0,0,1,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2020-02-16 Aston Villa-Tottenham,2020-02-16,Matchweek 26,Sun,Home,L,2,3,Tottenham,35,21,6,5,2,1,0,2,1,1,0,0,0,0,14:00:00
ENG-Premier League,1920,Aston Villa,2020-02-22 Southampton-Aston Villa,2020-02-22,Matchweek 27,Sat,Away,L,0,2,Southampton,8,8,0,0,0,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Aston Villa,2020-03-09 Leicester City-Aston Villa,2020-03-09,Matchweek 29,Mon,Away,L,0,4,Leicester City,7,5,1,0,0,1,0,0,0,0,0,0,0,0,20:00:00
ENG-Premier League,1920,Aston Villa,2020-06-17 Aston Villa-Sheffield Utd,2020-06-17,Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,26,10,11,0,3,2,0,0,0,0,0,0,0,0,18:00:00
ENG-Premier League,1920,Aston Villa,2020-06-21 Aston Villa-Chelsea,2020-06-21,Matchweek 30,Sun,Home,L,1,2,Chelsea,15,9,2,0,1,3,0,1,0,0,0,1,0,0,16:15:00
ENG-Premier League,1920,Aston Villa,2020-06-24 Newcastle Utd-Aston Villa,2020-06-24,Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,26,19,3,2,0,2,0,2,1,1,0,0,0,0,18:00:00
ENG-Premier League,1920,Aston Villa,2020-06-27 Aston Villa-Wolves,2020-06-27,Matchweek 32,Sat,Home,L,0,1,Wolves,21,14,3,0,1,3,0,0,0,0,0,0,0,0,12:30:00
ENG-Premier League,1920,Aston Villa,2020-07-05 Liverpool-Aston Villa,2020-07-05,Matchweek 33,Sun,Away,L,0,2,Liverpool,17,12,2,1,1,1,0,0,0,0,0,0,0,0,16:30:00
ENG-Premier League,1920,Aston Villa,2020-07-09 Aston Villa-Manchester Utd,2020-07-09,Matchweek 34,Thu,Home,L,0,3,Manchester Utd,15,11,1,0,0,2,1,0,0,0,0,0,0,0,20:15:00
ENG-Premier League,1920,Aston Villa,2020-07-12 Aston Villa-Crystal Palace,2020-07-12,Matchweek 35,Sun,Home,W,2,0,Crystal Palace,24,20,2,0,0,2,0,4,3,0,0,0,1,0,14:15:00
ENG-Premier League,1920,Aston Villa,2020-07-16 Everton-Aston Villa,2020-07-16,Matchweek 36,Thu,Away,D,1,1,Everton,28,21,3,0,1,2,1,2,0,1,0,0,1,0,18:00:00
ENG-Premier League,1920,Aston Villa,2020-07-21 Aston Villa-Arsenal,2020-07-21,Matchweek 37,Tue,Home,W,1,0,Arsenal,14,10,2,1,0,1,0,1,0,1,0,0,0,0,20:15:00
ENG-Premier League,1920,Aston Villa,2020-07-26 West Ham-Aston Villa,2020-07-26,Matchweek 38,Sun,Away,D,1,1,West Ham,20,14,2,1,1,2,0,2,2,0,0,0,0,0,16:00:00
ENG-Premier League,1920,Bournemouth,2019-08-10 Bournemouth-Sheffield Utd,2019-08-10,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,22,12,2,1,3,3,1,1,0,0,0,1,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-08-17 Aston Villa-Bournemouth,2019-08-17,Matchweek 2,Sat,Away,W,2,1,Aston Villa,21,17,2,0,1,1,0,2,1,0,0,0,1,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-08-25 Bournemouth-Manchester City,2019-08-25,Matchweek 3,Sun,Home,L,1,3,Manchester City,17,10,2,1,0,3,1,2,1,0,0,0,1,0,14:00:00
ENG-Premier League,1920,Bournemouth,2019-08-31 Leicester City-Bournemouth,2019-08-31,Matchweek 4,Sat,Away,L,1,3,Leicester City,15,13,1,1,0,0,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-09-15 Bournemouth-Everton,2019-09-15,Matchweek 5,Sun,Home,W,3,1,Everton,21,13,3,1,1,3,0,4,1,0,1,1,1,0,14:00:00
ENG-Premier League,1920,Bournemouth,2019-09-20 Southampton-Bournemouth,2019-09-20,Matchweek 6,Fri,Away,W,3,1,Southampton,9,5,1,2,0,1,0,6,4,1,1,0,0,0,20:00:00
ENG-Premier League,1920,Bournemouth,2019-09-28 Bournemouth-West Ham,2019-09-28,Matchweek 7,Sat,Home,D,2,2,West Ham,23,14,5,1,3,0,0,4,4,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-10-06 Arsenal-Bournemouth,2019-10-06,Matchweek 8,Sun,Away,L,0,1,Arsenal,18,12,3,1,0,1,1,0,0,0,0,0,0,0,14:00:00
ENG-Premier League,1920,Bournemouth,2019-10-19 Bournemouth-Norwich City,2019-10-19,Matchweek 9,Sat,Home,D,0,0,Norwich City,21,15,3,0,1,2,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-10-26 Watford-Bournemouth,2019-10-26,Matchweek 10,Sat,Away,D,0,0,Watford,27,20,2,0,2,2,1,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-02 Bournemouth-Manchester Utd,2019-11-02,Matchweek 11,Sat,Home,W,1,0,Manchester Utd,22,18,0,1,1,2,0,2,1,0,1,0,0,0,12:30:00
ENG-Premier League,1920,Bournemouth,2019-11-09 Newcastle Utd-Bournemouth,2019-11-09,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,29,25,0,0,2,1,1,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-23 Bournemouth-Wolves,2019-11-23,Matchweek 13,Sat,Home,L,1,2,Wolves,16,9,2,0,3,2,0,2,0,1,0,1,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-11-30 Tottenham-Bournemouth,2019-11-30,Matchweek 14,Sat,Away,L,2,3,Tottenham,37,26,3,4,2,2,0,4,1,1,1,0,1,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-03 Crystal Palace-Bournemouth,2019-12-03,Matchweek 15,Tue,Away,L,0,1,Crystal Palace,11,9,1,0,0,1,0,0,0,0,0,0,0,0,19:30:00
ENG-Premier League,1920,Bournemouth,2019-12-07 Bournemouth-Liverpool,2019-12-07,Matchweek 16,Sat,Home,L,0,3,Liverpool,6,6,0,0,0,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-14 Chelsea-Bournemouth,2019-12-14,Matchweek 17,Sat,Away,W,1,0,Chelsea,17,7,3,2,4,0,1,2,1,0,0,1,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-21 Bournemouth-Burnley,2019-12-21,Matchweek 18,Sat,Home,L,0,1,Burnley,6,6,0,0,0,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-26 Bournemouth-Arsenal,2019-12-26,Matchweek 19,Thu,Home,D,1,1,Arsenal,22,15,3,2,1,1,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2019-12-28 Brighton-Bournemouth,2019-12-28,Matchweek 20,Sat,Away,L,0,2,Brighton,14,11,1,1,0,1,0,0,0,0,0,0,0,0,12:30:00
ENG-Premier League,1920,Bournemouth,2020-01-01 West Ham-Bournemouth,2020-01-01,Matchweek 21,Wed,Away,L,0,4,West Ham,6,6,0,0,0,0,0,0,0,0,0,0,0,0,17:30:00
ENG-Premier League,1920,Bournemouth,2020-01-12 Bournemouth-Watford,2020-01-12,Matchweek 22,Sun,Home,L,0,3,Watford,20,16,1,1,0,2,0,0,0,0,0,0,0,0,14:00:00
ENG-Premier League,1920,Bournemouth,2020-01-18 Norwich City-Bournemouth,2020-01-18,Matchweek 23,Sat,Away,L,0,1,Norwich City,9,5,3,0,0,1,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2020-01-21 Bournemouth-Brighton,2020-01-21,Matchweek 24,Tue,Home,W,3,1,Brighton,18,13,2,1,0,1,1,4,3,0,1,0,0,0,19:30:00
ENG-Premier League,1920,Bournemouth,2020-02-01 Bournemouth-Aston Villa,2020-02-01,Matchweek 25,Sat,Home,W,2,1,Aston Villa,29,18,3,0,4,4,0,3,2,0,0,1,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2020-02-09 Sheffield Utd-Bournemouth,2020-02-09,Matchweek 26,Sun,Away,L,1,2,Sheffield Utd,17,11,1,3,1,1,0,1,0,0,0,1,0,0,14:00:00
ENG-Premier League,1920,Bournemouth,2020-02-22 Burnley-Bournemouth,2020-02-22,Matchweek 27,Sat,Away,L,0,3,Burnley,20,18,0,1,0,1,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2020-02-29 Bournemouth-Chelsea,2020-02-29,Matchweek 28,Sat,Home,D,2,2,Chelsea,17,12,3,1,1,0,0,4,2,2,0,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2020-03-07 Liverpool-Bournemouth,2020-03-07,Matchweek 29,Sat,Away,L,1,2,Liverpool,12,9,1,1,0,1,0,2,2,0,0,0,0,0,12:30:00
ENG-Premier League,1920,Bournemouth,2020-06-20 Bournemouth-Crystal Palace,2020-06-20,Matchweek 30,Sat,Home,L,0,2,Crystal Palace,19,12,5,0,0,1,1,0,0,0,0,0,0,0,19:45:00
ENG-Premier League,1920,Bournemouth,2020-06-24 Wolves-Bournemouth,2020-06-24,Matchweek 31,Wed,Away,L,0,1,Wolves,7,5,1,1,0,0,0,0,0,0,0,0,0,0,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-01 Bournemouth-Newcastle Utd,2020-07-01,Matchweek 32,Wed,Home,L,1,4,Newcastle Utd,22,14,1,2,1,4,0,1,0,0,0,1,0,0,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-04 Manchester Utd-Bournemouth,2020-07-04,Matchweek 33,Sat,Away,L,2,5,Manchester Utd,9,7,0,1,1,0,0,2,1,0,1,0,0,0,15:00:00
ENG-Premier League,1920,Bournemouth,2020-07-09 Bournemouth-Tottenham,2020-07-09,Matchweek 34,Thu,Home,D,0,0,Tottenham,15,7,4,1,2,1,0,0,0,0,0,0,0,0,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-12 Bournemouth-Leicester City,2020-07-12,Matchweek 35,Sun,Home,W,4,1,Leicester City,12,9,1,1,0,1,0,4,2,0,1,0,1,0,19:00:00
ENG-Premier League,1920,Bournemouth,2020-07-15 Manchester City-Bournemouth,2020-07-15,Matchweek 36,Wed,Away,L,1,2,Manchester City,26,22,1,1,1,1,0,2,2,0,0,0,0,0,18:00:00
ENG-Premier League,1920,Bournemouth,2020-07-19 Bournemouth-Southampton,2020-07-19,Matchweek 37,Sun,Home,L,0,2,Southampton,14,10,2,0,2,0,0,0,0,0,0,0,0,0,14:00:00
ENG-Premier League,1920,Bournemouth,2020-07-26 Everton-Bournemouth,2020-07-26,Matchweek 38,Sun,Away,W,3,1,Everton,23,15,3,1,2,2,0,5,2,1,0,1,1,0,16:00:00
ENG-Premier League,1920,Brighton,2019-08-10 Watford-Brighton,2019-08-10,Matchweek 1,Sat,Away,W,3,0,Watford,10,9,0,1,0,0,0,4,3,0,1,0,0,0,15:00:00
ENG-Premier League,1920,Brighton,2019-08-17 Brighton-West Ham,2019-08-17,Matchweek 2,Sat,Home,D,1,1,West Ham,27,18,4,2,2,1,0,2,1,0,1,0,0,0,15:00:00
ENG-Premier League,1920,Brighton,2019-08-24 Brighton-Southampton,2019-08-24,Matchweek 3,Sat,Home,L,0,2,Southampton,21,13,4,1,1,2,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Brighton,2019-08-31 Manchester City-Brighton,2019-08-31,Matchweek 4,Sat,Away,L,0,4,Manchester City,11,10,0,0,0,1,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Brighton,2019-09-14 Brighton-Burnley,2019-09-14,Matchweek 5,Sat,Home,D,1,1,Burnley,25,21,2,0,2,0,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Brighton,2019-09-21 Newcastle Utd-Brighton,2019-09-21,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,30,27,1,1,1,0,0,0,0,0,0,0,0,0,17:30:00
ENG-Premier League,1920,Brighton,2019-09-28 Chelsea-Brighton,2019-09-28,Matchweek 7,Sat,Away,L,0,2,Chelsea,14,10,2,1,1,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Brighton,2019-10-05 Brighton-Tottenham,2019-10-05,Matchweek 8,Sat,Home,W,3,0,Tottenham,33,25,3,1,2,2,0,5,4,0,0,1,0,0,12:30:00
ENG-Premier League,1920,Brighton,2019-10-19 Aston Villa-Brighton,2019-10-19,Matchweek 9,Sat,Away,L,1,2,Aston Villa,36,29,2,2,2,1,0,2,0,1,0,0,1,0,15:00:00
ENG-Premier League,1920,Brighton,2019-10-26 Brighton-Everton,2019-10-26,Matchweek 10,Sat,Home,W,3,2,Everton,15,12,0,0,0,3,0,4,2,0,0,0,2,0,15:00:00
ENG-Premier League,1920,Brighton,2019-11-02 Brighton-Norwich City,2019-11-02,Matchweek 11,Sat,Home,W,2,0,Norwich City,35,24,4,5,0,1,1,4,2,1,0,0,1,0,15:00:00
ENG-Premier League,1920,Brighton,2019-11-10 Manchester Utd-Brighton,2019-11-10,Matchweek 12,Sun,Away,L,1,3,Manchester Utd,10,4,3,0,1,2,0,1,0,1,0,0,0,0,14:00:00
ENG-Premier League,1920,Brighton,2019-11-23 Brighton-Leicester City,2019-11-23,Matchweek 13,Sat,Home,L,0,2,Leicester City,14,13,1,0,0,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1920,Brighton,2019-11-30 Liverpool-Brighton,2019-11-30,Matchweek 14,Sat,Away,L,1,2,Liverpool,21,18,1,0,2,0,0,1,0,0,0,1,0,0,15:00:00
