,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,time
ENG-Premier League,1920,Brighton,2019-10-05 Brighton-Tottenham,2019-10-05,Matchweek 8,Sat,Home,W,3,0,Tottenham,2,0,0,11,7,1,16,14,12,0,0,0,66,13,10,56.5,12:30:00
ENG-Premier League,1920,Brighton,2019-10-19 Aston Villa-Brighton,2019-10-19,Matchweek 9,Sat,Away,L,1,2,Aston Villa,4,1,1,17,9,0,17,10,8,0,0,0,52,16,8,66.7,15:00:00
ENG-Premier League,1920,Brighton,2019-10-26 Brighton-Everton,2019-10-26,Matchweek 10,Sat,Home,W,3,2,Everton,2,0,0,12,12,3,8,17,10,1,0,1,57,8,11,42.1,15:00:00
ENG-Premier League,1920,Brighton,2019-11-02 Brighton-Norwich City,2019-11-02,Matchweek 11,Sat,Home,W,2,0,Norwich City,0,0,0,11,8,3,19,13,13,0,0,0,65,14,6,70.0,15:00:00
ENG-Premier League,1920,Brighton,2019-11-10 Manchester Utd-Brighton,2019-11-10,Matchweek 12,Sun,Away,L,1,3,Manchester Utd,5,0,0,14,10,4,14,10,15,0,0,0,56,14,11,56.0,14:00:00
ENG-Premier League,1920,Brighton,2019-11-23 Brighton-Leicester City,2019-11-23,Matchweek 13,Sat,Home,L,0,2,Leicester City,2,0,0,9,1,2,24,7,7,0,1,0,48,9,11,45.0,15:00:00
ENG-Premier League,1920,Brighton,2019-11-30 Liverpool-Brighton,2019-11-30,Matchweek 14,Sat,Away,L,1,2,Liverpool,0,0,0,10,2,6,20,14,7,0,0,0,58,12,8,60.0,15:00:00
ENG-Premier League,1920,Brighton,2019-12-05 Arsenal-Brighton,2019-12-05,Matchweek 15,Thu,Away,W,2,1,Arsenal,1,0,0,11,9,0,21,6,7,0,0,0,55,21,11,65.6,20:15:00
ENG-Premier League,1920,Brighton,2019-12-08 Brighton-Wolves,2019-12-08,Matchweek 16,Sun,Home,D,2,2,Wolves,3,0,0,10,7,1,15,9,7,0,0,0,59,17,19,47.2,16:30:00
ENG-Premier League,1920,Brighton,2019-12-16 Crystal Palace-Brighton,2019-12-16,Matchweek 17,Mon,Away,D,1,1,Crystal Palace,1,0,0,12,6,1,33,9,11,0,0,0,54,10,26,27.8,19:45:00
ENG-Premier League,1920,Brighton,2019-12-21 Brighton-Sheffield Utd,2019-12-21,Matchweek 18,Sat,Home,L,0,1,Sheffield Utd,1,0,0,6,9,2,23,5,8,0,0,0,58,28,29,49.1,15:00:00
ENG-Premier League,1920,Brighton,2019-12-26 Tottenham-Brighton,2019-12-26,Matchweek 19,Thu,Away,L,1,2,Tottenham,2,0,0,9,10,0,17,14,13,0,0,0,62,21,9,70.0,12:30:00
ENG-Premier League,1920,Brighton,2019-12-28 Brighton-Bournemouth,2019-12-28,Matchweek 20,Sat,Home,W,2,0,Bournemouth,0,0,0,9,10,3,24,15,15,0,0,0,53,23,21,52.3,12:30:00
ENG-Premier League,1920,Brighton,2020-01-01 Brighton-Chelsea,2020-01-01,Matchweek 21,Wed,Home,D,1,1,Chelsea,2,0,0,8,15,0,17,8,15,0,0,0,64,23,18,56.1,12:30:00
ENG-Premier League,1920,Brighton,2020-01-11 Everton-Brighton,2020-01-11,Matchweek 22,Sat,Away,L,0,1,Everton,1,0,0,7,6,2,14,10,6,0,0,0,67,17,15,53.1,15:00:00
ENG-Premier League,1920,Brighton,2020-01-18 Brighton-Aston Villa,2020-01-18,Matchweek 23,Sat,Home,D,1,1,Aston Villa,3,0,0,11,13,2,12,16,10,0,0,0,61,18,16,52.9,15:00:00
ENG-Premier League,1920,Brighton,2020-01-21 Bournemouth-Brighton,2020-01-21,Matchweek 24,Tue,Away,L,1,3,Bournemouth,1,0,0,12,8,1,23,6,9,0,0,1,61,18,18,50.0,19:30:00
ENG-Premier League,1920,Brighton,2020-02-01 West Ham-Brighton,2020-02-01,Matchweek 25,Sat,Away,D,3,3,West Ham,1,0,0,9,6,1,24,12,8,0,0,0,50,28,28,50.0,15:00:00
ENG-Premier League,1920,Brighton,2020-02-08 Brighton-Watford,2020-02-08,Matchweek 26,Sat,Home,D,1,1,Watford,2,0,0,9,12,2,28,11,8,0,0,0,52,35,19,64.8,17:30:00
ENG-Premier League,1920,Brighton,2020-02-22 Sheffield Utd-Brighton,2020-02-22,Matchweek 27,Sat,Away,D,1,1,Sheffield Utd,2,0,0,6,4,2,6,12,8,0,0,0,43,23,22,51.1,15:00:00
ENG-Premier League,1920,Brighton,2020-02-29 Brighton-Crystal Palace,2020-02-29,Matchweek 28,Sat,Home,L,0,1,Crystal Palace,2,0,0,8,9,1,33,10,15,0,0,0,57,30,18,62.5,12:30:00
ENG-Premier League,1920,Brighton,2020-03-07 Wolves-Brighton,2020-03-07,Matchweek 29,Sat,Away,D,0,0,Wolves,3,0,0,7,4,0,18,11,13,0,0,0,65,20,20,50.0,15:00:00
ENG-Premier League,1920,Brighton,2020-06-20 Brighton-Arsenal,2020-06-20,Matchweek 30,Sat,Home,W,2,1,Arsenal,2,0,0,13,8,0,25,8,15,0,0,0,39,7,10,41.2,15:00:00
ENG-Premier League,1920,Brighton,2020-06-23 Leicester City-Brighton,2020-06-23,Matchweek 31,Tue,Away,D,0,0,Leicester City,2,0,0,13,10,0,16,10,14,1,0,0,51,20,18,52.6,18:00:00
ENG-Premier League,1920,Brighton,2020-06-30 Brighton-Manchester Utd,2020-06-30,Matchweek 32,Tue,Home,L,0,3,Manchester Utd,0,0,0,10,9,2,17,10,9,0,0,0,48,6,5,54.5,20:15:00
ENG-Premier League,1920,Brighton,2020-07-04 Norwich City-Brighton,2020-07-04,Matchweek 33,Sat,Away,W,1,0,Norwich City,2,0,0,13,10,0,15,13,5,0,0,0,48,11,11,50.0,12:30:00
ENG-Premier League,1920,Brighton,2020-07-08 Brighton-Liverpool,2020-07-08,Matchweek 34,Wed,Home,L,1,3,Liverpool,1,0,0,7,15,5,19,10,7,0,0,0,50,12,14,46.2,20:15:00
ENG-Premier League,1920,Brighton,2020-07-11 Brighton-Manchester City,2020-07-11,Matchweek 35,Sat,Home,L,0,5,Manchester City,1,0,0,7,1,6,7,17,7,0,0,0,50,10,10,50.0,20:00:00
ENG-Premier League,1920,Brighton,2020-07-16 Southampton-Brighton,2020-07-16,Matchweek 36,Thu,Away,D,1,1,Southampton,0,0,0,10,5,2,11,12,13,0,0,0,45,25,19,56.8,20:15:00
ENG-Premier League,1920,Brighton,2020-07-20 Brighton-Newcastle Utd,2020-07-20,Matchweek 37,Mon,Home,D,0,0,Newcastle Utd,4,0,0,13,12,1,23,10,7,0,0,0,38,14,14,50.0,18:00:00
ENG-Premier League,1920,Brighton,2020-07-26 Burnley-Brighton,2020-07-26,Matchweek 38,Sun,Away,W,2,1,Burnley,0,0,0,11,11,2,19,7,4,0,0,0,45,35,21,62.5,16:00:00
ENG-Premier League,1920,Burnley,2019-08-10 Burnley-Southampton,2019-08-10,Matchweek 1,Sat,Home,W,3,0,Southampton,0,0,0,6,11,5,14,14,12,0,0,0,51,22,22,50.0,15:00:00
ENG-Premier League,1920,Burnley,2019-08-17 Arsenal-Burnley,2019-08-17,Matchweek 2,Sat,Away,L,1,2,Arsenal,1,0,0,11,11,1,30,6,11,0,0,0,44,20,20,50.0,12:30:00
ENG-Premier League,1920,Burnley,2019-08-25 Wolves-Burnley,2019-08-25,Matchweek 3,Sun,Away,D,1,1,Wolves,2,0,0,11,9,1,19,11,7,0,1,0,48,24,41,36.9,16:30:00
ENG-Premier League,1920,Burnley,2019-08-31 Burnley-Liverpool,2019-08-31,Matchweek 4,Sat,Home,L,0,3,Liverpool,0,0,0,10,15,5,13,11,10,0,0,1,57,21,23,47.7,17:30:00
ENG-Premier League,1920,Burnley,2019-09-14 Brighton-Burnley,2019-09-14,Matchweek 5,Sat,Away,D,1,1,Brighton,2,0,0,7,13,2,18,11,13,0,0,0,40,24,26,48.0,15:00:00
ENG-Premier League,1920,Burnley,2019-09-21 Burnley-Norwich City,2019-09-21,Matchweek 6,Sat,Home,W,2,0,Norwich City,0,0,0,11,9,2,25,10,10,0,0,0,58,13,13,50.0,15:00:00
ENG-Premier League,1920,Burnley,2019-09-28 Aston Villa-Burnley,2019-09-28,Matchweek 7,Sat,Away,D,2,2,Aston Villa,4,0,0,16,10,0,12,9,7,0,0,0,42,20,18,52.6,15:00:00
ENG-Premier League,1920,Burnley,2019-10-05 Burnley-Everton,2019-10-05,Matchweek 8,Sat,Home,W,1,0,Everton,2,0,0,5,12,5,18,18,10,0,0,0,56,28,32,46.7,15:00:00
ENG-Premier League,1920,Burnley,2019-10-19 Leicester City-Burnley,2019-10-19,Matchweek 9,Sat,Away,L,1,2,Leicester City,3,0,0,10,4,3,19,13,12,0,0,0,41,24,22,52.2,15:00:00
ENG-Premier League,1920,Burnley,2019-10-26 Burnley-Chelsea,2019-10-26,Matchweek 10,Sat,Home,L,2,4,Chelsea,3,0,0,7,7,1,19,13,9,0,0,0,77,19,16,54.3,17:30:00
ENG-Premier League,1920,Burnley,2019-11-02 Sheffield Utd-Burnley,2019-11-02,Matchweek 11,Sat,Away,L,0,3,Sheffield Utd,2,0,0,12,8,0,23,4,4,0,0,0,55,29,32,47.5,15:00:00
ENG-Premier League,1920,Burnley,2019-11-09 Burnley-West Ham,2019-11-09,Matchweek 12,Sat,Home,W,3,0,West Ham,2,0,0,17,10,7,24,8,2,0,0,0,59,34,23,59.6,15:00:00
ENG-Premier League,1920,Burnley,2019-11-23 Watford-Burnley,2019-11-23,Matchweek 13,Sat,Away,W,3,0,Watford,3,0,0,13,14,2,16,12,4,1,0,0,44,23,30,43.4,15:00:00
ENG-Premier League,1920,Burnley,2019-11-30 Burnley-Crystal Palace,2019-11-30,Matchweek 14,Sat,Home,L,0,2,Crystal Palace,2,0,0,13,8,1,26,16,15,0,0,0,62,33,29,53.2,15:00:00
ENG-Premier League,1920,Burnley,2019-12-03 Burnley-Manchester City,2019-12-03,Matchweek 15,Tue,Home,L,1,4,Manchester City,1,0,0,9,6,0,9,13,8,0,0,0,36,21,12,63.6,20:15:00
ENG-Premier League,1920,Burnley,2019-12-07 Tottenham-Burnley,2019-12-07,Matchweek 16,Sat,Away,L,0,5,Tottenham,1,0,0,8,12,2,18,7,7,0,0,0,53,26,23,53.1,15:00:00
ENG-Premier League,1920,Burnley,2019-12-14 Burnley-Newcastle Utd,2019-12-14,Matchweek 17,Sat,Home,W,1,0,Newcastle Utd,0,0,0,15,11,3,12,13,11,0,0,0,46,31,21,59.6,15:00:00
ENG-Premier League,1920,Burnley,2019-12-21 Bournemouth-Burnley,2019-12-21,Matchweek 18,Sat,Away,W,1,0,Bournemouth,4,0,0,21,13,0,19,7,7,0,0,0,38,22,23,48.9,15:00:00
ENG-Premier League,1920,Burnley,2019-12-26 Everton-Burnley,2019-12-26,Matchweek 19,Thu,Away,L,0,1,Everton,0,0,0,14,14,1,8,9,13,0,0,0,40,35,30,53.8,15:00:00
ENG-Premier League,1920,Burnley,2019-12-28 Burnley-Manchester Utd,2019-12-28,Matchweek 20,Sat,Home,L,0,2,Manchester Utd,4,0,0,17,8,5,24,6,9,0,0,0,52,21,18,53.8,19:45:00
ENG-Premier League,1920,Burnley,2020-01-01 Burnley-Aston Villa,2020-01-01,Matchweek 21,Wed,Home,L,1,2,Aston Villa,1,0,0,12,9,2,45,5,2,0,0,0,50,34,30,53.1,12:30:00
ENG-Premier League,1920,Burnley,2020-01-11 Chelsea-Burnley,2020-01-11,Matchweek 22,Sat,Away,L,0,3,Chelsea,3,0,0,4,7,6,10,9,6,0,1,0,38,19,14,57.6,15:00:00
ENG-Premier League,1920,Burnley,2020-01-19 Burnley-Leicester City,2020-01-19,Matchweek 23,Sun,Home,W,2,1,Leicester City,1,0,0,14,7,1,19,12,11,0,1,0,57,32,27,54.2,14:00:00
ENG-Premier League,1920,Burnley,2020-01-22 Manchester Utd-Burnley,2020-01-22,Matchweek 24,Wed,Away,W,2,0,Manchester Utd,2,0,0,7,11,2,11,15,8,0,0,0,52,23,34,40.4,20:15:00
ENG-Premier League,1920,Burnley,2020-02-02 Burnley-Arsenal,2020-02-02,Matchweek 25,Sun,Home,D,0,0,Arsenal,1,0,0,8,11,4,38,7,14,0,0,0,50,22,18,55.0,14:00:00
ENG-Premier League,1920,Burnley,2020-02-15 Southampton-Burnley,2020-02-15,Matchweek 26,Sat,Away,W,2,1,Southampton,2,0,0,11,6,3,12,10,10,0,0,0,50,22,26,45.8,12:30:00
ENG-Premier League,1920,Burnley,2020-02-22 Burnley-Bournemouth,2020-02-22,Matchweek 27,Sat,Home,W,3,0,Bournemouth,4,0,0,9,6,1,25,9,13,0,0,0,50,18,21,46.2,15:00:00
ENG-Premier League,1920,Burnley,2020-02-29 Newcastle Utd-Burnley,2020-02-29,Matchweek 28,Sat,Away,D,0,0,Newcastle Utd,3,0,0,9,10,2,18,7,7,0,0,0,55,33,21,61.1,15:00:00
ENG-Premier League,1920,Burnley,2020-03-07 Burnley-Tottenham,2020-03-07,Matchweek 29,Sat,Home,D,1,1,Tottenham,5,0,0,16,11,2,32,13,16,0,1,0,62,28,16,63.6,17:30:00
ENG-Premier League,1920,Burnley,2020-06-22 Manchester City-Burnley,2020-06-22,Matchweek 30,Mon,Away,L,0,5,Manchester City,1,0,0,7,7,2,4,9,7,0,1,0,32,11,18,37.9,20:00:00
ENG-Premier League,1920,Burnley,2020-06-25 Burnley-Watford,2020-06-25,Matchweek 31,Thu,Home,W,1,0,Watford,1,0,0,13,15,3,10,10,8,0,0,0,48,39,40,49.4,18:00:00
ENG-Premier League,1920,Burnley,2020-06-29 Crystal Palace-Burnley,2020-06-29,Matchweek 32,Mon,Away,W,1,0,Crystal Palace,1,0,0,13,12,0,12,9,12,0,0,0,40,19,12,61.3,20:00:00
ENG-Premier League,1920,Burnley,2020-07-05 Burnley-Sheffield Utd,2020-07-05,Matchweek 33,Sun,Home,D,1,1,Sheffield Utd,0,0,0,8,14,2,16,7,7,0,0,0,39,22,32,40.7,12:00:00
ENG-Premier League,1920,Burnley,2020-07-08 West Ham-Burnley,2020-07-08,Matchweek 34,Wed,Away,W,1,0,West Ham,1,0,0,7,7,5,18,9,14,0,0,0,49,32,33,49.2,18:00:00
ENG-Premier League,1920,Burnley,2020-07-11 Liverpool-Burnley,2020-07-11,Matchweek 35,Sat,Away,D,1,1,Liverpool,2,0,0,4,6,3,19,14,4,0,0,0,50,15,16,48.4,15:00:00
ENG-Premier League,1920,Burnley,2020-07-15 Burnley-Wolves,2020-07-15,Matchweek 36,Wed,Home,D,1,1,Wolves,0,0,0,10,7,1,16,12,6,0,0,0,52,28,27,50.9,18:00:00
ENG-Premier League,1920,Burnley,2020-07-18 Norwich City-Burnley,2020-07-18,Matchweek 37,Sat,Away,W,2,0,Norwich City,0,0,0,16,8,1,35,7,7,0,0,0,44,29,23,55.8,17:30:00
ENG-Premier League,1920,Burnley,2020-07-26 Burnley-Brighton,2020-07-26,Matchweek 38,Sun,Home,L,1,2,Brighton,3,0,0,11,10,3,37,12,11,0,0,0,43,21,35,37.5,16:00:00
ENG-Premier League,1920,Chelsea,2019-08-11 Manchester Utd-Chelsea,2019-08-11,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,4,0,0,13,15,0,19,15,9,0,1,0,59,9,13,40.9,16:30:00
ENG-Premier League,1920,Chelsea,2019-08-18 Chelsea-Leicester City,2019-08-18,Matchweek 2,Sun,Home,D,1,1,Leicester City,1,0,0,9,14,3,20,10,14,0,0,0,66,23,13,63.9,16:30:00
ENG-Premier League,1920,Chelsea,2019-08-24 Norwich City-Chelsea,2019-08-24,Matchweek 3,Sat,Away,W,3,2,Norwich City,1,0,0,9,8,0,18,11,18,0,0,0,63,17,11,60.7,12:30:00
ENG-Premier League,1920,Chelsea,2019-08-31 Chelsea-Sheffield Utd,2019-08-31,Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,0,0,0,6,11,2,14,14,7,0,0,1,52,19,23,45.2,15:00:00
ENG-Premier League,1920,Chelsea,2019-09-14 Wolves-Chelsea,2019-09-14,Matchweek 5,Sat,Away,W,5,2,Wolves,2,0,0,11,8,1,14,17,14,0,0,1,58,22,17,56.4,15:00:00
ENG-Premier League,1920,Chelsea,2019-09-22 Chelsea-Liverpool,2019-09-22,Matchweek 6,Sun,Home,L,1,2,Liverpool,3,0,0,8,13,7,26,15,8,0,0,0,62,20,18,52.6,16:30:00
ENG-Premier League,1920,Chelsea,2019-09-28 Chelsea-Brighton,2019-09-28,Matchweek 7,Sat,Home,W,2,0,Brighton,2,0,0,5,11,1,12,13,9,1,0,0,53,10,9,52.6,15:00:00
ENG-Premier League,1920,Chelsea,2019-10-06 Southampton-Chelsea,2019-10-06,Matchweek 8,Sun,Away,W,4,1,Southampton,1,0,0,15,7,0,9,14,12,0,0,0,71,22,15,59.5,14:00:00
ENG-Premier League,1920,Chelsea,2019-10-19 Chelsea-Newcastle Utd,2019-10-19,Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,2,0,0,9,12,1,27,8,12,0,0,0,50,22,17,56.4,15:00:00
ENG-Premier League,1920,Chelsea,2019-10-26 Burnley-Chelsea,2019-10-26,Matchweek 10,Sat,Away,W,4,2,Burnley,2,0,0,8,7,0,16,11,5,0,0,0,60,16,19,45.7,17:30:00
ENG-Premier League,1920,Chelsea,2019-11-02 Watford-Chelsea,2019-11-02,Matchweek 11,Sat,Away,W,2,1,Watford,2,0,0,5,8,0,13,13,8,0,1,0,63,12,11,52.2,17:30:00
ENG-Premier League,1920,Chelsea,2019-11-09 Chelsea-Crystal Palace,2019-11-09,Matchweek 12,Sat,Home,W,2,0,Crystal Palace,3,0,0,9,17,0,22,10,9,0,0,0,50,19,16,54.3,12:30:00
ENG-Premier League,1920,Chelsea,2019-11-23 Manchester City-Chelsea,2019-11-23,Matchweek 13,Sat,Away,L,1,2,Manchester City,1,0,0,9,5,4,13,17,11,0,0,0,45,7,12,36.8,17:30:00
ENG-Premier League,1920,Chelsea,2019-11-30 Chelsea-West Ham,2019-11-30,Matchweek 14,Sat,Home,L,0,1,West Ham,0,0,0,0,15,3,39,19,5,0,0,0,57,21,25,45.7,15:00:00
ENG-Premier League,1920,Chelsea,2019-12-04 Chelsea-Aston Villa,2019-12-04,Matchweek 15,Wed,Home,W,2,1,Aston Villa,2,0,0,18,9,0,26,6,8,0,0,0,62,16,20,44.4,19:30:00
ENG-Premier League,1920,Chelsea,2019-12-07 Everton-Chelsea,2019-12-07,Matchweek 16,Sat,Away,L,1,3,Everton,0,0,0,9,14,3,24,10,8,0,0,0,56,25,25,50.0,12:30:00
ENG-Premier League,1920,Chelsea,2019-12-14 Chelsea-Bournemouth,2019-12-14,Matchweek 17,Sat,Home,L,0,1,Bournemouth,1,0,0,9,14,3,42,15,7,0,0,0,60,31,25,55.4,15:00:00
ENG-Premier League,1920,Chelsea,2019-12-22 Tottenham-Chelsea,2019-12-22,Matchweek 18,Sun,Away,W,2,0,Tottenham,3,0,0,11,8,2,19,13,9,1,0,0,55,17,17,50.0,16:30:00
ENG-Premier League,1920,Chelsea,2019-12-26 Chelsea-Southampton,2019-12-26,Matchweek 19,Thu,Home,L,0,2,Southampton,3,0,0,10,9,1,33,11,13,0,0,0,77,34,27,55.7,15:00:00
ENG-Premier League,1920,Chelsea,2019-12-29 Arsenal-Chelsea,2019-12-29,Matchweek 20,Sun,Away,W,2,1,Arsenal,4,0,0,19,13,1,23,16,10,0,0,0,55,15,16,48.4,14:00:00
ENG-Premier League,1920,Chelsea,2020-01-01 Brighton-Chelsea,2020-01-01,Matchweek 21,Wed,Away,D,1,1,Brighton,3,0,0,15,8,3,14,19,14,0,0,0,66,18,23,43.9,12:30:00
ENG-Premier League,1920,Chelsea,2020-01-11 Chelsea-Burnley,2020-01-11,Matchweek 22,Sat,Home,W,3,0,Burnley,0,0,0,7,4,6,27,9,8,1,0,0,47,14,19,42.4,15:00:00
ENG-Premier League,1920,Chelsea,2020-01-18 Newcastle Utd-Chelsea,2020-01-18,Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,1,0,0,14,9,2,34,18,10,0,0,0,56,20,28,41.7,17:30:00
ENG-Premier League,1920,Chelsea,2020-01-21 Chelsea-Arsenal,2020-01-21,Matchweek 24,Tue,Home,D,2,2,Arsenal,2,0,0,11,6,2,35,10,10,1,0,0,48,21,13,61.8,20:15:00
ENG-Premier League,1920,Chelsea,2020-02-01 Leicester City-Chelsea,2020-02-01,Matchweek 25,Sat,Away,D,2,2,Leicester City,2,0,0,14,14,1,14,9,8,0,0,0,68,17,17,50.0,12:30:00
ENG-Premier League,1920,Chelsea,2020-02-17 Chelsea-Manchester Utd,2020-02-17,Matchweek 26,Mon,Home,L,0,2,Manchester Utd,4,0,0,11,11,2,23,7,9,0,0,0,65,15,14,51.7,20:00:00
ENG-Premier League,1920,Chelsea,2020-02-22 Chelsea-Tottenham,2020-02-22,Matchweek 27,Sat,Home,W,2,1,Tottenham,1,0,0,14,13,1,11,15,15,0,0,1,68,15,20,42.9,12:30:00
ENG-Premier League,1920,Chelsea,2020-02-29 Bournemouth-Chelsea,2020-02-29,Matchweek 28,Sat,Away,D,2,2,Bournemouth,2,0,0,5,8,2,44,11,9,0,0,0,63,23,19,54.8,15:00:00
ENG-Premier League,1920,Chelsea,2020-03-08 Chelsea-Everton,2020-03-08,Matchweek 29,Sun,Home,W,4,0,Everton,1,0,0,8,8,0,15,7,7,0,0,0,48,16,19,45.7,14:00:00
ENG-Premier League,1920,Chelsea,2020-06-21 Aston Villa-Chelsea,2020-06-21,Matchweek 30,Sun,Away,W,2,1,Aston Villa,1,0,0,17,9,0,37,8,4,0,0,0,47,26,25,51.0,16:15:00
ENG-Premier League,1920,Chelsea,2020-06-25 Chelsea-Manchester City,2020-06-25,Matchweek 31,Thu,Home,W,2,1,Manchester City,1,0,0,13,2,3,11,8,6,0,0,0,40,11,5,68.8,20:15:00
ENG-Premier League,1920,Chelsea,2020-07-01 West Ham-Chelsea,2020-07-01,Matchweek 32,Wed,Away,L,2,3,West Ham,1,0,0,9,10,2,29,5,11,1,0,0,57,15,19,44.1,20:15:00
ENG-Premier League,1920,Chelsea,2020-07-04 Chelsea-Watford,2020-07-04,Matchweek 33,Sat,Home,W,3,0,Watford,0,0,0,9,12,1,17,11,8,1,0,0,52,17,11,60.7,20:00:00
ENG-Premier League,1920,Chelsea,2020-07-07 Crystal Palace-Chelsea,2020-07-07,Matchweek 34,Tue,Away,W,3,2,Crystal Palace,0,0,0,10,11,0,23,19,10,0,0,0,61,18,31,36.7,18:00:00
ENG-Premier League,1920,Chelsea,2020-07-11 Sheffield Utd-Chelsea,2020-07-11,Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,0,0,0,6,8,0,35,14,7,0,0,0,41,28,35,44.4,17:30:00
ENG-Premier League,1920,Chelsea,2020-07-14 Chelsea-Norwich City,2020-07-14,Matchweek 36,Tue,Home,W,1,0,Norwich City,2,0,0,10,9,0,34,16,7,0,0,0,70,20,15,57.1,20:15:00
ENG-Premier League,1920,Chelsea,2020-07-22 Liverpool-Chelsea,2020-07-22,Matchweek 37,Wed,Away,L,3,5,Liverpool,0,0,0,11,8,3,19,7,4,0,0,0,66,11,15,42.3,20:15:00
ENG-Premier League,1920,Chelsea,2020-07-26 Chelsea-Wolves,2020-07-26,Matchweek 38,Sun,Home,W,2,0,Wolves,2,0,0,10,16,3,11,8,19,0,0,0,73,21,24,46.7,16:00:00
ENG-Premier League,1920,Crystal Palace,2019-08-10 Crystal Palace-Everton,2019-08-10,Matchweek 1,Sat,Home,D,0,0,Everton,2,0,0,16,12,4,14,10,14,0,0,0,53,30,18,62.5,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-08-18 Sheffield Utd-Crystal Palace,2019-08-18,Matchweek 2,Sun,Away,L,0,1,Sheffield Utd,1,0,0,11,16,1,12,13,15,0,0,0,38,27,23,54.0,14:00:00
ENG-Premier League,1920,Crystal Palace,2019-08-24 Manchester Utd-Crystal Palace,2019-08-24,Matchweek 3,Sat,Away,W,2,1,Manchester Utd,4,0,0,18,7,0,7,16,13,0,1,0,31,15,23,39.5,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-08-31 Crystal Palace-Aston Villa,2019-08-31,Matchweek 4,Sat,Home,W,1,0,Aston Villa,2,0,0,15,15,2,30,7,9,0,0,0,42,12,12,50.0,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-09-14 Tottenham-Crystal Palace,2019-09-14,Matchweek 5,Sat,Away,L,0,4,Tottenham,3,0,0,11,19,0,10,18,11,0,0,1,45,14,20,41.2,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-09-22 Crystal Palace-Wolves,2019-09-22,Matchweek 6,Sun,Home,D,1,1,Wolves,2,0,0,7,10,1,9,14,9,0,0,0,58,20,16,55.6,14:00:00
ENG-Premier League,1920,Crystal Palace,2019-09-28 Crystal Palace-Norwich City,2019-09-28,Matchweek 7,Sat,Home,W,2,0,Norwich City,3,0,0,14,10,2,21,8,10,1,0,0,59,15,11,57.7,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-10-05 West Ham-Crystal Palace,2019-10-05,Matchweek 8,Sat,Away,W,2,1,West Ham,2,0,0,7,9,4,9,9,6,0,0,0,58,20,27,42.6,17:30:00
ENG-Premier League,1920,Crystal Palace,2019-10-19 Crystal Palace-Manchester City,2019-10-19,Matchweek 9,Sat,Home,L,0,2,Manchester City,1,0,0,8,10,3,8,22,7,0,0,0,46,13,21,38.2,17:30:00
ENG-Premier League,1920,Crystal Palace,2019-10-27 Arsenal-Crystal Palace,2019-10-27,Matchweek 10,Sun,Away,D,2,2,Arsenal,0,0,0,9,18,1,25,9,11,1,0,0,60,25,17,59.5,16:30:00
ENG-Premier League,1920,Crystal Palace,2019-11-03 Crystal Palace-Leicester City,2019-11-03,Matchweek 11,Sun,Home,L,0,2,Leicester City,2,0,0,15,16,2,20,9,13,0,0,0,52,18,17,51.4,14:00:00
ENG-Premier League,1920,Crystal Palace,2019-11-09 Chelsea-Crystal Palace,2019-11-09,Matchweek 12,Sat,Away,L,0,2,Chelsea,2,0,0,17,9,0,7,11,13,0,0,0,46,16,19,45.7,12:30:00
ENG-Premier League,1920,Crystal Palace,2019-11-23 Crystal Palace-Liverpool,2019-11-23,Matchweek 13,Sat,Home,L,1,2,Liverpool,0,0,0,8,7,3,25,8,10,0,0,0,42,21,24,46.7,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-11-30 Burnley-Crystal Palace,2019-11-30,Matchweek 14,Sat,Away,W,2,0,Burnley,0,0,0,9,13,1,17,12,8,0,0,0,58,29,33,46.8,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-12-03 Crystal Palace-Bournemouth,2019-12-03,Matchweek 15,Tue,Home,W,1,0,Bournemouth,3,1,0,6,14,1,15,12,8,0,0,0,35,17,26,39.5,19:30:00
ENG-Premier League,1920,Crystal Palace,2019-12-07 Watford-Crystal Palace,2019-12-07,Matchweek 16,Sat,Away,D,0,0,Watford,2,0,0,16,15,1,11,7,11,0,0,0,52,20,27,42.6,15:00:00
ENG-Premier League,1920,Crystal Palace,2019-12-16 Crystal Palace-Brighton,2019-12-16,Matchweek 17,Mon,Home,D,1,1,Brighton,1,0,0,7,12,0,14,14,7,0,0,0,53,26,10,72.2,19:45:00
ENG-Premier League,1920,Crystal Palace,2019-12-21 Newcastle Utd-Crystal Palace,2019-12-21,Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,0,0,0,11,12,0,16,4,7,0,0,0,46,22,18,55.0,15:00:00
