,,,,date,round,day,venue,result,GF,GA,opponent,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,time
ENG-Premier League,2122,Arsenal,2021-12-11 Arsenal-Southampton,2021-12-11,Matchweek 16,Sat,Home,W,3,0,Southampton,3,15,5,33.3,0.2,0.6,15.7,0,0,0,1.8,1.8,0.12,1.2,1.2,15:00:00
ENG-Premier League,2122,Arsenal,2021-12-15 Arsenal-West Ham,2021-12-15,Matchweek 17,Wed,Home,W,2,0,West Ham,2,20,7,35.0,0.1,0.29,19.6,2,0,1,2.8,2.0,0.1,-0.8,0.0,20:00:00
ENG-Premier League,2122,Arsenal,2021-12-18 Leeds United-Arsenal,2021-12-18,Matchweek 18,Sat,Away,W,4,1,Leeds United,4,21,12,57.1,0.19,0.33,16.7,0,0,0,3.5,3.5,0.18,0.5,0.5,17:30:00
ENG-Premier League,2122,Arsenal,2021-12-26 Norwich City-Arsenal,2021-12-26,Matchweek 19,Sun,Away,W,5,0,Norwich City,5,15,5,33.3,0.27,0.8,17.7,1,1,1,2.5,1.7,0.12,2.5,2.3,15:00:00
ENG-Premier League,2122,Arsenal,2022-01-01 Arsenal-Manchester City,2022-01-01,Matchweek 21,Sat,Home,L,1,2,Manchester City,1,7,2,28.6,0.14,0.5,15.6,0,0,0,0.8,0.8,0.11,0.2,0.2,12:30:00
ENG-Premier League,2122,Arsenal,2022-01-23 Arsenal-Burnley,2022-01-23,Matchweek 23,Sun,Home,D,0,0,Burnley,0,20,5,25.0,0.0,0.0,18.8,2,0,0,1.2,1.2,0.06,-1.2,-1.2,14:00:00
ENG-Premier League,2122,Arsenal,2022-02-10 Wolves-Arsenal,2022-02-10,Matchweek 24,Thu,Away,W,1,0,Wolves,1,12,2,16.7,0.08,0.5,17.2,0,0,0,1.8,1.8,0.17,-0.8,-0.8,19:45:00
ENG-Premier League,2122,Arsenal,2022-02-19 Arsenal-Brentford,2022-02-19,Matchweek 26,Sat,Home,W,2,1,Brentford,2,24,7,29.2,0.08,0.29,16.0,0,0,0,1.7,1.7,0.08,0.3,0.3,15:00:00
ENG-Premier League,2122,Arsenal,2022-02-24 Arsenal-Wolves,2022-02-24,Matchweek 20,Thu,Home,W,2,1,Wolves,1,26,5,19.2,0.04,0.2,15.6,1,0,0,3.1,3.1,0.12,-2.1,-2.1,19:45:00
ENG-Premier League,2122,Arsenal,2022-03-06 Watford-Arsenal,2022-03-06,Matchweek 28,Sun,Away,W,3,2,Watford,3,16,4,25.0,0.19,0.75,17.3,0,0,0,1.0,1.0,0.07,2.0,2.0,14:00:00
ENG-Premier League,2122,Arsenal,2022-03-13 Arsenal-Leicester City,2022-03-13,Matchweek 29,Sun,Home,W,2,0,Leicester City,2,20,6,30.0,0.05,0.17,16.2,0,1,1,2.4,2.3,0.12,-0.4,-1.3,16:30:00
ENG-Premier League,2122,Arsenal,2022-03-16 Arsenal-Liverpool,2022-03-16,Matchweek 27,Wed,Home,L,0,2,Liverpool,0,9,2,22.2,0.0,0.0,22.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,20:15:00
ENG-Premier League,2122,Arsenal,2022-03-19 Aston Villa-Arsenal,2022-03-19,Matchweek 30,Sat,Away,W,1,0,Aston Villa,1,10,3,30.0,0.1,0.33,19.5,0,0,0,1.3,1.3,0.13,-0.3,-0.3,12:30:00
ENG-Premier League,2122,Arsenal,2022-04-04 Crystal Palace-Arsenal,2022-04-04,Matchweek 31,Mon,Away,L,0,3,Crystal Palace,0,12,3,25.0,0.0,0.0,18.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8,20:00:00
ENG-Premier League,2122,Arsenal,2022-04-09 Arsenal-Brighton,2022-04-09,Matchweek 32,Sat,Home,L,1,2,Brighton,1,20,4,20.0,0.05,0.25,16.7,2,0,0,1.9,1.9,0.1,-0.9,-0.9,15:00:00
ENG-Premier League,2122,Arsenal,2022-04-16 Southampton-Arsenal,2022-04-16,Matchweek 33,Sat,Away,L,0,1,Southampton,0,23,6,26.1,0.0,0.0,18.3,1,0,0,1.7,1.7,0.07,-1.7,-1.7,15:00:00
ENG-Premier League,2122,Arsenal,2022-04-20 Chelsea-Arsenal,2022-04-20,Matchweek 25,Wed,Away,W,4,2,Chelsea,4,13,3,23.1,0.23,1.0,19.5,0,1,1,2.0,1.2,0.1,2.0,1.8,19:45:00
ENG-Premier League,2122,Arsenal,2022-04-23 Arsenal-Manchester Utd,2022-04-23,Matchweek 34,Sat,Home,W,3,1,Manchester Utd,3,13,6,46.2,0.15,0.33,19.3,1,1,1,2.3,1.8,0.15,0.7,0.2,12:30:00
ENG-Premier League,2122,Arsenal,2022-05-01 West Ham-Arsenal,2022-05-01,Matchweek 35,Sun,Away,W,2,1,West Ham,2,13,7,53.8,0.15,0.29,19.3,0,0,0,0.9,0.9,0.07,1.1,1.1,16:30:00
ENG-Premier League,2122,Arsenal,2022-05-08 Arsenal-Leeds United,2022-05-08,Matchweek 36,Sun,Home,W,2,1,Leeds United,2,19,9,47.4,0.11,0.22,14.3,2,0,0,2.0,2.0,0.11,0.0,0.0,14:00:00
ENG-Premier League,2122,Arsenal,2022-05-12 Tottenham-Arsenal,2022-05-12,Matchweek 22,Thu,Away,L,0,3,Tottenham,0,9,5,55.6,0.0,0.0,24.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,19:45:00
ENG-Premier League,2122,Arsenal,2022-05-16 Newcastle Utd-Arsenal,2022-05-16,Matchweek 37,Mon,Away,L,0,2,Newcastle Utd,0,11,2,18.2,0.0,0.0,21.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6,20:00:00
ENG-Premier League,2122,Arsenal,2022-05-22 Arsenal-Everton,2022-05-22,Matchweek 38,Sun,Home,W,5,1,Everton,5,25,8,32.0,0.16,0.5,17.0,0,1,1,4.2,3.5,0.14,0.8,0.5,16:00:00
ENG-Premier League,2122,Aston Villa,2021-08-14 Watford-Aston Villa,2021-08-14,Matchweek 1,Sat,Away,L,2,3,Watford,2,10,1,10.0,0.1,1.0,22.8,1,1,1,1.2,0.4,0.04,0.8,0.6,15:00:00
ENG-Premier League,2122,Aston Villa,2021-08-21 Aston Villa-Newcastle Utd,2021-08-21,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,2,9,1,11.1,0.11,1.0,19.5,0,1,1,1.2,0.6,0.06,0.8,0.4,15:00:00
ENG-Premier League,2122,Aston Villa,2021-08-28 Aston Villa-Brentford,2021-08-28,Matchweek 3,Sat,Home,D,1,1,Brentford,1,7,5,71.4,0.14,0.2,13.8,0,0,0,0.7,0.7,0.1,0.3,0.3,15:00:00
ENG-Premier League,2122,Aston Villa,2021-09-11 Chelsea-Aston Villa,2021-09-11,Matchweek 4,Sat,Away,L,0,3,Chelsea,0,18,6,33.3,0.0,0.0,18.6,0,0,0,1.2,1.2,0.07,-1.2,-1.2,17:30:00
ENG-Premier League,2122,Aston Villa,2021-09-18 Aston Villa-Everton,2021-09-18,Matchweek 5,Sat,Home,W,3,0,Everton,2,15,3,20.0,0.13,0.67,19.3,1,0,0,0.8,0.8,0.06,1.2,1.2,17:30:00
ENG-Premier League,2122,Aston Villa,2021-09-25 Manchester Utd-Aston Villa,2021-09-25,Matchweek 6,Sat,Away,W,1,0,Manchester Utd,1,7,3,42.9,0.14,0.33,14.1,1,0,0,1.0,1.0,0.15,0.0,0.0,12:30:00
ENG-Premier League,2122,Aston Villa,2021-10-03 Tottenham-Aston Villa,2021-10-03,Matchweek 7,Sun,Away,L,1,2,Tottenham,1,14,3,21.4,0.07,0.33,18.0,0,0,0,1.2,1.2,0.09,-0.2,-0.2,14:00:00
ENG-Premier League,2122,Aston Villa,2021-10-16 Aston Villa-Wolves,2021-10-16,Matchweek 8,Sat,Home,L,2,3,Wolves,2,14,5,35.7,0.14,0.4,18.0,0,0,0,1.0,1.0,0.07,1.0,1.0,15:00:00
ENG-Premier League,2122,Aston Villa,2021-10-22 Arsenal-Aston Villa,2021-10-22,Matchweek 9,Fri,Away,L,1,3,Arsenal,1,10,4,40.0,0.1,0.25,17.2,1,0,0,1.4,1.4,0.14,-0.4,-0.4,20:00:00
ENG-Premier League,2122,Aston Villa,2021-10-31 Aston Villa-West Ham,2021-10-31,Matchweek 10,Sun,Home,L,1,4,West Ham,1,9,3,33.3,0.11,0.33,16.4,0,0,0,0.7,0.7,0.08,0.3,0.3,16:30:00
ENG-Premier League,2122,Aston Villa,2021-11-05 Southampton-Aston Villa,2021-11-05,Matchweek 11,Fri,Away,L,0,1,Southampton,0,14,3,21.4,0.0,0.0,19.5,1,0,0,0.6,0.6,0.04,-0.6,-0.6,20:00:00
ENG-Premier League,2122,Aston Villa,2021-11-20 Aston Villa-Brighton,2021-11-20,Matchweek 12,Sat,Home,W,2,0,Brighton,2,9,5,55.6,0.22,0.4,16.5,0,0,0,0.7,0.7,0.08,1.3,1.3,15:00:00
ENG-Premier League,2122,Aston Villa,2021-11-27 Crystal Palace-Aston Villa,2021-11-27,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,2,10,3,30.0,0.2,0.67,20.5,2,0,0,0.5,0.5,0.05,1.5,1.5,15:00:00
ENG-Premier League,2122,Aston Villa,2021-12-01 Aston Villa-Manchester City,2021-12-01,Matchweek 14,Wed,Home,L,1,2,Manchester City,1,9,3,33.3,0.11,0.33,13.1,0,0,0,0.8,0.8,0.09,0.2,0.2,20:15:00
ENG-Premier League,2122,Aston Villa,2021-12-05 Aston Villa-Leicester City,2021-12-05,Matchweek 15,Sun,Home,W,2,1,Leicester City,2,13,4,30.8,0.15,0.5,13.9,0,0,0,2.1,2.1,0.17,-0.1,-0.1,16:30:00
ENG-Premier League,2122,Aston Villa,2021-12-11 Liverpool-Aston Villa,2021-12-11,Matchweek 16,Sat,Away,L,0,1,Liverpool,0,4,0,0.0,0.0,,23.6,1,0,0,0.2,0.2,0.05,-0.2,-0.2,15:00:00
ENG-Premier League,2122,Aston Villa,2021-12-14 Norwich City-Aston Villa,2021-12-14,Matchweek 17,Tue,Away,W,2,0,Norwich City,2,17,6,35.3,0.12,0.33,16.7,0,0,0,2.0,2.0,0.12,0.0,0.0,19:45:00
ENG-Premier League,2122,Aston Villa,2021-12-26 Aston Villa-Chelsea,2021-12-26,Matchweek 19,Sun,Home,L,1,3,Chelsea,0,8,1,12.5,0.0,0.0,18.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,17:30:00
ENG-Premier League,2122,Aston Villa,2022-01-02 Brentford-Aston Villa,2022-01-02,Matchweek 21,Sun,Away,L,1,2,Brentford,1,16,5,31.3,0.06,0.2,17.1,0,0,0,0.8,0.8,0.05,0.2,0.2,14:00:00
ENG-Premier League,2122,Aston Villa,2022-01-15 Aston Villa-Manchester Utd,2022-01-15,Matchweek 22,Sat,Home,D,2,2,Manchester Utd,2,13,9,69.2,0.15,0.22,12.7,0,0,0,1.9,1.9,0.15,0.1,0.1,17:30:00
ENG-Premier League,2122,Aston Villa,2022-01-22 Everton-Aston Villa,2022-01-22,Matchweek 23,Sat,Away,W,1,0,Everton,1,8,3,37.5,0.13,0.33,19.8,2,0,0,0.8,0.8,0.1,0.2,0.2,12:30:00
ENG-Premier League,2122,Aston Villa,2022-02-09 Aston Villa-Leeds United,2022-02-09,Matchweek 24,Wed,Home,D,3,3,Leeds United,3,12,4,33.3,0.25,0.75,15.7,0,0,0,1.6,1.6,0.14,1.4,1.4,20:00:00
ENG-Premier League,2122,Aston Villa,2022-02-13 Newcastle Utd-Aston Villa,2022-02-13,Matchweek 25,Sun,Away,L,0,1,Newcastle Utd,0,11,1,9.1,0.0,0.0,19.9,1,0,0,0.6,0.6,0.05,-0.6,-0.6,14:00:00
ENG-Premier League,2122,Aston Villa,2022-02-19 Aston Villa-Watford,2022-02-19,Matchweek 26,Sat,Home,L,0,1,Watford,0,20,1,5.0,0.0,0.0,21.0,1,0,0,1.3,1.3,0.07,-1.3,-1.3,15:00:00
ENG-Premier League,2122,Aston Villa,2022-02-26 Brighton-Aston Villa,2022-02-26,Matchweek 27,Sat,Away,W,2,0,Brighton,2,9,4,44.4,0.22,0.5,17.5,1,0,0,1.0,1.0,0.11,1.0,1.0,15:00:00
ENG-Premier League,2122,Aston Villa,2022-03-05 Aston Villa-Southampton,2022-03-05,Matchweek 28,Sat,Home,W,4,0,Southampton,4,14,9,64.3,0.29,0.44,15.7,0,0,0,2.5,2.5,0.2,1.5,1.5,15:00:00
ENG-Premier League,2122,Aston Villa,2022-03-10 Leeds United-Aston Villa,2022-03-10,Matchweek 20,Thu,Away,W,3,0,Leeds United,3,15,9,60.0,0.2,0.33,19.6,1,0,0,1.5,1.5,0.1,1.5,1.5,19:45:00
ENG-Premier League,2122,Aston Villa,2022-03-13 West Ham-Aston Villa,2022-03-13,Matchweek 29,Sun,Away,L,1,2,West Ham,1,13,7,53.8,0.08,0.14,14.9,1,0,0,1.1,1.1,0.09,-0.1,-0.1,14:00:00
ENG-Premier League,2122,Aston Villa,2022-03-19 Aston Villa-Arsenal,2022-03-19,Matchweek 30,Sat,Home,L,0,1,Arsenal,0,8,1,12.5,0.0,0.0,16.8,2,0,0,0.5,0.5,0.06,-0.5,-0.5,12:30:00
ENG-Premier League,2122,Aston Villa,2022-04-02 Wolves-Aston Villa,2022-04-02,Matchweek 31,Sat,Away,L,1,2,Wolves,1,14,4,28.6,0.0,0.0,20.0,1,1,1,2.1,1.5,0.11,-1.1,-1.5,15:00:00
ENG-Premier League,2122,Aston Villa,2022-04-09 Aston Villa-Tottenham,2022-04-09,Matchweek 32,Sat,Home,L,0,4,Tottenham,0,19,8,42.1,0.0,0.0,16.3,1,0,0,1.6,1.6,0.09,-1.6,-1.6,17:30:00
ENG-Premier League,2122,Aston Villa,2022-04-23 Leicester City-Aston Villa,2022-04-23,Matchweek 34,Sat,Away,D,0,0,Leicester City,0,11,3,27.3,0.0,0.0,17.9,0,0,0,0.9,0.9,0.08,-0.9,-0.9,15:00:00
ENG-Premier League,2122,Aston Villa,2022-04-30 Aston Villa-Norwich City,2022-04-30,Matchweek 35,Sat,Home,W,2,0,Norwich City,2,21,6,28.6,0.1,0.33,15.7,0,0,0,1.8,1.8,0.09,0.2,0.2,15:00:00
ENG-Premier League,2122,Aston Villa,2022-05-07 Burnley-Aston Villa,2022-05-07,Matchweek 36,Sat,Away,W,3,1,Burnley,3,12,7,58.3,0.25,0.43,18.3,1,0,0,2.1,2.1,0.17,0.9,0.9,15:00:00
ENG-Premier League,2122,Aston Villa,2022-05-10 Aston Villa-Liverpool,2022-05-10,Matchweek 33,Tue,Home,L,1,2,Liverpool,1,9,4,44.4,0.11,0.25,13.7,0,0,0,1.4,1.4,0.18,-0.4,-0.4,20:00:00
ENG-Premier League,2122,Aston Villa,2022-05-15 Aston Villa-Crystal Palace,2022-05-15,Matchweek 37,Sun,Home,D,1,1,Crystal Palace,1,13,4,30.8,0.08,0.25,18.7,0,0,0,1.0,1.0,0.08,0.0,0.0,14:00:00
ENG-Premier League,2122,Aston Villa,2022-05-19 Aston Villa-Burnley,2022-05-19,Matchweek 18,Thu,Home,D,1,1,Burnley,1,22,9,40.9,0.05,0.11,19.4,0,0,0,1.5,1.5,0.07,-0.5,-0.5,20:00:00
ENG-Premier League,2122,Aston Villa,2022-05-22 Manchester City-Aston Villa,2022-05-22,Matchweek 38,Sun,Away,L,2,3,Manchester City,2,4,2,50.0,0.5,1.0,16.8,0,0,0,0.2,0.2,0.06,1.8,1.8,16:00:00
ENG-Premier League,2122,Brentford,2021-08-13 Brentford-Arsenal,2021-08-13,Matchweek 1,Fri,Home,W,2,0,Arsenal,2,8,3,37.5,0.25,0.67,12.1,0,0,0,1.2,1.2,0.15,0.8,0.8,20:00:00
ENG-Premier League,2122,Brentford,2021-08-21 Crystal Palace-Brentford,2021-08-21,Matchweek 2,Sat,Away,D,0,0,Crystal Palace,0,14,3,21.4,0.0,0.0,18.0,1,0,0,0.9,0.9,0.06,-0.9,-0.9,15:00:00
ENG-Premier League,2122,Brentford,2021-08-28 Aston Villa-Brentford,2021-08-28,Matchweek 3,Sat,Away,D,1,1,Aston Villa,1,9,2,22.2,0.11,0.5,15.6,0,0,0,0.9,0.9,0.1,0.1,0.1,15:00:00
ENG-Premier League,2122,Brentford,2021-09-11 Brentford-Brighton,2021-09-11,Matchweek 4,Sat,Home,L,0,1,Brighton,0,7,1,14.3,0.0,0.0,20.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,15:00:00
ENG-Premier League,2122,Brentford,2021-09-18 Wolves-Brentford,2021-09-18,Matchweek 5,Sat,Away,W,2,0,Wolves,2,8,2,25.0,0.13,0.5,18.7,0,1,1,2.5,1.7,0.21,-0.5,-0.7,12:30:00
ENG-Premier League,2122,Brentford,2021-09-25 Brentford-Liverpool,2021-09-25,Matchweek 6,Sat,Home,D,3,3,Liverpool,3,12,3,25.0,0.25,1.0,12.0,0,0,0,2.1,2.1,0.19,0.9,0.9,17:30:00
ENG-Premier League,2122,Brentford,2021-10-03 West Ham-Brentford,2021-10-03,Matchweek 7,Sun,Away,W,2,1,West Ham,2,13,6,46.2,0.15,0.33,13.9,1,0,0,1.2,1.2,0.1,0.8,0.8,14:00:00
ENG-Premier League,2122,Brentford,2021-10-16 Brentford-Chelsea,2021-10-16,Matchweek 8,Sat,Home,L,0,1,Chelsea,0,17,6,35.3,0.0,0.0,14.5,0,0,0,1.4,1.4,0.09,-1.4,-1.4,17:30:00
ENG-Premier League,2122,Brentford,2021-10-24 Brentford-Leicester City,2021-10-24,Matchweek 9,Sun,Home,L,1,2,Leicester City,1,15,5,33.3,0.07,0.2,16.3,0,0,0,1.0,1.0,0.07,0.0,0.0,14:00:00
ENG-Premier League,2122,Brentford,2021-10-30 Burnley-Brentford,2021-10-30,Matchweek 10,Sat,Away,L,1,3,Burnley,1,12,4,33.3,0.08,0.25,18.2,1,0,0,0.8,0.8,0.07,0.2,0.2,15:00:00
ENG-Premier League,2122,Brentford,2021-11-06 Brentford-Norwich City,2021-11-06,Matchweek 11,Sat,Home,L,1,2,Norwich City,1,19,7,36.8,0.05,0.14,10.8,0,0,0,2.5,2.5,0.14,-1.5,-1.5,15:00:00
ENG-Premier League,2122,Brentford,2021-11-20 Newcastle Utd-Brentford,2021-11-20,Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,2,10,3,30.0,0.2,0.67,18.5,1,0,0,0.9,0.9,0.09,1.1,1.1,15:00:00
ENG-Premier League,2122,Brentford,2021-11-28 Brentford-Everton,2021-11-28,Matchweek 13,Sun,Home,W,1,0,Everton,1,5,3,60.0,0.0,0.0,18.9,0,1,1,1.2,0.4,0.09,-0.2,-0.4,14:00:00
ENG-Premier League,2122,Brentford,2021-12-02 Tottenham-Brentford,2021-12-02,Matchweek 14,Thu,Away,L,0,2,Tottenham,0,6,2,33.3,0.0,0.0,17.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,19:30:00
ENG-Premier League,2122,Brentford,2021-12-05 Leeds United-Brentford,2021-12-05,Matchweek 15,Sun,Away,D,2,2,Leeds United,2,9,3,33.3,0.22,0.67,16.7,1,0,0,1.0,1.0,0.12,1.0,1.0,14:00:00
ENG-Premier League,2122,Brentford,2021-12-10 Brentford-Watford,2021-12-10,Matchweek 16,Fri,Home,W,2,1,Watford,2,13,4,30.8,0.08,0.25,15.5,0,1,1,1.6,0.8,0.06,0.4,0.2,20:00:00
ENG-Premier League,2122,Brentford,2021-12-26 Brighton-Brentford,2021-12-26,Matchweek 19,Sun,Away,L,0,2,Brighton,0,16,5,31.3,0.0,0.0,17.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,20:00:00
ENG-Premier League,2122,Brentford,2021-12-29 Brentford-Manchester City,2021-12-29,Matchweek 20,Wed,Home,L,0,1,Manchester City,0,6,2,33.3,0.0,0.0,24.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,20:15:00
ENG-Premier League,2122,Brentford,2022-01-02 Brentford-Aston Villa,2022-01-02,Matchweek 21,Sun,Home,W,2,1,Aston Villa,2,10,4,40.0,0.2,0.5,17.7,0,0,0,0.6,0.6,0.06,1.4,1.4,14:00:00
ENG-Premier League,2122,Brentford,2022-01-11 Southampton-Brentford,2022-01-11,Matchweek 18,Tue,Away,L,1,4,Southampton,1,5,4,80.0,0.2,0.25,12.8,0,0,0,0.5,0.5,0.11,0.5,0.5,19:45:00
ENG-Premier League,2122,Brentford,2022-01-16 Liverpool-Brentford,2022-01-16,Matchweek 22,Sun,Away,L,0,3,Liverpool,0,6,1,16.7,0.0,0.0,21.2,0,0,0,0.7,0.7,0.12,-0.7,-0.7,14:00:00
ENG-Premier League,2122,Brentford,2022-01-19 Brentford-Manchester Utd,2022-01-19,Matchweek 17,Wed,Home,L,1,3,Manchester Utd,1,18,9,50.0,0.06,0.11,16.7,0,0,0,2.3,2.3,0.14,-1.3,-1.3,20:00:00
ENG-Premier League,2122,Brentford,2022-01-22 Brentford-Wolves,2022-01-22,Matchweek 23,Sat,Home,L,1,2,Wolves,1,11,1,9.1,0.09,1.0,13.6,1,0,0,1.1,1.1,0.11,-0.1,-0.1,15:00:00
ENG-Premier League,2122,Brentford,2022-02-09 Manchester City-Brentford,2022-02-09,Matchweek 24,Wed,Away,L,0,2,Manchester City,0,6,2,33.3,0.0,0.0,18.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,19:45:00
ENG-Premier League,2122,Brentford,2022-02-12 Brentford-Crystal Palace,2022-02-12,Matchweek 25,Sat,Home,D,0,0,Crystal Palace,0,9,2,22.2,0.0,0.0,12.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,15:00:00
ENG-Premier League,2122,Brentford,2022-02-19 Arsenal-Brentford,2022-02-19,Matchweek 26,Sat,Away,L,1,2,Arsenal,1,6,2,33.3,0.17,0.5,20.7,0,0,0,0.6,0.6,0.11,0.4,0.4,15:00:00
ENG-Premier League,2122,Brentford,2022-02-26 Brentford-Newcastle Utd,2022-02-26,Matchweek 27,Sat,Home,L,0,2,Newcastle Utd,0,6,1,16.7,0.0,0.0,16.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,15:00:00
ENG-Premier League,2122,Brentford,2022-03-05 Norwich City-Brentford,2022-03-05,Matchweek 28,Sat,Away,W,3,1,Norwich City,3,8,4,50.0,0.13,0.25,21.4,0,2,2,2.0,0.4,0.05,1.0,0.6,15:00:00
ENG-Premier League,2122,Brentford,2022-03-12 Brentford-Burnley,2022-03-12,Matchweek 29,Sat,Home,W,2,0,Burnley,2,12,2,16.7,0.08,0.5,21.5,0,1,1,1.9,1.1,0.09,0.1,-0.1,15:00:00
ENG-Premier League,2122,Brentford,2022-03-20 Leicester City-Brentford,2022-03-20,Matchweek 30,Sun,Away,L,1,2,Leicester City,1,15,6,40.0,0.07,0.17,14.9,0,0,0,1.3,1.3,0.09,-0.3,-0.3,14:00:00
ENG-Premier League,2122,Brentford,2022-04-02 Chelsea-Brentford,2022-04-02,Matchweek 31,Sat,Away,W,4,1,Chelsea,4,17,6,35.3,0.24,0.67,13.5,1,0,0,1.8,1.8,0.11,2.2,2.2,15:00:00
ENG-Premier League,2122,Brentford,2022-04-10 Brentford-West Ham,2022-04-10,Matchweek 32,Sun,Home,W,2,0,West Ham,2,15,7,46.7,0.13,0.29,15.8,0,0,0,1.4,1.4,0.09,0.6,0.6,14:00:00
