,,,,date,round,day,venue,result,GF,GA,opponent,Poss,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,time
ENG-Premier League,1819,Brighton,2019-03-30 Brighton-Southampton,2019-03-30,Matchweek 32,Sat,Home,L,0,1,Southampton,60,710,61,237,300,180,26,710,19,13,68.4,6,31.6,404,1791,862,18,19,4,19,3,423,45,15:00:00
ENG-Premier League,1819,Brighton,2019-04-03 Chelsea-Brighton,2019-04-03,Matchweek 27,Wed,Away,L,0,3,Chelsea,32,499,75,245,204,54,8,499,14,8,57.1,6,42.9,246,1188,505,12,7,3,17,13,292,17,19:45:00
ENG-Premier League,1819,Brighton,2019-04-13 Brighton-Bournemouth,2019-04-13,Matchweek 34,Sat,Home,L,0,5,Bournemouth,51,615,52,131,338,156,13,615,15,5,33.3,10,66.7,345,2049,965,16,18,2,18,12,387,47,15:00:00
ENG-Premier League,1819,Brighton,2019-04-16 Brighton-Cardiff City,2019-04-16,Matchweek 31,Tue,Home,L,0,2,Cardiff City,64,698,39,187,361,157,21,698,23,10,43.5,13,56.5,386,2125,1092,11,17,2,21,16,428,48,19:45:00
ENG-Premier League,1819,Brighton,2019-04-20 Wolves-Brighton,2019-04-20,Matchweek 35,Sat,Away,D,0,0,Wolves,32,451,90,195,188,72,2,451,12,5,41.7,7,58.3,210,1036,540,6,5,1,12,5,227,17,15:00:00
ENG-Premier League,1819,Brighton,2019-04-23 Tottenham-Brighton,2019-04-23,Matchweek 33,Tue,Away,L,0,1,Tottenham,23,355,101,196,107,56,7,355,9,5,55.6,4,44.4,116,786,376,7,8,3,12,11,117,9,19:45:00
ENG-Premier League,1819,Brighton,2019-04-27 Brighton-Newcastle Utd,2019-04-27,Matchweek 36,Sat,Home,D,1,1,Newcastle Utd,50,621,52,149,313,167,16,621,20,8,40.0,12,60.0,372,2048,998,22,18,3,9,11,405,42,17:30:00
ENG-Premier League,1819,Brighton,2019-05-05 Arsenal-Brighton,2019-05-05,Matchweek 37,Sun,Away,D,1,1,Arsenal,30,428,91,205,142,83,25,427,11,7,63.6,4,36.4,205,1161,631,18,11,7,15,7,186,19,16:30:00
ENG-Premier League,1819,Brighton,2019-05-12 Brighton-Manchester City,2019-05-12,Matchweek 38,Sun,Home,L,1,4,Manchester City,25,368,89,182,149,42,4,368,11,4,36.4,7,63.6,164,813,382,4,4,1,7,8,189,9,15:00:00
ENG-Premier League,1819,Burnley,2018-08-12 Southampton-Burnley,2018-08-12,Matchweek 1,Sun,Away,D,0,0,Southampton,52,568,58,143,274,155,21,568,12,4,33.3,8,66.7,221,995,522,4,7,1,11,8,325,32,13:30:00
ENG-Premier League,1819,Burnley,2018-08-19 Burnley-Watford,2018-08-19,Matchweek 2,Sun,Home,L,1,3,Watford,58,622,51,190,288,146,19,622,9,4,44.4,5,55.6,287,1210,608,9,15,0,11,13,362,34,13:30:00
ENG-Premier League,1819,Burnley,2018-08-26 Fulham-Burnley,2018-08-26,Matchweek 3,Sun,Away,L,2,4,Fulham,37,457,70,156,192,109,20,457,11,7,63.6,4,36.4,162,868,443,11,5,2,11,5,247,43,16:00:00
ENG-Premier League,1819,Burnley,2018-09-02 Burnley-Manchester Utd,2018-09-02,Matchweek 4,Sun,Home,L,0,2,Manchester Utd,47,572,70,127,294,152,13,572,5,4,80.0,1,20.0,325,1709,926,17,14,2,6,5,373,40,16:00:00
ENG-Premier League,1819,Burnley,2018-09-16 Wolves-Burnley,2018-09-16,Matchweek 5,Sun,Away,L,0,1,Wolves,41,545,85,203,261,86,8,545,10,4,40.0,6,60.0,236,1229,614,8,8,1,14,7,312,30,13:30:00
ENG-Premier League,1819,Burnley,2018-09-22 Burnley-Bournemouth,2018-09-22,Matchweek 6,Sat,Home,W,4,0,Bournemouth,38,530,79,168,228,141,25,530,2,0,0.0,2,100.0,210,1296,628,16,11,2,14,6,265,35,15:00:00
ENG-Premier League,1819,Burnley,2018-09-30 Cardiff City-Burnley,2018-09-30,Matchweek 7,Sun,Away,W,2,1,Cardiff City,46,463,97,208,177,81,12,463,4,3,75.0,1,25.0,185,750,349,7,5,2,19,8,183,15,16:00:00
ENG-Premier League,1819,Burnley,2018-10-06 Burnley-Huddersfield,2018-10-06,Matchweek 8,Sat,Home,D,1,1,Huddersfield,33,446,86,181,185,85,11,446,11,5,45.5,6,54.5,134,783,418,11,6,0,15,3,194,18,15:00:00
ENG-Premier League,1819,Burnley,2018-10-20 Manchester City-Burnley,2018-10-20,Matchweek 9,Sat,Away,L,0,5,Manchester City,31,425,72,169,202,57,9,425,8,3,37.5,5,62.5,170,926,480,9,9,1,5,10,244,15,15:00:00
ENG-Premier League,1819,Burnley,2018-10-28 Burnley-Chelsea,2018-10-28,Matchweek 10,Sun,Home,L,0,4,Chelsea,31,472,58,138,237,101,11,472,9,4,44.4,5,55.6,181,954,324,6,6,2,10,4,287,22,13:30:00
ENG-Premier League,1819,Burnley,2018-11-03 West Ham-Burnley,2018-11-03,Matchweek 11,Sat,Away,L,2,4,West Ham,37,466,78,195,200,73,6,466,8,5,62.5,3,37.5,183,1085,425,6,6,1,12,11,219,16,15:00:00
ENG-Premier League,1819,Burnley,2018-11-10 Leicester City-Burnley,2018-11-10,Matchweek 12,Sat,Away,D,0,0,Leicester City,38,465,80,167,218,85,9,465,8,4,50.0,4,50.0,153,849,417,10,8,0,11,9,219,11,15:00:00
ENG-Premier League,1819,Burnley,2018-11-26 Burnley-Newcastle Utd,2018-11-26,Matchweek 13,Mon,Home,L,1,2,Newcastle Utd,57,746,53,152,461,143,20,746,18,15,83.3,3,16.7,349,2187,1213,25,14,2,12,9,516,44,20:30:00
ENG-Premier League,1819,Burnley,2018-12-01 Crystal Palace-Burnley,2018-12-01,Matchweek 14,Sat,Away,L,0,2,Crystal Palace,42,533,81,176,231,131,9,533,4,3,75.0,1,25.0,217,1213,628,8,12,0,16,8,293,23,15:00:00
ENG-Premier League,1819,Burnley,2018-12-05 Burnley-Liverpool,2018-12-05,Matchweek 15,Wed,Home,L,1,3,Liverpool,27,382,66,142,147,98,18,382,10,9,90.0,1,10.0,131,857,505,11,7,1,11,4,154,20,19:45:00
ENG-Premier League,1819,Burnley,2018-12-08 Burnley-Brighton,2018-12-08,Matchweek 16,Sat,Home,W,1,0,Brighton,38,465,55,127,248,96,19,465,8,2,25.0,6,75.0,225,1206,651,11,11,1,16,5,217,33,15:00:00
ENG-Premier League,1819,Burnley,2018-12-15 Tottenham-Burnley,2018-12-15,Matchweek 17,Sat,Away,L,0,1,Tottenham,30,419,72,188,148,85,9,419,7,2,28.6,5,71.4,127,591,219,4,3,3,14,2,177,15,15:00:00
ENG-Premier League,1819,Burnley,2018-12-22 Arsenal-Burnley,2018-12-22,Matchweek 18,Sat,Away,L,1,3,Arsenal,40,483,49,140,231,118,17,483,13,7,53.8,6,46.2,219,1119,551,11,12,3,9,11,290,23,12:30:00
ENG-Premier League,1819,Burnley,2018-12-26 Burnley-Everton,2018-12-26,Matchweek 19,Wed,Home,L,1,5,Everton,49,554,42,133,295,133,16,554,5,2,40.0,3,60.0,218,1228,590,9,7,1,17,7,295,28,15:00:00
ENG-Premier League,1819,Burnley,2018-12-30 Burnley-West Ham,2018-12-30,Matchweek 20,Sun,Home,W,2,0,West Ham,43,523,60,150,247,134,35,523,14,5,35.7,9,64.3,246,1248,492,17,14,7,14,7,275,27,14:15:00
ENG-Premier League,1819,Burnley,2019-01-02 Huddersfield-Burnley,2019-01-02,Matchweek 21,Wed,Away,W,2,1,Huddersfield,57,657,61,167,330,167,20,657,13,10,76.9,3,23.1,386,1823,968,20,19,3,15,15,401,34,19:45:00
ENG-Premier League,1819,Burnley,2019-01-12 Burnley-Fulham,2019-01-12,Matchweek 22,Sat,Home,W,2,1,Fulham,42,578,59,159,308,118,16,578,7,5,71.4,2,28.6,244,1349,705,14,14,2,16,8,303,25,15:00:00
ENG-Premier League,1819,Burnley,2019-01-19 Watford-Burnley,2019-01-19,Matchweek 23,Sat,Away,D,0,0,Watford,46,487,42,130,219,139,20,487,14,5,35.7,9,64.3,173,757,332,3,6,1,15,8,237,28,15:00:00
ENG-Premier League,1819,Burnley,2019-01-29 Manchester Utd-Burnley,2019-01-29,Matchweek 24,Tue,Away,D,2,2,Manchester Utd,27,404,106,181,158,66,7,404,3,3,100.0,0,0.0,155,884,485,6,4,2,12,3,156,13,20:00:00
ENG-Premier League,1819,Burnley,2019-02-02 Burnley-Southampton,2019-02-02,Matchweek 25,Sat,Home,D,1,1,Southampton,55,633,56,171,309,161,27,632,23,16,69.6,7,30.4,252,1602,880,22,17,3,17,10,355,41,15:00:00
ENG-Premier League,1819,Burnley,2019-02-09 Brighton-Burnley,2019-02-09,Matchweek 26,Sat,Away,W,3,1,Brighton,32,428,80,197,168,72,12,427,6,2,33.3,4,66.7,131,912,472,9,6,5,11,7,165,21,17:30:00
ENG-Premier League,1819,Burnley,2019-02-23 Burnley-Tottenham,2019-02-23,Matchweek 27,Sat,Home,W,2,1,Tottenham,32,405,63,143,148,116,16,405,10,6,60.0,4,40.0,128,720,339,8,4,3,18,12,157,22,12:30:00
ENG-Premier League,1819,Burnley,2019-02-26 Newcastle Utd-Burnley,2019-02-26,Matchweek 28,Tue,Away,L,0,2,Newcastle Utd,46,535,47,161,267,111,28,535,10,5,50.0,5,50.0,224,1424,702,17,6,1,18,14,277,24,20:00:00
ENG-Premier League,1819,Burnley,2019-03-02 Burnley-Crystal Palace,2019-03-02,Matchweek 29,Sat,Home,L,1,3,Crystal Palace,57,617,49,126,301,192,28,617,9,3,33.3,6,66.7,270,1365,717,12,10,2,26,11,361,47,15:00:00
ENG-Premier League,1819,Burnley,2019-03-10 Liverpool-Burnley,2019-03-10,Matchweek 30,Sun,Away,L,2,4,Liverpool,33,474,69,171,216,98,9,473,19,10,52.6,9,47.4,159,1098,568,16,6,3,18,12,198,25,12:00:00
ENG-Premier League,1819,Burnley,2019-03-16 Burnley-Leicester City,2019-03-16,Matchweek 31,Sat,Home,L,1,2,Leicester City,62,639,39,111,341,194,30,639,8,3,37.5,5,62.5,343,1882,958,14,13,1,16,7,410,58,15:00:00
ENG-Premier League,1819,Burnley,2019-03-30 Burnley-Wolves,2019-03-30,Matchweek 32,Sat,Home,W,2,0,Wolves,38,463,61,154,222,91,12,463,11,6,54.5,5,45.5,175,858,426,10,3,1,9,11,224,13,15:00:00
ENG-Premier League,1819,Burnley,2019-04-06 Bournemouth-Burnley,2019-04-06,Matchweek 33,Sat,Away,W,3,1,Bournemouth,41,440,53,135,190,118,20,440,7,6,85.7,1,14.3,141,759,297,7,6,1,19,5,217,27,15:00:00
ENG-Premier League,1819,Burnley,2019-04-13 Burnley-Cardiff City,2019-04-13,Matchweek 34,Sat,Home,W,2,0,Cardiff City,47,466,52,142,187,146,22,466,17,11,64.7,6,35.3,158,1047,464,15,11,4,22,3,206,27,15:00:00
ENG-Premier League,1819,Burnley,2019-04-22 Chelsea-Burnley,2019-04-22,Matchweek 35,Mon,Away,D,2,2,Chelsea,25,397,112,214,132,54,7,397,9,5,55.6,4,44.4,130,547,228,4,2,1,12,11,151,14,20:00:00
ENG-Premier League,1819,Burnley,2019-04-28 Burnley-Manchester City,2019-04-28,Matchweek 36,Sun,Home,L,0,1,Manchester City,31,404,87,171,153,82,8,404,8,6,75.0,2,25.0,151,955,454,11,9,0,6,11,177,19,14:05:00
ENG-Premier League,1819,Burnley,2019-05-03 Everton-Burnley,2019-05-03,Matchweek 37,Fri,Away,L,0,2,Everton,41,525,77,183,217,131,15,525,11,7,63.6,4,36.4,297,1263,626,8,10,4,14,16,295,39,20:00:00
ENG-Premier League,1819,Burnley,2019-05-12 Burnley-Arsenal,2019-05-12,Matchweek 38,Sun,Home,L,1,3,Arsenal,40,501,67,135,245,130,30,501,9,6,66.7,3,33.3,240,1465,746,15,10,3,13,8,294,19,15:00:00
ENG-Premier League,1819,Cardiff City,2018-08-11 Bournemouth-Cardiff City,2018-08-11,Matchweek 1,Sat,Away,L,0,2,Bournemouth,37,456,60,159,188,111,22,456,17,9,52.9,8,47.1,179,1015,483,11,6,6,9,3,190,27,15:00:00
ENG-Premier League,1819,Cardiff City,2018-08-18 Cardiff City-Newcastle Utd,2018-08-18,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,51,494,51,154,207,140,13,494,9,8,88.9,1,11.1,205,1409,721,18,14,0,8,11,220,28,12:30:00
ENG-Premier League,1819,Cardiff City,2018-08-25 Huddersfield-Cardiff City,2018-08-25,Matchweek 3,Sat,Away,D,0,0,Huddersfield,43,469,47,142,188,145,16,469,8,3,37.5,5,62.5,188,1134,556,11,8,2,14,9,219,25,15:00:00
ENG-Premier League,1819,Cardiff City,2018-09-02 Cardiff City-Arsenal,2018-09-02,Matchweek 4,Sun,Home,L,2,3,Arsenal,28,387,66,134,145,112,21,387,4,2,50.0,2,50.0,147,790,397,8,6,2,13,9,159,28,13:30:00
ENG-Premier League,1819,Cardiff City,2018-09-15 Chelsea-Cardiff City,2018-09-15,Matchweek 5,Sat,Away,L,1,4,Chelsea,24,347,55,126,139,84,12,347,9,6,66.7,3,33.3,146,889,339,7,4,2,10,7,141,16,15:00:00
ENG-Premier League,1819,Cardiff City,2018-09-22 Cardiff City-Manchester City,2018-09-22,Matchweek 6,Sat,Home,L,0,5,Manchester City,22,342,79,164,128,53,4,342,5,2,40.0,3,60.0,142,809,368,9,3,2,12,9,157,11,15:00:00
ENG-Premier League,1819,Cardiff City,2018-09-30 Cardiff City-Burnley,2018-09-30,Matchweek 7,Sun,Home,L,1,2,Burnley,54,490,25,99,201,194,47,490,5,5,100.0,0,0.0,182,1042,525,10,6,7,13,12,222,46,16:00:00
ENG-Premier League,1819,Cardiff City,2018-10-06 Tottenham-Cardiff City,2018-10-06,Matchweek 8,Sat,Away,L,0,1,Tottenham,25,388,63,145,128,121,11,388,14,5,35.7,9,64.3,166,991,347,5,8,4,14,9,154,22,15:00:00
ENG-Premier League,1819,Cardiff City,2018-10-20 Cardiff City-Fulham,2018-10-20,Matchweek 9,Sat,Home,W,4,2,Fulham,41,478,38,104,197,183,32,478,16,9,56.3,7,43.8,183,1017,488,15,5,8,16,9,223,25,15:00:00
ENG-Premier League,1819,Cardiff City,2018-10-27 Liverpool-Cardiff City,2018-10-27,Matchweek 10,Sat,Away,L,1,4,Liverpool,22,357,82,165,125,74,2,357,14,8,57.1,6,42.9,128,1066,595,11,11,1,12,6,135,13,15:00:00
ENG-Premier League,1819,Cardiff City,2018-11-03 Cardiff City-Leicester City,2018-11-03,Matchweek 11,Sat,Home,L,0,1,Leicester City,41,435,64,142,170,127,28,435,10,4,40.0,6,60.0,140,815,431,8,10,4,15,5,181,23,15:00:00
ENG-Premier League,1819,Cardiff City,2018-11-10 Cardiff City-Brighton,2018-11-10,Matchweek 12,Sat,Home,W,2,1,Brighton,60,610,24,113,295,211,28,610,12,7,58.3,5,41.7,330,1897,1085,21,15,6,16,9,375,45,12:30:00
ENG-Premier League,1819,Cardiff City,2018-11-24 Everton-Cardiff City,2018-11-24,Matchweek 13,Sat,Away,L,0,1,Everton,30,384,63,178,134,78,17,384,5,0,0.0,5,100.0,114,887,427,8,8,2,12,7,124,11,15:00:00
ENG-Premier League,1819,Cardiff City,2018-11-30 Cardiff City-Wolves,2018-11-30,Matchweek 14,Fri,Home,W,2,1,Wolves,48,505,56,142,227,141,25,505,19,7,36.8,12,63.2,180,1239,633,10,11,1,15,9,214,30,20:00:00
ENG-Premier League,1819,Cardiff City,2018-12-04 West Ham-Cardiff City,2018-12-04,Matchweek 15,Tue,Away,L,1,3,West Ham,40,459,59,142,202,120,10,458,18,12,66.7,6,33.3,169,1031,496,8,11,2,13,6,220,21,19:45:00
ENG-Premier League,1819,Cardiff City,2018-12-08 Cardiff City-Southampton,2018-12-08,Matchweek 16,Sat,Home,W,1,0,Southampton,37,420,61,143,168,115,29,420,27,15,55.6,11,40.7,141,1004,484,13,10,8,12,6,167,26,15:00:00
ENG-Premier League,1819,Cardiff City,2018-12-15 Watford-Cardiff City,2018-12-15,Matchweek 17,Sat,Away,L,2,3,Watford,29,415,67,160,161,102,16,415,7,3,42.9,4,57.1,149,1120,497,12,11,4,16,9,169,22,15:00:00
ENG-Premier League,1819,Cardiff City,2018-12-22 Cardiff City-Manchester Utd,2018-12-22,Matchweek 18,Sat,Home,L,1,5,Manchester Utd,27,356,45,131,138,93,12,355,13,5,38.5,8,61.5,131,960,386,8,7,2,14,9,148,11,17:30:00
ENG-Premier League,1819,Cardiff City,2018-12-26 Crystal Palace-Cardiff City,2018-12-26,Matchweek 19,Wed,Away,D,0,0,Crystal Palace,38,479,90,185,178,119,15,479,10,5,50.0,5,50.0,170,996,486,11,9,2,15,5,222,25,15:00:00
ENG-Premier League,1819,Cardiff City,2018-12-29 Leicester City-Cardiff City,2018-12-29,Matchweek 20,Sat,Away,W,1,0,Leicester City,38,453,59,141,170,148,16,453,14,5,35.7,9,64.3,161,1193,594,15,13,4,13,10,196,27,15:00:00
ENG-Premier League,1819,Cardiff City,2019-01-01 Cardiff City-Tottenham,2019-01-01,Matchweek 21,Tue,Home,L,0,3,Tottenham,28,411,49,120,189,106,16,411,9,6,66.7,3,33.3,178,943,424,14,8,3,13,6,228,20,17:30:00
ENG-Premier League,1819,Cardiff City,2019-01-12 Cardiff City-Huddersfield,2019-01-12,Matchweek 22,Sat,Home,D,0,0,Huddersfield,39,430,71,161,181,92,11,430,13,8,61.5,5,38.5,186,922,430,12,5,1,17,8,168,31,15:00:00
ENG-Premier League,1819,Cardiff City,2019-01-19 Newcastle Utd-Cardiff City,2019-01-19,Matchweek 23,Sat,Away,L,0,3,Newcastle Utd,46,505,59,143,224,144,18,505,13,9,69.2,4,30.8,195,1433,800,15,7,3,11,13,239,32,15:00:00
ENG-Premier League,1819,Cardiff City,2019-01-29 Arsenal-Cardiff City,2019-01-29,Matchweek 24,Tue,Away,L,1,2,Arsenal,30,406,63,159,134,117,18,406,8,4,50.0,4,50.0,143,816,301,4,10,2,12,9,174,20,19:45:00
ENG-Premier League,1819,Cardiff City,2019-02-02 Cardiff City-Bournemouth,2019-02-02,Matchweek 25,Sat,Home,W,2,0,Bournemouth,27,367,65,154,125,92,20,366,10,5,50.0,5,50.0,115,747,378,12,3,5,14,8,139,16,17:30:00
ENG-Premier League,1819,Cardiff City,2019-02-09 Southampton-Cardiff City,2019-02-09,Matchweek 26,Sat,Away,W,2,1,Southampton,34,420,68,156,171,95,21,420,8,3,37.5,5,62.5,128,805,392,8,5,2,15,15,177,21,15:00:00
ENG-Premier League,1819,Cardiff City,2019-02-22 Cardiff City-Watford,2019-02-22,Matchweek 27,Fri,Home,L,1,5,Watford,37,482,44,146,202,142,20,482,19,11,57.9,8,42.1,176,1026,593,16,11,4,15,6,223,31,19:45:00
ENG-Premier League,1819,Cardiff City,2019-02-26 Cardiff City-Everton,2019-02-26,Matchweek 28,Tue,Home,L,0,3,Everton,34,409,49,137,169,111,21,409,9,7,77.8,2,22.2,143,897,413,9,7,3,12,8,162,16,19:45:00
ENG-Premier League,1819,Cardiff City,2019-03-02 Wolves-Cardiff City,2019-03-02,Matchweek 29,Sat,Away,L,0,2,Wolves,44,522,34,100,249,183,24,522,17,7,41.2,10,58.8,227,1454,686,15,9,1,19,10,260,39,15:00:00
ENG-Premier League,1819,Cardiff City,2019-03-09 Cardiff City-West Ham,2019-03-09,Matchweek 30,Sat,Home,W,2,0,West Ham,30,389,43,122,137,133,26,389,15,7,46.7,8,53.3,148,934,401,11,5,5,19,13,157,27,15:00:00
ENG-Premier League,1819,Cardiff City,2019-03-31 Cardiff City-Chelsea,2019-03-31,Matchweek 32,Sun,Home,L,1,2,Chelsea,30,390,59,151,162,82,17,390,14,10,71.4,4,28.6,183,872,393,8,6,3,9,6,144,21,14:05:00
ENG-Premier League,1819,Cardiff City,2019-04-03 Manchester City-Cardiff City,2019-04-03,Matchweek 33,Wed,Away,L,0,2,Manchester City,21,300,82,143,111,51,9,300,16,10,62.5,6,37.5,104,775,413,7,7,2,14,5,129,17,19:45:00
ENG-Premier League,1819,Cardiff City,2019-04-13 Burnley-Cardiff City,2019-04-13,Matchweek 34,Sat,Away,L,0,2,Burnley,53,494,60,147,202,148,15,494,10,5,50.0,5,50.0,206,1157,496,9,9,6,12,10,242,28,15:00:00
ENG-Premier League,1819,Cardiff City,2019-04-16 Brighton-Cardiff City,2019-04-16,Matchweek 31,Tue,Away,W,2,0,Brighton,36,474,64,180,212,91,17,474,16,11,68.8,5,31.3,175,1371,770,18,8,8,10,13,196,17,19:45:00
ENG-Premier League,1819,Cardiff City,2019-04-21 Cardiff City-Liverpool,2019-04-21,Matchweek 35,Sun,Home,L,0,2,Liverpool,25,318,65,132,127,63,10,318,13,8,61.5,5,38.5,107,621,303,7,6,3,16,10,113,15,16:00:00
ENG-Premier League,1819,Cardiff City,2019-04-27 Fulham-Cardiff City,2019-04-27,Matchweek 36,Sat,Away,L,0,1,Fulham,29,389,49,131,151,113,20,389,20,13,65.0,7,35.0,136,1117,506,20,11,7,14,15,159,28,15:00:00
ENG-Premier League,1819,Cardiff City,2019-05-04 Cardiff City-Crystal Palace,2019-05-04,Matchweek 37,Sat,Home,L,2,3,Crystal Palace,40,460,63,131,192,141,33,460,13,8,61.5,5,38.5,177,1034,542,14,12,2,21,11,191,25,17:30:00
ENG-Premier League,1819,Cardiff City,2019-05-12 Manchester Utd-Cardiff City,2019-05-12,Matchweek 38,Sun,Away,W,2,0,Manchester Utd,27,371,87,170,117,95,21,370,16,8,50.0,8,50.0,143,1177,758,16,5,6,14,7,141,16,15:00:00
ENG-Premier League,1819,Chelsea,2018-08-11 Huddersfield-Chelsea,2018-08-11,Matchweek 1,Sat,Away,W,3,0,Huddersfield,62,806,73,203,435,177,17,805,21,17,81.0,4,19.0,464,2541,1317,29,25,8,15,21,611,32,15:00:00
ENG-Premier League,1819,Chelsea,2018-08-18 Chelsea-Arsenal,2018-08-18,Matchweek 2,Sat,Home,W,3,2,Arsenal,62,851,48,210,434,213,24,851,12,9,75.0,3,25.0,472,2608,1464,29,23,7,11,11,661,48,17:30:00
ENG-Premier League,1819,Chelsea,2018-08-26 Newcastle Utd-Chelsea,2018-08-26,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,80,1053,44,163,438,457,39,1052,12,7,58.3,5,41.7,665,3302,1825,21,44,4,10,16,861,66,16:00:00
ENG-Premier League,1819,Chelsea,2018-09-01 Chelsea-Bournemouth,2018-09-01,Matchweek 4,Sat,Home,W,2,0,Bournemouth,72,858,59,199,387,277,40,858,14,9,64.3,5,35.7,504,2818,1604,35,24,11,16,9,637,59,15:00:00
ENG-Premier League,1819,Chelsea,2018-09-15 Chelsea-Cardiff City,2018-09-15,Matchweek 5,Sat,Home,W,4,1,Cardiff City,76,880,49,177,484,220,22,879,13,10,76.9,3,23.1,431,2649,1524,25,21,4,9,10,686,60,15:00:00
ENG-Premier League,1819,Chelsea,2018-09-23 West Ham-Chelsea,2018-09-23,Matchweek 6,Sun,Away,D,0,0,West Ham,71,900,38,122,485,302,30,900,18,7,38.9,11,61.1,535,3020,1848,29,38,7,12,11,692,88,13:30:00
ENG-Premier League,1819,Chelsea,2018-09-29 Chelsea-Liverpool,2018-09-29,Matchweek 7,Sat,Home,D,1,1,Liverpool,47,701,86,323,266,114,16,701,8,4,50.0,4,50.0,298,1725,878,17,8,7,13,11,479,25,17:30:00
ENG-Premier League,1819,Chelsea,2018-10-07 Southampton-Chelsea,2018-10-07,Matchweek 8,Sun,Away,W,3,0,Southampton,65,807,51,153,388,273,41,807,13,4,30.8,9,69.2,449,2267,1241,21,26,8,11,12,603,58,14:15:00
ENG-Premier League,1819,Chelsea,2018-10-20 Chelsea-Manchester Utd,2018-10-20,Matchweek 9,Sat,Home,D,2,2,Manchester Utd,62,782,68,194,358,234,33,782,17,5,29.4,12,70.6,466,2745,1688,32,18,10,19,9,568,48,12:30:00
ENG-Premier League,1819,Chelsea,2018-10-28 Burnley-Chelsea,2018-10-28,Matchweek 10,Sun,Away,W,4,0,Burnley,69,928,57,265,507,159,25,928,16,11,68.8,5,31.3,691,2960,1526,25,22,7,7,8,740,39,13:30:00
ENG-Premier League,1819,Chelsea,2018-11-04 Chelsea-Crystal Palace,2018-11-04,Matchweek 11,Sun,Home,W,3,1,Crystal Palace,73,1018,55,226,543,255,26,1018,20,13,65.0,7,35.0,622,2962,1647,27,28,2,8,14,829,73,16:00:00
ENG-Premier League,1819,Chelsea,2018-11-11 Chelsea-Everton,2018-11-11,Matchweek 12,Sun,Home,D,0,0,Everton,68,835,44,178,474,192,18,835,13,8,61.5,5,38.5,520,2686,1664,15,10,1,16,16,642,70,14:15:00
ENG-Premier League,1819,Chelsea,2018-11-24 Tottenham-Chelsea,2018-11-24,Matchweek 13,Sat,Away,L,1,3,Tottenham,60,705,51,181,345,189,25,705,20,15,75.0,5,25.0,419,2381,1254,20,22,6,18,7,493,50,17:30:00
ENG-Premier League,1819,Chelsea,2018-12-02 Chelsea-Fulham,2018-12-02,Matchweek 14,Sun,Home,W,2,0,Fulham,65,876,79,267,430,188,25,876,15,8,53.3,7,46.7,481,2704,1550,22,22,4,16,16,664,58,12:00:00
ENG-Premier League,1819,Chelsea,2018-12-05 Wolves-Chelsea,2018-12-05,Matchweek 15,Wed,Away,L,1,2,Wolves,70,834,54,200,452,187,17,834,17,11,64.7,6,35.3,456,2586,1438,28,23,6,16,10,621,62,19:45:00
ENG-Premier League,1819,Chelsea,2018-12-08 Chelsea-Manchester City,2018-12-08,Matchweek 16,Sat,Home,W,2,0,Manchester City,39,568,94,290,226,59,11,568,14,10,71.4,4,28.6,295,1507,659,16,9,1,10,15,360,19,17:30:00
ENG-Premier League,1819,Chelsea,2018-12-16 Brighton-Chelsea,2018-12-16,Matchweek 17,Sun,Away,W,2,1,Brighton,57,783,44,201,415,175,19,783,18,10,55.6,8,44.4,425,2417,1362,16,13,6,8,16,585,35,13:30:00
ENG-Premier League,1819,Chelsea,2018-12-22 Chelsea-Leicester City,2018-12-22,Matchweek 18,Sat,Home,L,0,1,Leicester City,72,870,49,179,371,328,31,870,22,13,59.1,9,40.9,499,3146,1969,34,34,7,17,14,630,82,15:00:00
ENG-Premier League,1819,Chelsea,2018-12-26 Watford-Chelsea,2018-12-26,Matchweek 19,Wed,Away,W,2,1,Watford,65,866,59,220,400,251,24,865,27,18,66.7,9,33.3,526,2941,1576,27,19,11,21,9,660,63,19:30:00
ENG-Premier League,1819,Chelsea,2018-12-30 Crystal Palace-Chelsea,2018-12-30,Matchweek 20,Sun,Away,W,1,0,Crystal Palace,65,915,48,150,468,299,17,915,11,7,63.6,4,36.4,670,2941,1707,24,25,5,16,9,710,69,12:00:00
ENG-Premier League,1819,Chelsea,2019-01-02 Chelsea-Southampton,2019-01-02,Matchweek 21,Wed,Home,D,0,0,Southampton,71,934,64,231,440,271,26,934,32,22,68.8,10,31.3,524,2998,1682,25,19,8,17,10,669,66,19:45:00
ENG-Premier League,1819,Chelsea,2019-01-12 Chelsea-Newcastle Utd,2019-01-12,Matchweek 22,Sat,Home,W,2,1,Newcastle Utd,65,849,51,203,429,222,20,849,20,14,70.0,6,30.0,489,2769,1557,26,25,2,13,16,622,61,17:30:00
ENG-Premier League,1819,Chelsea,2019-01-19 Arsenal-Chelsea,2019-01-19,Matchweek 23,Sat,Away,L,0,2,Arsenal,64,810,57,204,312,297,39,810,27,13,48.1,13,48.1,486,2934,1493,34,34,8,12,21,588,65,17:30:00
