,,,,date,round,day,venue,result,GF,GA,opponent,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,time
ENG-Premier League,1819,Brighton,2019-04-16 Brighton-Cardiff City,2019-04-16,Matchweek 31,Tue,Home,L,0,2,Cardiff City,0,14,2,14.3,0.0,0.0,20.3,1,0,0,0.6,0.6,0.05,-0.6,-0.6,19:45:00
ENG-Premier League,1819,Brighton,2019-04-20 Wolves-Brighton,2019-04-20,Matchweek 35,Sat,Away,D,0,0,Wolves,0,5,0,0.0,0.0,,24.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,15:00:00
ENG-Premier League,1819,Brighton,2019-04-23 Tottenham-Brighton,2019-04-23,Matchweek 33,Tue,Away,L,0,1,Tottenham,0,6,1,16.7,0.0,0.0,19.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,19:45:00
ENG-Premier League,1819,Brighton,2019-04-27 Brighton-Newcastle Utd,2019-04-27,Matchweek 36,Sat,Home,D,1,1,Newcastle Utd,1,9,2,22.2,0.11,0.5,13.3,0,0,0,1.3,1.3,0.14,-0.3,-0.3,17:30:00
ENG-Premier League,1819,Brighton,2019-05-05 Arsenal-Brighton,2019-05-05,Matchweek 37,Sun,Away,D,1,1,Arsenal,1,10,4,40.0,0.0,0.0,16.2,1,1,1,1.9,1.1,0.13,-0.9,-1.1,16:30:00
ENG-Premier League,1819,Brighton,2019-05-12 Brighton-Manchester City,2019-05-12,Matchweek 38,Sun,Home,L,1,4,Manchester City,1,6,2,33.3,0.17,0.5,19.0,1,0,0,0.5,0.5,0.08,0.5,0.5,15:00:00
ENG-Premier League,1819,Burnley,2018-08-12 Southampton-Burnley,2018-08-12,Matchweek 1,Sun,Away,D,0,0,Southampton,0,16,6,37.5,0.0,0.0,17.5,1,0,0,1.4,1.4,0.09,-1.4,-1.4,13:30:00
ENG-Premier League,1819,Burnley,2018-08-19 Burnley-Watford,2018-08-19,Matchweek 2,Sun,Home,L,1,3,Watford,1,8,3,37.5,0.13,0.33,17.3,1,0,0,0.6,0.6,0.07,0.4,0.4,13:30:00
ENG-Premier League,1819,Burnley,2018-08-26 Fulham-Burnley,2018-08-26,Matchweek 3,Sun,Away,L,2,4,Fulham,2,12,2,16.7,0.17,1.0,15.4,1,0,0,1.5,1.5,0.13,0.5,0.5,16:00:00
ENG-Premier League,1819,Burnley,2018-09-02 Burnley-Manchester Utd,2018-09-02,Matchweek 4,Sun,Home,L,0,2,Manchester Utd,0,9,2,22.2,0.0,0.0,16.3,0,0,0,0.8,0.8,0.09,-0.8,-0.8,16:00:00
ENG-Premier League,1819,Burnley,2018-09-16 Wolves-Burnley,2018-09-16,Matchweek 5,Sun,Away,L,0,1,Wolves,0,7,2,28.6,0.0,0.0,24.1,1,0,0,0.3,0.3,0.04,-0.3,-0.3,13:30:00
ENG-Premier League,1819,Burnley,2018-09-22 Burnley-Bournemouth,2018-09-22,Matchweek 6,Sat,Home,W,4,0,Bournemouth,4,12,5,41.7,0.33,0.8,13.7,0,0,0,2.1,2.1,0.19,1.9,1.9,15:00:00
ENG-Premier League,1819,Burnley,2018-09-30 Cardiff City-Burnley,2018-09-30,Matchweek 7,Sun,Away,W,2,1,Cardiff City,2,3,2,66.7,0.67,1.0,14.3,0,0,0,0.3,0.3,0.09,1.7,1.7,16:00:00
ENG-Premier League,1819,Burnley,2018-10-06 Burnley-Huddersfield,2018-10-06,Matchweek 8,Sat,Home,D,1,1,Huddersfield,1,6,3,50.0,0.17,0.33,15.7,0,0,0,0.4,0.4,0.06,0.6,0.6,15:00:00
ENG-Premier League,1819,Burnley,2018-10-20 Manchester City-Burnley,2018-10-20,Matchweek 9,Sat,Away,L,0,5,Manchester City,0,5,0,0.0,0.0,,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,15:00:00
ENG-Premier League,1819,Burnley,2018-10-28 Burnley-Chelsea,2018-10-28,Matchweek 10,Sun,Home,L,0,4,Chelsea,0,7,1,14.3,0.0,0.0,17.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,13:30:00
ENG-Premier League,1819,Burnley,2018-11-03 West Ham-Burnley,2018-11-03,Matchweek 11,Sat,Away,L,2,4,West Ham,2,6,3,50.0,0.33,0.67,15.5,0,0,0,1.1,1.1,0.18,0.9,0.9,15:00:00
ENG-Premier League,1819,Burnley,2018-11-10 Leicester City-Burnley,2018-11-10,Matchweek 12,Sat,Away,D,0,0,Leicester City,0,6,1,16.7,0.0,0.0,19.8,2,0,0,0.4,0.4,0.07,-0.4,-0.4,15:00:00
ENG-Premier League,1819,Burnley,2018-11-26 Burnley-Newcastle Utd,2018-11-26,Matchweek 13,Mon,Home,L,1,2,Newcastle Utd,1,14,4,28.6,0.07,0.25,17.5,0,0,0,1.8,1.8,0.13,-0.8,-0.8,20:30:00
ENG-Premier League,1819,Burnley,2018-12-01 Crystal Palace-Burnley,2018-12-01,Matchweek 14,Sat,Away,L,0,2,Crystal Palace,0,4,0,0.0,0.0,,10.3,0,0,0,0.7,0.7,0.18,-0.7,-0.7,15:00:00
ENG-Premier League,1819,Burnley,2018-12-05 Burnley-Liverpool,2018-12-05,Matchweek 15,Wed,Home,L,1,3,Liverpool,1,10,6,60.0,0.1,0.17,19.0,0,0,0,0.9,0.9,0.11,0.1,0.1,19:45:00
ENG-Premier League,1819,Burnley,2018-12-08 Burnley-Brighton,2018-12-08,Matchweek 16,Sat,Home,W,1,0,Brighton,1,14,4,28.6,0.07,0.25,16.5,1,0,0,1.4,1.4,0.12,-0.4,-0.4,15:00:00
ENG-Premier League,1819,Burnley,2018-12-15 Tottenham-Burnley,2018-12-15,Matchweek 17,Sat,Away,L,0,1,Tottenham,0,4,0,0.0,0.0,,17.3,0,0,0,0.5,0.5,0.12,-0.5,-0.5,15:00:00
ENG-Premier League,1819,Burnley,2018-12-22 Arsenal-Burnley,2018-12-22,Matchweek 18,Sat,Away,L,1,3,Arsenal,1,7,2,28.6,0.14,0.5,18.0,0,0,0,1.2,1.2,0.17,-0.2,-0.2,12:30:00
ENG-Premier League,1819,Burnley,2018-12-26 Burnley-Everton,2018-12-26,Matchweek 19,Wed,Home,L,1,5,Everton,1,11,3,27.3,0.09,0.33,14.2,1,0,0,2.0,2.0,0.19,-1.0,-1.0,15:00:00
ENG-Premier League,1819,Burnley,2018-12-30 Burnley-West Ham,2018-12-30,Matchweek 20,Sun,Home,W,2,0,West Ham,2,17,5,29.4,0.12,0.4,14.9,0,0,0,2.7,2.7,0.16,-0.7,-0.7,14:15:00
ENG-Premier League,1819,Burnley,2019-01-02 Huddersfield-Burnley,2019-01-02,Matchweek 21,Wed,Away,W,2,1,Huddersfield,2,16,8,50.0,0.13,0.25,15.2,1,0,0,2.4,2.4,0.15,-0.4,-0.4,19:45:00
ENG-Premier League,1819,Burnley,2019-01-12 Burnley-Fulham,2019-01-12,Matchweek 22,Sat,Home,W,2,1,Fulham,1,11,1,9.1,0.09,1.0,20.4,0,0,0,0.8,0.8,0.08,0.2,0.2,15:00:00
ENG-Premier League,1819,Burnley,2019-01-19 Watford-Burnley,2019-01-19,Matchweek 23,Sat,Away,D,0,0,Watford,0,12,3,25.0,0.0,0.0,14.7,1,0,0,1.8,1.8,0.15,-1.8,-1.8,15:00:00
ENG-Premier League,1819,Burnley,2019-01-29 Manchester Utd-Burnley,2019-01-29,Matchweek 24,Tue,Away,D,2,2,Manchester Utd,2,6,4,66.7,0.33,0.5,16.6,0,0,0,0.8,0.8,0.13,1.2,1.2,20:00:00
ENG-Premier League,1819,Burnley,2019-02-02 Burnley-Southampton,2019-02-02,Matchweek 25,Sat,Home,D,1,1,Southampton,1,14,5,35.7,0.0,0.0,13.8,0,1,1,2.4,1.6,0.12,-1.4,-1.6,15:00:00
ENG-Premier League,1819,Burnley,2019-02-09 Brighton-Burnley,2019-02-09,Matchweek 26,Sat,Away,W,3,1,Brighton,3,8,4,50.0,0.25,0.5,18.0,0,1,1,2.1,1.3,0.16,0.9,0.7,17:30:00
ENG-Premier League,1819,Burnley,2019-02-23 Burnley-Tottenham,2019-02-23,Matchweek 27,Sat,Home,W,2,1,Tottenham,2,10,4,40.0,0.2,0.5,15.4,1,0,0,1.2,1.2,0.13,0.8,0.8,12:30:00
ENG-Premier League,1819,Burnley,2019-02-26 Newcastle Utd-Burnley,2019-02-26,Matchweek 28,Tue,Away,L,0,2,Newcastle Utd,0,12,2,16.7,0.0,0.0,11.6,0,0,0,1.6,1.6,0.14,-1.6,-1.6,20:00:00
ENG-Premier League,1819,Burnley,2019-03-02 Burnley-Crystal Palace,2019-03-02,Matchweek 29,Sat,Home,L,1,3,Crystal Palace,1,18,4,22.2,0.06,0.25,15.7,1,0,0,2.1,2.1,0.12,-1.1,-1.1,15:00:00
ENG-Premier League,1819,Burnley,2019-03-10 Liverpool-Burnley,2019-03-10,Matchweek 30,Sun,Away,L,2,4,Liverpool,2,3,2,66.7,0.67,1.0,22.2,0,0,0,0.4,0.4,0.15,1.6,1.6,12:00:00
ENG-Premier League,1819,Burnley,2019-03-16 Burnley-Leicester City,2019-03-16,Matchweek 31,Sat,Home,L,1,2,Leicester City,1,13,2,15.4,0.08,0.5,16.9,1,0,0,1.0,1.0,0.08,0.0,0.0,15:00:00
ENG-Premier League,1819,Burnley,2019-03-30 Burnley-Wolves,2019-03-30,Matchweek 32,Sat,Home,W,2,0,Wolves,1,6,1,16.7,0.17,1.0,15.5,0,0,0,0.5,0.5,0.09,0.5,0.5,15:00:00
ENG-Premier League,1819,Burnley,2019-04-06 Bournemouth-Burnley,2019-04-06,Matchweek 33,Sat,Away,W,3,1,Bournemouth,3,10,3,30.0,0.3,1.0,15.4,1,0,0,1.2,1.2,0.12,1.8,1.8,15:00:00
ENG-Premier League,1819,Burnley,2019-04-13 Burnley-Cardiff City,2019-04-13,Matchweek 34,Sat,Home,W,2,0,Cardiff City,2,14,7,50.0,0.14,0.29,12.1,0,0,0,2.6,2.6,0.19,-0.6,-0.6,15:00:00
ENG-Premier League,1819,Burnley,2019-04-22 Chelsea-Burnley,2019-04-22,Matchweek 35,Mon,Away,D,2,2,Chelsea,2,6,3,50.0,0.33,0.67,15.8,0,0,0,0.7,0.7,0.12,1.3,1.3,20:00:00
ENG-Premier League,1819,Burnley,2019-04-28 Burnley-Manchester City,2019-04-28,Matchweek 36,Sun,Home,L,0,1,Manchester City,0,2,0,0.0,0.0,,15.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,14:05:00
ENG-Premier League,1819,Burnley,2019-05-03 Everton-Burnley,2019-05-03,Matchweek 37,Fri,Away,L,0,2,Everton,0,5,1,20.0,0.0,0.0,15.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,20:00:00
ENG-Premier League,1819,Burnley,2019-05-12 Burnley-Arsenal,2019-05-12,Matchweek 38,Sun,Home,L,1,3,Arsenal,1,14,4,28.6,0.07,0.25,10.7,0,0,0,1.7,1.7,0.13,-0.7,-0.7,15:00:00
ENG-Premier League,1819,Cardiff City,2018-08-11 Bournemouth-Cardiff City,2018-08-11,Matchweek 1,Sat,Away,L,0,2,Bournemouth,0,10,1,10.0,0.0,0.0,13.1,1,0,0,1.4,1.4,0.16,-1.4,-1.4,15:00:00
ENG-Premier League,1819,Cardiff City,2018-08-18 Cardiff City-Newcastle Utd,2018-08-18,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,0,12,0,0.0,0.0,,16.4,1,0,0,0.9,0.9,0.08,-0.9,-0.9,12:30:00
ENG-Premier League,1819,Cardiff City,2018-08-25 Huddersfield-Cardiff City,2018-08-25,Matchweek 3,Sat,Away,D,0,0,Huddersfield,0,14,4,28.6,0.0,0.0,17.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9,15:00:00
ENG-Premier League,1819,Cardiff City,2018-09-02 Cardiff City-Arsenal,2018-09-02,Matchweek 4,Sun,Home,L,2,3,Arsenal,2,14,3,21.4,0.14,0.67,16.2,0,0,0,1.0,1.0,0.07,1.0,1.0,13:30:00
ENG-Premier League,1819,Cardiff City,2018-09-15 Chelsea-Cardiff City,2018-09-15,Matchweek 5,Sat,Away,L,1,4,Chelsea,1,6,2,33.3,0.17,0.5,10.7,0,0,0,0.7,0.7,0.12,0.3,0.3,15:00:00
ENG-Premier League,1819,Cardiff City,2018-09-22 Cardiff City-Manchester City,2018-09-22,Matchweek 6,Sat,Home,L,0,5,Manchester City,0,2,2,100.0,0.0,0.0,19.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,15:00:00
ENG-Premier League,1819,Cardiff City,2018-09-30 Cardiff City-Burnley,2018-09-30,Matchweek 7,Sun,Home,L,1,2,Burnley,1,20,4,20.0,0.05,0.25,16.2,1,0,0,1.7,1.7,0.09,-0.7,-0.7,16:00:00
ENG-Premier League,1819,Cardiff City,2018-10-06 Tottenham-Cardiff City,2018-10-06,Matchweek 8,Sat,Away,L,0,1,Tottenham,0,8,5,62.5,0.0,0.0,19.0,0,0,0,1.2,1.2,0.18,-1.2,-1.2,15:00:00
ENG-Premier League,1819,Cardiff City,2018-10-20 Cardiff City-Fulham,2018-10-20,Matchweek 9,Sat,Home,W,4,2,Fulham,4,22,5,22.7,0.18,0.8,18.6,0,0,0,1.5,1.5,0.07,2.5,2.5,15:00:00
ENG-Premier League,1819,Cardiff City,2018-10-27 Liverpool-Cardiff City,2018-10-27,Matchweek 10,Sat,Away,L,1,4,Liverpool,1,2,1,50.0,0.5,1.0,13.2,0,0,0,0.8,0.8,0.41,0.2,0.2,15:00:00
ENG-Premier League,1819,Cardiff City,2018-11-03 Cardiff City-Leicester City,2018-11-03,Matchweek 11,Sat,Home,L,0,1,Leicester City,0,11,2,18.2,0.0,0.0,16.0,1,0,0,0.9,0.9,0.08,-0.9,-0.9,15:00:00
ENG-Premier League,1819,Cardiff City,2018-11-10 Cardiff City-Brighton,2018-11-10,Matchweek 12,Sat,Home,W,2,1,Brighton,2,20,5,25.0,0.1,0.4,20.4,1,0,0,2.1,2.1,0.13,-0.1,-0.1,12:30:00
ENG-Premier League,1819,Cardiff City,2018-11-24 Everton-Cardiff City,2018-11-24,Matchweek 13,Sat,Away,L,0,1,Everton,0,7,1,14.3,0.0,0.0,13.9,0,0,0,1.0,1.0,0.15,-1.0,-1.0,15:00:00
ENG-Premier League,1819,Cardiff City,2018-11-30 Cardiff City-Wolves,2018-11-30,Matchweek 14,Fri,Home,W,2,1,Wolves,2,17,2,11.8,0.12,1.0,17.9,0,0,0,1.0,1.0,0.06,1.0,1.0,20:00:00
ENG-Premier League,1819,Cardiff City,2018-12-04 West Ham-Cardiff City,2018-12-04,Matchweek 15,Tue,Away,L,1,3,West Ham,1,8,3,37.5,0.13,0.33,19.7,1,0,1,2.1,1.3,0.24,-1.1,-0.3,19:45:00
ENG-Premier League,1819,Cardiff City,2018-12-08 Cardiff City-Southampton,2018-12-08,Matchweek 16,Sat,Home,W,1,0,Southampton,1,13,4,30.8,0.08,0.25,12.3,0,0,0,1.5,1.5,0.12,-0.5,-0.5,15:00:00
ENG-Premier League,1819,Cardiff City,2018-12-15 Watford-Cardiff City,2018-12-15,Matchweek 17,Sat,Away,L,2,3,Watford,2,10,3,30.0,0.2,0.67,17.7,0,0,0,0.9,0.9,0.12,1.1,1.1,15:00:00
ENG-Premier League,1819,Cardiff City,2018-12-22 Cardiff City-Manchester Utd,2018-12-22,Matchweek 18,Sat,Home,L,1,5,Manchester Utd,1,8,2,25.0,0.0,0.0,15.3,1,1,1,1.4,0.6,0.08,-0.4,-0.6,17:30:00
ENG-Premier League,1819,Cardiff City,2018-12-26 Crystal Palace-Cardiff City,2018-12-26,Matchweek 19,Wed,Away,D,0,0,Crystal Palace,0,9,4,44.4,0.0,0.0,19.0,0,0,0,0.9,0.9,0.1,-0.9,-0.9,15:00:00
ENG-Premier League,1819,Cardiff City,2018-12-29 Leicester City-Cardiff City,2018-12-29,Matchweek 20,Sat,Away,W,1,0,Leicester City,1,12,3,25.0,0.08,0.33,22.0,1,0,0,0.6,0.6,0.05,0.4,0.4,15:00:00
ENG-Premier League,1819,Cardiff City,2019-01-01 Cardiff City-Tottenham,2019-01-01,Matchweek 21,Tue,Home,L,0,3,Tottenham,0,5,3,60.0,0.0,0.0,15.5,0,0,0,0.9,0.9,0.18,-0.9,-0.9,17:30:00
ENG-Premier League,1819,Cardiff City,2019-01-12 Cardiff City-Huddersfield,2019-01-12,Matchweek 22,Sat,Home,D,0,0,Huddersfield,0,3,0,0.0,0.0,,22.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,15:00:00
ENG-Premier League,1819,Cardiff City,2019-01-19 Newcastle Utd-Cardiff City,2019-01-19,Matchweek 23,Sat,Away,L,0,3,Newcastle Utd,0,9,1,11.1,0.0,0.0,19.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,15:00:00
ENG-Premier League,1819,Cardiff City,2019-01-29 Arsenal-Cardiff City,2019-01-29,Matchweek 24,Tue,Away,L,1,2,Arsenal,1,19,2,10.5,0.05,0.5,21.2,1,0,0,0.8,0.8,0.04,0.2,0.2,19:45:00
ENG-Premier League,1819,Cardiff City,2019-02-02 Cardiff City-Bournemouth,2019-02-02,Matchweek 25,Sat,Home,W,2,0,Bournemouth,2,11,4,36.4,0.09,0.25,16.9,0,1,1,2.1,1.3,0.12,-0.1,-0.3,17:30:00
ENG-Premier League,1819,Cardiff City,2019-02-09 Southampton-Cardiff City,2019-02-09,Matchweek 26,Sat,Away,W,2,1,Southampton,2,6,3,50.0,0.33,0.67,16.9,0,0,0,0.8,0.8,0.14,1.2,1.2,15:00:00
ENG-Premier League,1819,Cardiff City,2019-02-22 Cardiff City-Watford,2019-02-22,Matchweek 27,Fri,Home,L,1,5,Watford,1,15,5,33.3,0.07,0.2,18.4,1,0,0,2.0,2.0,0.15,-1.0,-1.0,19:45:00
ENG-Premier League,1819,Cardiff City,2019-02-26 Cardiff City-Everton,2019-02-26,Matchweek 28,Tue,Home,L,0,3,Everton,0,6,0,0.0,0.0,,18.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,19:45:00
ENG-Premier League,1819,Cardiff City,2019-03-02 Wolves-Cardiff City,2019-03-02,Matchweek 29,Sat,Away,L,0,2,Wolves,0,12,3,25.0,0.0,0.0,19.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,15:00:00
ENG-Premier League,1819,Cardiff City,2019-03-09 Cardiff City-West Ham,2019-03-09,Matchweek 30,Sat,Home,W,2,0,West Ham,2,16,7,43.8,0.13,0.29,14.2,0,0,0,3.5,3.5,0.29,-1.5,-1.5,15:00:00
ENG-Premier League,1819,Cardiff City,2019-03-31 Cardiff City-Chelsea,2019-03-31,Matchweek 32,Sun,Home,L,1,2,Chelsea,1,8,3,37.5,0.13,0.33,21.2,2,0,0,0.5,0.5,0.06,0.5,0.5,14:05:00
ENG-Premier League,1819,Cardiff City,2019-04-03 Manchester City-Cardiff City,2019-04-03,Matchweek 33,Wed,Away,L,0,2,Manchester City,0,4,1,25.0,0.0,0.0,18.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,19:45:00
ENG-Premier League,1819,Cardiff City,2019-04-13 Burnley-Cardiff City,2019-04-13,Matchweek 34,Sat,Away,L,0,2,Burnley,0,14,2,14.3,0.0,0.0,23.7,1,0,0,0.9,0.9,0.06,-0.9,-0.9,15:00:00
ENG-Premier League,1819,Cardiff City,2019-04-16 Brighton-Cardiff City,2019-04-16,Matchweek 31,Tue,Away,W,2,0,Brighton,2,10,3,30.0,0.2,0.67,16.4,0,0,0,0.9,0.9,0.09,1.1,1.1,19:45:00
ENG-Premier League,1819,Cardiff City,2019-04-21 Cardiff City-Liverpool,2019-04-21,Matchweek 35,Sun,Home,L,0,2,Liverpool,0,7,2,28.6,0.0,0.0,12.7,0,0,0,1.1,1.1,0.17,-1.1,-1.1,16:00:00
ENG-Premier League,1819,Cardiff City,2019-04-27 Fulham-Cardiff City,2019-04-27,Matchweek 36,Sat,Away,L,0,1,Fulham,0,13,8,61.5,0.0,0.0,14.8,0,0,0,1.1,1.1,0.09,-1.1,-1.1,15:00:00
ENG-Premier League,1819,Cardiff City,2019-05-04 Cardiff City-Crystal Palace,2019-05-04,Matchweek 37,Sat,Home,L,2,3,Crystal Palace,1,18,7,38.9,0.06,0.14,16.1,0,0,0,1.9,1.9,0.1,-0.9,-0.9,17:30:00
ENG-Premier League,1819,Cardiff City,2019-05-12 Manchester Utd-Cardiff City,2019-05-12,Matchweek 38,Sun,Away,W,2,0,Manchester Utd,2,12,3,25.0,0.08,0.33,22.4,0,1,1,1.6,0.8,0.07,0.4,0.2,15:00:00
ENG-Premier League,1819,Chelsea,2018-08-11 Huddersfield-Chelsea,2018-08-11,Matchweek 1,Sat,Away,W,3,0,Huddersfield,3,12,3,25.0,0.17,0.67,17.7,2,1,1,1.9,1.1,0.1,1.1,0.9,15:00:00
ENG-Premier League,1819,Chelsea,2018-08-18 Chelsea-Arsenal,2018-08-18,Matchweek 2,Sat,Home,W,3,2,Arsenal,3,24,11,45.8,0.13,0.27,20.4,1,0,0,1.6,1.6,0.07,1.4,1.4,17:30:00
ENG-Premier League,1819,Chelsea,2018-08-26 Newcastle Utd-Chelsea,2018-08-26,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,1,14,2,14.3,0.0,0.0,19.6,0,1,1,1.5,0.7,0.05,-0.5,-0.7,16:00:00
ENG-Premier League,1819,Chelsea,2018-09-01 Chelsea-Bournemouth,2018-09-01,Matchweek 4,Sat,Home,W,2,0,Bournemouth,2,24,6,25.0,0.08,0.33,20.3,1,0,0,1.1,1.1,0.05,0.9,0.9,15:00:00
ENG-Premier League,1819,Chelsea,2018-09-15 Chelsea-Cardiff City,2018-09-15,Matchweek 5,Sat,Home,W,4,1,Cardiff City,4,17,6,35.3,0.18,0.5,16.0,1,1,1,2.6,1.8,0.11,1.4,1.2,15:00:00
ENG-Premier League,1819,Chelsea,2018-09-23 West Ham-Chelsea,2018-09-23,Matchweek 6,Sun,Away,D,0,0,West Ham,0,17,6,35.3,0.0,0.0,16.0,1,0,0,1.5,1.5,0.09,-1.5,-1.5,13:30:00
ENG-Premier League,1819,Chelsea,2018-09-29 Chelsea-Liverpool,2018-09-29,Matchweek 7,Sat,Home,D,1,1,Liverpool,1,10,4,40.0,0.1,0.25,13.2,0,0,0,1.1,1.1,0.11,-0.1,-0.1,17:30:00
ENG-Premier League,1819,Chelsea,2018-10-07 Southampton-Chelsea,2018-10-07,Matchweek 8,Sun,Away,W,3,0,Southampton,3,21,6,28.6,0.14,0.5,15.1,0,0,0,2.9,2.9,0.14,0.1,0.1,14:15:00
ENG-Premier League,1819,Chelsea,2018-10-20 Chelsea-Manchester Utd,2018-10-20,Matchweek 9,Sat,Home,D,2,2,Manchester Utd,2,21,6,28.6,0.1,0.33,18.0,1,0,0,1.8,1.8,0.11,0.2,0.2,12:30:00
ENG-Premier League,1819,Chelsea,2018-10-28 Burnley-Chelsea,2018-10-28,Matchweek 10,Sun,Away,W,4,0,Burnley,4,24,8,33.3,0.17,0.5,16.5,0,0,0,2.6,2.6,0.11,1.4,1.4,13:30:00
ENG-Premier League,1819,Chelsea,2018-11-04 Chelsea-Crystal Palace,2018-11-04,Matchweek 11,Sun,Home,W,3,1,Crystal Palace,3,15,6,40.0,0.2,0.5,17.4,0,0,0,1.7,1.7,0.12,1.3,1.3,16:00:00
ENG-Premier League,1819,Chelsea,2018-11-11 Chelsea-Everton,2018-11-11,Matchweek 12,Sun,Home,D,0,0,Everton,0,15,4,26.7,0.0,0.0,21.5,1,0,0,1.2,1.2,0.08,-1.2,-1.2,14:15:00
ENG-Premier League,1819,Chelsea,2018-11-24 Tottenham-Chelsea,2018-11-24,Matchweek 13,Sat,Away,L,1,3,Tottenham,1,13,2,15.4,0.08,0.5,17.5,0,0,0,1.0,1.0,0.08,0.0,0.0,17:30:00
ENG-Premier League,1819,Chelsea,2018-12-02 Chelsea-Fulham,2018-12-02,Matchweek 14,Sun,Home,W,2,0,Fulham,2,16,9,56.3,0.13,0.22,18.4,3,0,0,2.1,2.1,0.13,-0.1,-0.1,12:00:00
ENG-Premier League,1819,Chelsea,2018-12-05 Wolves-Chelsea,2018-12-05,Matchweek 15,Wed,Away,L,1,2,Wolves,1,17,3,17.6,0.06,0.33,19.0,1,0,0,1.3,1.3,0.08,-0.3,-0.3,19:45:00
ENG-Premier League,1819,Chelsea,2018-12-08 Chelsea-Manchester City,2018-12-08,Matchweek 16,Sat,Home,W,2,0,Manchester City,2,8,5,62.5,0.25,0.4,17.9,1,0,0,0.6,0.6,0.08,1.4,1.4,17:30:00
ENG-Premier League,1819,Chelsea,2018-12-16 Brighton-Chelsea,2018-12-16,Matchweek 17,Sun,Away,W,2,1,Brighton,2,10,3,30.0,0.2,0.67,19.6,2,0,0,1.2,1.2,0.12,0.8,0.8,13:30:00
ENG-Premier League,1819,Chelsea,2018-12-22 Chelsea-Leicester City,2018-12-22,Matchweek 18,Sat,Home,L,0,1,Leicester City,0,17,5,29.4,0.0,0.0,15.5,0,0,0,2.4,2.4,0.14,-2.4,-2.4,15:00:00
ENG-Premier League,1819,Chelsea,2018-12-26 Watford-Chelsea,2018-12-26,Matchweek 19,Wed,Away,W,2,1,Watford,2,9,3,33.3,0.11,0.33,17.8,0,1,1,1.9,1.1,0.12,0.1,-0.1,19:30:00
ENG-Premier League,1819,Chelsea,2018-12-30 Crystal Palace-Chelsea,2018-12-30,Matchweek 20,Sun,Away,W,1,0,Crystal Palace,1,12,4,33.3,0.08,0.25,21.3,1,0,0,0.9,0.9,0.08,0.1,0.1,12:00:00
ENG-Premier League,1819,Chelsea,2019-01-02 Chelsea-Southampton,2019-01-02,Matchweek 21,Wed,Home,D,0,0,Southampton,0,17,6,35.3,0.0,0.0,18.9,2,0,0,0.9,0.9,0.05,-0.9,-0.9,19:45:00
ENG-Premier League,1819,Chelsea,2019-01-12 Chelsea-Newcastle Utd,2019-01-12,Matchweek 22,Sat,Home,W,2,1,Newcastle Utd,2,10,6,60.0,0.2,0.33,18.5,1,0,0,1.3,1.3,0.13,0.7,0.7,17:30:00
ENG-Premier League,1819,Chelsea,2019-01-19 Arsenal-Chelsea,2019-01-19,Matchweek 23,Sat,Away,L,0,2,Arsenal,0,13,1,7.7,0.0,0.0,17.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,17:30:00
ENG-Premier League,1819,Chelsea,2019-01-30 Bournemouth-Chelsea,2019-01-30,Matchweek 24,Wed,Away,L,0,4,Bournemouth,0,11,7,63.6,0.0,0.0,18.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,19:45:00
ENG-Premier League,1819,Chelsea,2019-02-02 Chelsea-Huddersfield,2019-02-02,Matchweek 25,Sat,Home,W,5,0,Huddersfield,5,22,6,27.3,0.18,0.67,17.6,0,1,1,2.6,1.8,0.08,2.4,2.2,15:00:00
ENG-Premier League,1819,Chelsea,2019-02-10 Manchester City-Chelsea,2019-02-10,Matchweek 26,Sun,Away,L,0,6,Manchester City,0,12,4,33.3,0.0,0.0,19.4,1,0,0,0.9,0.9,0.07,-0.9,-0.9,16:00:00
ENG-Premier League,1819,Chelsea,2019-02-27 Chelsea-Tottenham,2019-02-27,Matchweek 28,Wed,Home,W,2,0,Tottenham,1,11,1,9.1,0.09,1.0,21.2,1,0,0,0.6,0.6,0.07,0.4,0.4,20:00:00
ENG-Premier League,1819,Chelsea,2019-03-03 Fulham-Chelsea,2019-03-03,Matchweek 29,Sun,Away,W,2,1,Fulham,2,20,7,35.0,0.1,0.29,15.6,0,0,0,1.2,1.2,0.06,0.8,0.8,14:05:00
