date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2022-09-18 14:00:00,Nice,Angers,0,1,A,0,1,A,18,16,5,3,9,11,5,4,0,4,1,1
2022-09-18 12:00:00,Reims,Monaco,0,3,A,0,0,D,9,20,2,11,14,16,5,4,3,3,1,0
2022-09-30 20:00:00,Angers,Marseille,0,3,A,0,1,A,16,15,5,7,9,14,6,3,0,0,0,0
2022-10-01 20:00:00,Paris SG,Nice,2,1,H,1,0,H,12,4,4,1,16,9,4,0,1,1,0,0
2022-10-01 16:00:00,Strasbourg,Rennes,1,3,A,0,1,A,9,17,3,7,9,13,1,5,0,2,1,0
2022-10-02 14:00:00,Ajaccio,Clermont,1,3,A,0,1,A,12,7,3,3,13,10,4,4,3,3,0,0
2022-10-02 14:00:00,Auxerre,Brest,1,1,D,0,0,D,11,9,3,2,15,18,0,6,4,4,1,0
2022-10-02 19:45:00,Lens,Lyon,1,0,H,0,0,D,21,4,6,0,19,16,6,2,2,2,0,0
2022-10-02 12:00:00,Lorient,Lille,2,1,H,1,0,H,7,20,4,4,13,14,0,14,3,3,1,0
2022-10-02 16:05:00,Monaco,Nantes,4,1,H,3,0,H,10,7,6,2,8,10,7,7,0,1,0,0
2022-10-02 14:00:00,Toulouse,Montpellier,4,2,H,3,1,H,12,23,6,6,13,6,3,12,5,4,1,0
2022-10-02 14:00:00,Troyes,Reims,2,2,D,0,1,A,19,5,6,2,13,13,10,2,4,2,0,1
2022-10-07 20:00:00,Lyon,Toulouse,1,1,D,1,0,H,19,5,8,2,13,11,4,5,2,2,0,0
2022-10-08 16:00:00,Marseille,Ajaccio,1,2,A,1,1,D,10,6,2,1,17,18,11,2,0,2,0,0
2022-10-08 20:00:00,Reims,Paris SG,0,0,D,0,0,D,24,11,4,3,20,12,7,3,3,5,0,1
2022-10-09 14:00:00,Angers,Strasbourg,2,3,A,1,2,A,14,15,8,7,16,14,6,6,1,1,0,0
2022-10-09 14:00:00,Brest,Lorient,1,2,A,1,1,D,12,14,4,5,14,13,7,8,3,1,0,0
2022-10-09 14:00:00,Clermont,Auxerre,2,1,H,0,0,D,10,14,6,5,4,17,4,4,0,0,0,0
2022-10-09 19:45:00,Lille,Lens,1,0,H,1,0,H,12,10,6,3,19,15,5,9,3,5,0,0
2022-10-09 12:00:00,Montpellier,Monaco,0,2,A,0,1,A,11,11,1,7,13,16,7,2,2,3,0,0
2022-10-09 14:00:00,Nice,Troyes,3,2,H,2,0,H,14,17,6,6,8,9,5,5,1,1,0,0
2022-10-09 16:05:00,Rennes,Nantes,3,0,H,1,0,H,14,8,4,3,13,14,4,3,1,0,1,0
2022-10-14 20:00:00,Strasbourg,Lille,0,3,A,0,1,A,12,10,1,7,12,17,3,0,3,1,0,0
2022-10-15 20:00:00,Lens,Montpellier,1,0,H,0,0,D,17,8,5,1,12,10,4,5,2,2,0,0
2022-10-15 16:00:00,Lorient,Reims,0,0,D,0,0,D,10,7,3,2,10,17,2,2,1,3,0,2
2022-10-16 14:00:00,Auxerre,Nice,1,1,D,1,1,D,11,9,3,2,11,3,2,6,0,0,0,0
2022-10-16 16:05:00,Monaco,Clermont,1,1,D,1,0,H,6,21,4,7,8,11,3,4,2,4,1,0
2022-10-16 14:00:00,Nantes,Brest,4,1,H,2,1,H,17,11,6,2,12,10,7,5,0,2,0,0
2022-10-16 19:45:00,Paris SG,Marseille,1,0,H,1,0,H,23,18,8,7,9,16,7,6,1,0,0,1
2022-10-16 14:00:00,Rennes,Lyon,3,2,H,1,1,D,14,7,5,5,13,14,3,2,2,2,0,0
2022-10-16 12:00:00,Toulouse,Angers,3,2,H,2,1,H,14,13,7,6,12,15,2,8,3,2,0,0
2022-10-16 14:00:00,Troyes,Ajaccio,1,1,D,0,0,D,9,15,2,7,8,14,3,5,2,1,0,0
2022-10-21 20:00:00,Ajaccio,Paris SG,0,3,A,0,1,A,8,11,1,6,13,13,3,8,0,1,0,0
2022-10-22 20:00:00,Marseille,Lens,0,1,A,0,0,D,13,12,3,4,19,20,7,3,3,3,0,0
2022-10-22 16:00:00,Montpellier,Lyon,1,2,A,0,1,A,10,21,4,10,9,18,4,7,2,2,1,1
2022-10-23 12:00:00,Angers,Rennes,1,2,A,0,1,A,7,14,2,5,9,11,5,6,2,2,0,0
2022-10-23 14:00:00,Clermont,Brest,1,3,A,0,1,A,14,19,4,11,10,17,7,4,4,1,0,0
2022-10-23 19:45:00,Lille,Monaco,4,3,H,2,2,D,20,9,7,6,8,10,6,6,1,2,0,0
2022-10-23 16:05:00,Nice,Nantes,1,1,D,0,0,D,11,11,5,4,9,9,7,3,3,4,0,2
2022-10-23 14:00:00,Reims,Auxerre,2,1,H,1,1,D,19,10,10,2,13,12,8,2,4,0,0,0
2022-10-23 14:00:00,Toulouse,Strasbourg,2,2,D,1,0,H,17,11,6,5,14,8,6,6,2,1,1,0
