fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away
35615,"Clement Turpin, France",2018-03-16,659.0,Stade Louis II,Monaco,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,True,79,Lille,https://media-4.api-sports.io/football/teams/79.png,False,2,1,1,1,2,1
35613,"Sebastien Moreira, France",2018-03-17,,Stadium Municipal,Toulouse,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,96,Toulouse,https://media-4.api-sports.io/football/teams/96.png,0,95,Strasbourg,https://media-4.api-sports.io/football/teams/95.png,0,2,2,0,0,2,2
35610,"Stephane Jochem, France",2018-03-17,,Stade de la Licorne,Amiens,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,87,Amiens,https://media-4.api-sports.io/football/teams/87.png,0,110,Estac Troyes,https://media-4.api-sports.io/football/teams/110.png,0,1,1,1,0,1,1
35614,"Mikael Lesage, France",2018-03-17,,Matmut Atlantique,Bordeaux,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,78,Bordeaux,https://media-4.api-sports.io/football/teams/78.png,False,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,True,0,2,0,0,0,2
35612,"Thomas Leonard, France",2018-03-17,660.0,Stade de la Mosson,Montpellier,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,0,89,Dijon,https://media-4.api-sports.io/football/teams/89.png,0,2,2,0,1,2,2
35611,"Olivier Thual, France",2018-03-17,634.0,Stade Raymond Kopa,Angers,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,77,Angers,https://media-4.api-sports.io/football/teams/77.png,True,88,Caen,https://media-4.api-sports.io/football/teams/88.png,False,3,0,2,0,3,0
35609,"Francois Letexier, France",2018-03-18,663.0,Allianz Riviera,Nice,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,84,Nice,https://media-4.api-sports.io/football/teams/84.png,False,85,Paris Saint Germain,https://media-4.api-sports.io/football/teams/85.png,True,1,2,1,1,1,2
35608,"Benoit Millot, France",2018-03-18,,Stade Saint-Symphorien,Metz,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,112,Metz,https://media-4.api-sports.io/football/teams/112.png,0,83,Nantes,https://media-4.api-sports.io/football/teams/83.png,0,1,1,1,1,1,1
35607,"Amaury Delerue, France",2018-03-18,676.0,Stade Geoffroy-Guichard,Saint Etienne,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,1063,Saint Etienne,https://media-4.api-sports.io/football/teams/1063.png,True,90,Guingamp,https://media-4.api-sports.io/football/teams/90.png,False,2,0,1,0,2,0
35606,"Ruddy Buquet, France",2018-03-18,667.0,Orange Vélodrome,Marseille,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 30,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,False,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,True,2,3,1,1,2,3
35605,"Brisard Jerome, France",2018-03-31,645.0,Stade Gaston-Gérard,Dijon,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 31,89,Dijon,https://media-4.api-sports.io/football/teams/89.png,False,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,True,1,3,0,1,1,3
35598,"Benoît Bastien, France",2018-04-01,,Parc Olympique Lyonnais,Lyon,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 31,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,True,96,Toulouse,https://media-4.api-sports.io/football/teams/96.png,False,2,0,2,0,2,0
35599,"Antony Gautier, France",2018-04-01,642.0,Stade Michel d'Ornano,Caen,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 31,88,Caen,https://media-4.api-sports.io/football/teams/88.png,False,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,True,1,3,0,2,1,3
35600,"Johan Hamel, France",2018-04-01,684.0,Stade de l'Aube,Troyes,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 31,110,Estac Troyes,https://media-4.api-sports.io/football/teams/110.png,False,84,Nice,https://media-4.api-sports.io/football/teams/84.png,True,0,2,0,1,0,2
35602,"Stephan Klossner, Switzerland",2018-04-01,,Stade de la Beaujoire,Nantes,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 31,83,Nantes,https://media-4.api-sports.io/football/teams/83.png,False,1063,Saint Etienne,https://media-4.api-sports.io/football/teams/1063.png,True,0,3,0,1,0,3
35603,"Ruddy Buquet, France",2018-04-01,681.0,Stade de la Meinau,Strasbourg,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 31,95,Strasbourg,https://media-4.api-sports.io/football/teams/95.png,0,112,Metz,https://media-4.api-sports.io/football/teams/112.png,0,2,2,1,1,2,2
35604,"Sebastien Moreira, France",2018-04-01,,Stade de Roudourou,Guingamp,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 31,90,Guingamp,https://media-4.api-sports.io/football/teams/90.png,True,78,Bordeaux,https://media-4.api-sports.io/football/teams/78.png,False,2,1,0,0,2,1
35601,"Karim Abed, France",2018-04-01,,Stade Pierre-Mauroy,Lille,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 31,79,Lille,https://media-4.api-sports.io/football/teams/79.png,False,87,Amiens,https://media-4.api-sports.io/football/teams/87.png,True,0,1,0,0,0,1
35597,"Amaury Delerue, France",2018-04-04,680.0,Roazhon Park,Rennes,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 31,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,0,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,0,1,1,1,1,1,1
35596,"Nicolas Rainville, France",2018-04-06,676.0,Stade Geoffroy-Guichard,Saint Etienne,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,1063,Saint Etienne,https://media-4.api-sports.io/football/teams/1063.png,0,85,Paris Saint Germain,https://media-4.api-sports.io/football/teams/85.png,0,1,1,1,0,1,1
35590,"Benoit Millot, France",2018-04-07,,Stade de la Licorne,Amiens,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,87,Amiens,https://media-4.api-sports.io/football/teams/87.png,True,88,Caen,https://media-4.api-sports.io/football/teams/88.png,False,3,0,2,0,3,0
35591,"Stephane Jochem, France",2018-04-07,634.0,Stade Raymond Kopa,Angers,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,77,Angers,https://media-4.api-sports.io/football/teams/77.png,0,95,Strasbourg,https://media-4.api-sports.io/football/teams/95.png,0,1,1,1,0,1,1
35594,"Hakim Ben el Salem Hadj, France",2018-04-07,,Stadium Municipal,Toulouse,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,96,Toulouse,https://media-4.api-sports.io/football/teams/96.png,False,89,Dijon,https://media-4.api-sports.io/football/teams/89.png,True,0,1,0,1,0,1
35593,"Frank Schneider, France",2018-04-07,,Stade de Roudourou,Guingamp,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,90,Guingamp,https://media-4.api-sports.io/football/teams/90.png,True,110,Estac Troyes,https://media-4.api-sports.io/football/teams/110.png,False,4,0,1,0,4,0
35592,"Thomas Leonard, France",2018-04-07,,Matmut Atlantique,Bordeaux,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,78,Bordeaux,https://media-4.api-sports.io/football/teams/78.png,True,79,Lille,https://media-4.api-sports.io/football/teams/79.png,False,2,1,2,1,2,1
35595,"Francois Letexier, France",2018-04-07,659.0,Stade Louis II,Monaco,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,True,83,Nantes,https://media-4.api-sports.io/football/teams/83.png,False,2,1,2,1,2,1
35589,"Brisard Jerome, France",2018-04-08,663.0,Allianz Riviera,Nice,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,84,Nice,https://media-4.api-sports.io/football/teams/84.png,0,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,0,1,1,1,1,1,1
35588,"Antony Gautier, France",2018-04-08,,Stade Saint-Symphorien,Metz,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,112,Metz,https://media-4.api-sports.io/football/teams/112.png,False,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,True,0,5,0,2,0,5
35587,"Mikael Lesage, France",2018-04-08,667.0,Orange Vélodrome,Marseille,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 32,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,0,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,0,0,0,0,0,0,0
35586,"Clement Turpin, France",2018-04-13,634.0,Stade Raymond Kopa,Angers,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 33,77,Angers,https://media-4.api-sports.io/football/teams/77.png,0,84,Nice,https://media-4.api-sports.io/football/teams/84.png,0,1,1,0,0,1,1
35585,"Johan Hamel, France",2018-04-14,,Parc Olympique Lyonnais,Lyon,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 33,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,True,87,Amiens,https://media-4.api-sports.io/football/teams/87.png,False,3,0,1,0,3,0
35584,"Mikael Lesage, France",2018-04-14,681.0,Stade de la Meinau,Strasbourg,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 33,95,Strasbourg,https://media-4.api-sports.io/football/teams/95.png,False,1063,Saint Etienne,https://media-4.api-sports.io/football/teams/1063.png,True,0,1,0,0,0,1
35583,"Hakim Ben el Salem Hadj, France",2018-04-14,680.0,Roazhon Park,Rennes,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2017,Regular Season - 33,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,False,112,Metz,https://media-4.api-sports.io/football/teams/112.png,True,1,2,1,0,1,2
