,,,,date,round,day,venue,result,GF,GA,opponent,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,time
,,,,,,,,,,,,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Bournemouth,2018-10-01 Bournemouth-Crystal Palace,2018-10-01,Matchweek 7,Mon,Home,W,2,1,Crystal Palace,19,11,3,1,1,3,0,4,2,1,0,0,1,0,20:00:00
ENG-Premier League,1819,Bournemouth,2018-10-06 Watford-Bournemouth,2018-10-06,Matchweek 8,Sat,Away,W,4,0,Watford,19,14,2,0,1,1,1,7,5,0,0,1,1,0,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-20 Bournemouth-Southampton,2018-10-20,Matchweek 9,Sat,Home,D,0,0,Southampton,14,9,3,0,1,1,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-27 Fulham-Bournemouth,2018-10-27,Matchweek 10,Sat,Away,W,3,0,Fulham,24,22,1,0,0,1,0,6,5,0,0,0,1,0,15:00:00
ENG-Premier League,1819,Bournemouth,2018-11-03 Bournemouth-Manchester Utd,2018-11-03,Matchweek 11,Sat,Home,L,1,2,Manchester Utd,34,26,3,2,2,1,0,2,2,0,0,0,0,0,12:30:00
ENG-Premier League,1819,Bournemouth,2018-11-10 Newcastle Utd-Bournemouth,2018-11-10,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,22,11,6,0,3,2,0,2,0,1,0,1,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2018-11-25 Bournemouth-Arsenal,2018-11-25,Matchweek 13,Sun,Home,L,1,2,Arsenal,21,17,0,1,0,1,2,2,2,0,0,0,0,0,13:30:00
ENG-Premier League,1819,Bournemouth,2018-12-01 Manchester City-Bournemouth,2018-12-01,Matchweek 14,Sat,Away,L,1,3,Manchester City,6,6,0,0,0,0,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-04 Bournemouth-Huddersfield,2018-12-04,Matchweek 15,Tue,Home,W,2,1,Huddersfield,11,9,1,0,0,1,0,4,2,1,0,0,1,0,19:45:00
ENG-Premier League,1819,Bournemouth,2018-12-08 Bournemouth-Liverpool,2018-12-08,Matchweek 16,Sat,Home,L,0,4,Liverpool,14,9,2,1,1,1,0,0,0,0,0,0,0,0,12:30:00
