,,,,date,round,day,venue,result,GF,GA,opponent,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,time
,,,,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Bournemouth,2018-10-01 Bournemouth-Crystal Palace,2018-10-01,Matchweek 7,Mon,Home,W,2,1,Crystal Palace,465,418,45,13,2,1,13,21,3,0,2,0,364,2,10,20:00:00
ENG-Premier League,1819,Bournemouth,2018-10-06 Watford-Bournemouth,2018-10-06,Matchweek 8,Sat,Away,W,4,0,Watford,464,421,41,11,2,4,14,14,7,2,1,0,378,2,7,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-20 Bournemouth-Southampton,2018-10-20,Matchweek 9,Sat,Home,D,0,0,Southampton,522,458,64,18,0,1,22,32,6,2,2,0,386,0,12,15:00:00
ENG-Premier League,1819,Bournemouth,2018-10-27 Fulham-Bournemouth,2018-10-27,Matchweek 10,Sat,Away,W,3,0,Fulham,550,495,54,16,5,2,23,24,5,3,1,0,451,1,10,15:00:00
ENG-Premier League,1819,Bournemouth,2018-11-03 Bournemouth-Manchester Utd,2018-11-03,Matchweek 11,Sat,Home,L,1,2,Manchester Utd,460,403,57,16,1,4,23,22,9,6,3,0,342,0,12,12:30:00
ENG-Premier League,1819,Bournemouth,2018-11-10 Newcastle Utd-Bournemouth,2018-11-10,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,559,498,59,10,1,5,22,23,10,7,1,0,432,2,18,15:00:00
ENG-Premier League,1819,Bournemouth,2018-11-25 Bournemouth-Arsenal,2018-11-25,Matchweek 13,Sun,Home,L,1,2,Arsenal,450,392,54,9,1,2,22,24,5,1,4,0,327,4,15,13:30:00
ENG-Premier League,1819,Bournemouth,2018-12-01 Manchester City-Bournemouth,2018-12-01,Matchweek 14,Sat,Away,L,1,3,Manchester City,321,271,47,11,0,8,9,22,4,2,0,0,225,3,6,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-04 Bournemouth-Huddersfield,2018-12-04,Matchweek 15,Tue,Home,W,2,1,Huddersfield,343,296,44,9,0,3,11,21,4,1,0,0,238,3,14,19:45:00
ENG-Premier League,1819,Bournemouth,2018-12-08 Bournemouth-Liverpool,2018-12-08,Matchweek 16,Sat,Home,L,0,4,Liverpool,472,413,56,12,1,6,17,26,6,2,0,1,354,3,17,12:30:00
ENG-Premier League,1819,Bournemouth,2018-12-15 Wolves-Bournemouth,2018-12-15,Matchweek 17,Sat,Away,L,0,2,Wolves,681,628,53,18,1,0,19,26,3,0,2,0,564,0,12,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-22 Bournemouth-Brighton,2018-12-22,Matchweek 18,Sat,Home,W,2,0,Brighton,589,526,60,18,1,2,13,28,6,2,1,0,473,3,9,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-26 Tottenham-Bournemouth,2018-12-26,Matchweek 19,Wed,Away,L,0,5,Tottenham,499,451,45,6,3,6,15,24,4,2,1,0,402,3,10,15:00:00
ENG-Premier League,1819,Bournemouth,2018-12-30 Manchester Utd-Bournemouth,2018-12-30,Matchweek 20,Sun,Away,L,1,4,Manchester Utd,394,344,50,16,1,1,13,18,5,2,1,0,310,0,13,16:30:00
ENG-Premier League,1819,Bournemouth,2019-01-02 Bournemouth-Watford,2019-01-02,Matchweek 21,Wed,Home,D,3,3,Watford,534,478,54,17,2,3,15,20,4,3,1,0,404,2,11,19:45:00
ENG-Premier League,1819,Bournemouth,2019-01-13 Everton-Bournemouth,2019-01-13,Matchweek 22,Sun,Away,L,0,2,Everton,434,365,68,17,2,2,23,29,9,5,3,1,293,1,20,14:15:00
ENG-Premier League,1819,Bournemouth,2019-01-19 Bournemouth-West Ham,2019-01-19,Matchweek 23,Sat,Home,W,2,0,West Ham,406,361,41,13,4,2,18,19,2,0,1,0,298,4,10,15:00:00
ENG-Premier League,1819,Bournemouth,2019-01-30 Bournemouth-Chelsea,2019-01-30,Matchweek 24,Wed,Home,W,4,0,Chelsea,372,335,36,12,2,0,8,16,3,0,0,0,284,1,10,19:45:00
ENG-Premier League,1819,Bournemouth,2019-02-02 Cardiff City-Bournemouth,2019-02-02,Matchweek 25,Sat,Away,L,0,2,Cardiff City,661,607,54,19,0,1,21,22,7,3,3,0,541,0,18,17:30:00
ENG-Premier League,1819,Bournemouth,2019-02-09 Liverpool-Bournemouth,2019-02-09,Matchweek 26,Sat,Away,L,0,3,Liverpool,399,347,50,15,1,1,14,15,5,3,2,0,299,2,10,15:00:00
ENG-Premier League,1819,Bournemouth,2019-02-23 Bournemouth-Wolves,2019-02-23,Matchweek 27,Sat,Home,D,1,1,Wolves,425,362,62,16,1,1,22,28,9,4,3,0,304,1,14,15:00:00
ENG-Premier League,1819,Bournemouth,2019-02-27 Arsenal-Bournemouth,2019-02-27,Matchweek 28,Wed,Away,L,1,5,Arsenal,385,337,44,14,3,1,16,17,4,1,3,0,301,4,10,19:45:00
ENG-Premier League,1819,Bournemouth,2019-03-02 Bournemouth-Manchester City,2019-03-02,Matchweek 29,Sat,Home,L,0,1,Manchester City,204,158,45,9,0,0,2,19,0,0,0,0,122,1,6,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-09 Huddersfield-Bournemouth,2019-03-09,Matchweek 30,Sat,Away,W,2,0,Huddersfield,404,349,55,15,6,1,9,21,5,3,0,0,281,0,14,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-16 Bournemouth-Newcastle Utd,2019-03-16,Matchweek 31,Sat,Home,D,2,2,Newcastle Utd,451,400,51,12,2,0,19,18,6,2,3,0,326,0,14,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-30 Leicester City-Bournemouth,2019-03-30,Matchweek 32,Sat,Away,L,0,2,Leicester City,468,419,48,9,0,0,12,26,1,1,0,0,358,1,12,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-06 Bournemouth-Burnley,2019-04-06,Matchweek 33,Sat,Home,L,1,3,Burnley,496,432,62,20,0,2,19,24,3,0,0,0,383,2,9,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-13 Brighton-Bournemouth,2019-04-13,Matchweek 34,Sat,Away,W,5,0,Brighton,505,470,35,11,2,1,7,13,1,0,0,0,402,0,9,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-20 Bournemouth-Fulham,2019-04-20,Matchweek 35,Sat,Home,L,0,1,Fulham,481,430,50,17,3,1,11,19,3,1,1,0,392,1,5,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-27 Southampton-Bournemouth,2019-04-27,Matchweek 36,Sat,Away,D,3,3,Southampton,498,440,58,7,1,3,11,24,3,2,0,0,378,0,9,15:00:00
ENG-Premier League,1819,Bournemouth,2019-05-04 Bournemouth-Tottenham,2019-05-04,Matchweek 37,Sat,Home,W,1,0,Tottenham,502,452,49,14,0,3,35,18,10,3,5,0,401,1,13,12:30:00
ENG-Premier League,1819,Bournemouth,2019-05-12 Crystal Palace-Bournemouth,2019-05-12,Matchweek 38,Sun,Away,L,3,5,Crystal Palace,558,510,47,14,0,4,21,15,4,1,3,0,448,1,10,15:00:00
ENG-Premier League,1819,Brighton,2018-08-11 Watford-Brighton,2018-08-11,Matchweek 1,Sat,Away,L,0,2,Watford,426,380,43,9,0,8,15,19,2,2,0,0,317,3,8,15:00:00
ENG-Premier League,1819,Brighton,2018-08-19 Brighton-Manchester Utd,2018-08-19,Matchweek 2,Sun,Home,W,3,2,Manchester Utd,322,268,52,13,0,5,13,23,3,3,0,0,206,2,8,16:00:00
ENG-Premier League,1819,Brighton,2018-08-25 Liverpool-Brighton,2018-08-25,Matchweek 3,Sat,Away,L,0,1,Liverpool,359,317,39,7,0,3,11,17,5,2,3,0,254,3,9,17:30:00
ENG-Premier League,1819,Brighton,2018-09-01 Brighton-Fulham,2018-09-01,Matchweek 4,Sat,Home,D,2,2,Fulham,426,369,55,14,1,3,29,23,7,6,1,0,310,2,11,15:00:00
ENG-Premier League,1819,Brighton,2018-09-17 Southampton-Brighton,2018-09-17,Matchweek 5,Mon,Away,D,2,2,Southampton,488,434,52,11,0,1,18,24,4,1,3,0,368,2,12,20:00:00
ENG-Premier League,1819,Brighton,2018-09-22 Brighton-Tottenham,2018-09-22,Matchweek 6,Sat,Home,L,1,2,Tottenham,297,246,49,9,0,0,14,24,5,2,3,0,209,2,3,17:30:00
ENG-Premier League,1819,Brighton,2018-09-29 Manchester City-Brighton,2018-09-29,Matchweek 7,Sat,Away,L,0,2,Manchester City,236,193,41,4,0,4,8,15,3,1,2,0,153,2,3,15:00:00
ENG-Premier League,1819,Brighton,2018-10-05 Brighton-West Ham,2018-10-05,Matchweek 8,Fri,Home,W,1,0,West Ham,323,274,44,8,0,4,11,24,2,0,2,0,215,5,7,20:00:00
ENG-Premier League,1819,Brighton,2018-10-20 Newcastle Utd-Brighton,2018-10-20,Matchweek 9,Sat,Away,W,1,0,Newcastle Utd,286,229,56,13,0,1,10,25,2,0,0,2,172,1,12,15:00:00
ENG-Premier League,1819,Brighton,2018-10-27 Brighton-Wolves,2018-10-27,Matchweek 10,Sat,Home,W,1,0,Wolves,398,354,44,9,0,1,9,25,1,1,0,0,278,0,11,15:00:00
ENG-Premier League,1819,Brighton,2018-11-03 Everton-Brighton,2018-11-03,Matchweek 11,Sat,Away,L,1,3,Everton,355,300,53,11,0,1,11,22,4,2,0,1,238,2,9,15:00:00
ENG-Premier League,1819,Brighton,2018-11-10 Cardiff City-Brighton,2018-11-10,Matchweek 12,Sat,Away,L,1,2,Cardiff City,345,301,44,7,0,1,5,23,1,0,1,0,221,0,8,12:30:00
ENG-Premier League,1819,Brighton,2018-11-24 Brighton-Leicester City,2018-11-24,Matchweek 13,Sat,Home,D,1,1,Leicester City,494,435,54,7,0,4,25,29,6,5,1,0,364,5,18,15:00:00
ENG-Premier League,1819,Brighton,2018-12-01 Huddersfield-Brighton,2018-12-01,Matchweek 14,Sat,Away,W,2,1,Huddersfield,615,564,47,10,3,9,17,22,6,3,0,0,508,4,4,15:00:00
ENG-Premier League,1819,Brighton,2018-12-04 Brighton-Crystal Palace,2018-12-04,Matchweek 15,Tue,Home,W,3,1,Crystal Palace,297,254,43,11,0,6,12,15,4,3,1,0,203,0,5,19:45:00
ENG-Premier League,1819,Brighton,2018-12-08 Burnley-Brighton,2018-12-08,Matchweek 16,Sat,Away,L,0,1,Burnley,565,509,55,13,0,5,21,22,7,5,1,0,419,1,12,15:00:00
ENG-Premier League,1819,Brighton,2018-12-16 Brighton-Chelsea,2018-12-16,Matchweek 17,Sun,Home,L,1,2,Chelsea,507,453,49,9,1,10,16,27,4,2,0,0,397,5,14,13:30:00
ENG-Premier League,1819,Brighton,2018-12-22 Bournemouth-Brighton,2018-12-22,Matchweek 18,Sat,Away,L,0,2,Bournemouth,442,392,48,9,1,10,19,23,5,3,0,0,319,2,6,15:00:00
ENG-Premier League,1819,Brighton,2018-12-26 Brighton-Arsenal,2018-12-26,Matchweek 19,Wed,Home,D,1,1,Arsenal,365,325,39,5,0,6,16,20,4,4,0,0,264,1,10,17:15:00
ENG-Premier League,1819,Brighton,2018-12-29 Brighton-Everton,2018-12-29,Matchweek 20,Sat,Home,W,1,0,Everton,409,344,63,9,1,7,17,39,6,4,1,1,279,2,5,15:00:00
ENG-Premier League,1819,Brighton,2019-01-02 West Ham-Brighton,2019-01-02,Matchweek 21,Wed,Away,D,2,2,West Ham,449,406,39,9,1,4,18,15,5,5,0,0,333,4,6,19:45:00
ENG-Premier League,1819,Brighton,2019-01-12 Brighton-Liverpool,2019-01-12,Matchweek 22,Sat,Home,L,0,1,Liverpool,339,300,34,5,0,6,14,17,2,2,0,0,223,5,8,15:00:00
ENG-Premier League,1819,Brighton,2019-01-19 Manchester Utd-Brighton,2019-01-19,Matchweek 23,Sat,Away,L,1,2,Manchester Utd,440,386,52,12,1,12,23,21,5,2,2,0,336,2,13,15:00:00
ENG-Premier League,1819,Brighton,2019-01-29 Fulham-Brighton,2019-01-29,Matchweek 24,Tue,Away,L,2,4,Fulham,432,379,52,11,0,9,22,25,1,1,0,0,310,1,9,19:45:00
ENG-Premier League,1819,Brighton,2019-02-02 Brighton-Watford,2019-02-02,Matchweek 25,Sat,Home,D,0,0,Watford,514,464,46,10,1,5,27,24,7,5,0,0,381,4,8,15:00:00
ENG-Premier League,1819,Brighton,2019-02-09 Brighton-Burnley,2019-02-09,Matchweek 26,Sat,Home,L,1,3,Burnley,602,536,65,7,0,11,41,38,9,5,1,0,455,1,9,17:30:00
ENG-Premier League,1819,Brighton,2019-02-26 Leicester City-Brighton,2019-02-26,Matchweek 28,Tue,Away,L,1,2,Leicester City,507,447,56,6,0,9,31,27,8,4,4,0,387,4,9,19:45:00
ENG-Premier League,1819,Brighton,2019-03-02 Brighton-Huddersfield,2019-03-02,Matchweek 29,Sat,Home,W,1,0,Huddersfield,519,461,55,6,0,3,19,36,6,2,4,0,412,3,13,15:00:00
ENG-Premier League,1819,Brighton,2019-03-09 Crystal Palace-Brighton,2019-03-09,Matchweek 30,Sat,Away,W,2,1,Crystal Palace,386,341,44,9,0,3,4,22,0,0,0,0,276,1,12,12:30:00
ENG-Premier League,1819,Brighton,2019-03-30 Brighton-Southampton,2019-03-30,Matchweek 32,Sat,Home,L,0,1,Southampton,589,519,64,10,0,7,21,35,6,2,3,0,425,6,17,15:00:00
ENG-Premier League,1819,Brighton,2019-04-03 Chelsea-Brighton,2019-04-03,Matchweek 27,Wed,Away,L,0,3,Chelsea,377,337,38,5,1,8,9,15,1,0,1,0,293,2,5,19:45:00
ENG-Premier League,1819,Brighton,2019-04-13 Brighton-Bournemouth,2019-04-13,Matchweek 34,Sat,Home,L,0,5,Bournemouth,516,473,42,5,0,3,19,22,4,0,4,0,393,1,15,15:00:00
ENG-Premier League,1819,Brighton,2019-04-16 Brighton-Cardiff City,2019-04-16,Matchweek 31,Tue,Home,L,0,2,Cardiff City,575,522,51,12,2,2,21,26,5,4,0,0,436,2,6,19:45:00
ENG-Premier League,1819,Brighton,2019-04-20 Wolves-Brighton,2019-04-20,Matchweek 35,Sat,Away,D,0,0,Wolves,325,289,35,0,1,2,8,18,1,0,1,0,228,1,9,15:00:00
ENG-Premier League,1819,Brighton,2019-04-23 Tottenham-Brighton,2019-04-23,Matchweek 33,Tue,Away,L,0,1,Tottenham,224,170,53,9,0,3,9,20,3,2,1,0,118,1,6,19:45:00
ENG-Premier League,1819,Brighton,2019-04-27 Brighton-Newcastle Utd,2019-04-27,Matchweek 36,Sat,Home,D,1,1,Newcastle Utd,526,476,47,9,0,4,32,24,7,3,3,0,410,3,15,17:30:00
ENG-Premier League,1819,Brighton,2019-05-05 Arsenal-Brighton,2019-05-05,Matchweek 37,Sun,Away,D,1,1,Arsenal,277,232,41,9,0,5,16,18,3,3,0,0,189,4,5,16:30:00
ENG-Premier League,1819,Brighton,2019-05-12 Brighton-Manchester City,2019-05-12,Matchweek 38,Sun,Home,L,1,4,Manchester City,272,233,38,8,1,3,5,16,2,1,1,0,192,1,2,15:00:00
ENG-Premier League,1819,Burnley,2018-08-12 Southampton-Burnley,2018-08-12,Matchweek 1,Sun,Away,D,0,0,Southampton,447,399,43,10,2,2,20,15,5,1,2,1,329,5,12,13:30:00
ENG-Premier League,1819,Burnley,2018-08-19 Burnley-Watford,2018-08-19,Matchweek 2,Sun,Home,L,1,3,Watford,522,464,56,22,0,7,32,23,5,2,2,0,373,2,11,13:30:00
ENG-Premier League,1819,Burnley,2018-08-26 Fulham-Burnley,2018-08-26,Matchweek 3,Sun,Away,L,2,4,Fulham,362,302,55,11,0,6,27,21,4,3,0,0,251,5,6,16:00:00
ENG-Premier League,1819,Burnley,2018-09-02 Burnley-Manchester Utd,2018-09-02,Matchweek 4,Sun,Home,L,0,2,Manchester Utd,484,441,42,14,2,4,23,15,2,1,0,0,376,1,7,16:00:00
ENG-Premier League,1819,Burnley,2018-09-16 Wolves-Burnley,2018-09-16,Matchweek 5,Sun,Away,L,0,1,Wolves,424,384,39,10,0,3,12,11,2,0,2,0,313,1,4,13:30:00
